file;ratio;blw;allNoun
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-1.tei;13.5265700483;snow | manure | year | cold | fine | cotton | space | system | flood | rice | oil | wheat | water | corp | sulphur | sill | day | bank | loom | potato | i | plain | air | calcium | green | can | clay | root;irrigation | aeration | fall | rest | years | scientist | corp | root hair | nitrogen | earth | cold | fine | chili | move | content | ha | green manure | absorption | proportion | texture | intensive | source | compost | complex | jute | loam | main | then | mixture | silt | animal | metamorphic rock | material | watermelon | ganges | compound | mixing | using | now | cool | particle | tobacco | beach | classified | 50 | large | sand | 25 | drainage | found | fertility | heavy | force | till | pore | pulse | rate | oil | result | sea | duration | flood plain | residue | living | capacity | wa | matter | sun | crust | increase | may | decomposition | international | be | pepper | wheat | parent | nature | rock | clay | component | like | sedimentary rock | following | air flow | rain | active | carbon | bangladesh | dry | igneous rock | river | organic | respiration | region | decay | granule | keep | remains | action | formation | or | major | presence | radish | 70 | oxygen | snowfall | due | rice | size | environment | use | temperature | area | addition | three | cent | class | production | low | moisture | humus | i | type | more | rainfall | floodplain | form | kaon | it | part | crop | sulphur | an | present | longer | case | high | loom | crumb | 40 | characteristic | see | air | calcium | while | can | growing | example | sills | are | days | layer | ploughing | micro-organism | process | soil | half | thus | life | surface | equal | manure | as | seed | at | have | in | cotton | make | percent | snow | same | chemical | majority | ideal | porosity | 5 | holding | better | vegetable | flow of air | composition | system of measurement | development | plant | elements | sugarcane | variation | water | desert | structure | phosphorus | a | natural | mineral | potato | rotting | light | age | space | so | time | banks | nutrient | organism
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-biology-4.tei;15.7068062827;wall | house | primary | single | radius | boat | ray | leaf | space | system | uniform | rubber | secret | wood | body | cellulose | water | nucleus | vein | reaction | center | i | well | gum | air | leave | cortex | making | root | side;xylem | duty | help | being | move | yellow | four | shape | aspect | alstonia | thickness | roots | ground | rubber | conduction | gum | parenchyma | permanent | jute | fuel | furniture | medulla | division | plant organ | food | material | aquatic plant | sieve tube | one | secondary | tracheid | well | necessary | like | organ | cell | resin | large | found | round | two | bast fiber | transpiration | house | pore | crop | phloem | hair | oval | fiber | radius | are | petiole | air space | living | leaf | space | broad | section | uniform | increase | periphery | hevea | conduct | body | bast | chlorenchyma | power | fibre | importance | cellulose | stem | water | protection | no | defensive | sieve | stage | reaction | great | substance | central | opium | region | bot | parts | side | apex | length | act | narrow | or | origin | musical instrument | extent | supply | wall | vascular tissue | primary | hollow | vessel | respect | thick | boat | use | bangladesh | cell division | there | system | breath | protoplasm | secret | wood | medullary ray | then | white | type | store | more | function | a | form | musa | bulk | construction | dead | present | center | case | kind | main | epidermis | leave | as | preparation | making | root | manufacture | layer | chlorophyll | plate | cytoplasm | it | gymnosperm | carbohydrate | raw | single | tissue | at | have | in | cell wall | meristem | organs | protein | ray | lie | strength | end | pith | make | storage | depth | same | vacuole | complex | ficus | plant | may | cortical region | companion | fruit | nucleus | fat | necessity | vein | flower stalk | latex | short | give | mineral | liquid | cambium | i | partition | cover | portion | so | cortex | position | tube
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-10.tei;12.8065395095;weight | flat | year | culture | mirror | pond | fine | market | belt | scale | field | tip | system | teacher | current | flood | lip | boat | mass | day | side | body | brown | government | farm | season | lac | water | blood | hole | law | silver | gray | land | resource | i | plain | gun | value | times | green | can | problem | grass | tray | order | pollution;irrigation | resistance | livelihood | gm | row | feeding | hunting | disposal | young | environment | tail | month | condition | cool | level | dig | gun | large | small | programme | upper | crop | rate | flood plain | sub | asia | current | above | net | movement | body | full | dweller | water | following | china | november | teacher | great | respiration | study | 30 | metre | punishment | fresh water | total | market | intensive | use | consumption | two | dorsal fin | few | cultivation | type | more | sort | flat | expose | particular | hole | harvest | flood control | can | growing | example | micro-organism | december | high | rainy season | pond | times | protein | native | winter | acts | bay of bengal | species | 1 | animal | zone | establishment | plant | may | collection | lac | produce | lay | law | man | a | short | natural | eats | jail | order | help | hectare | move | years | 24 | group | 23 | apex | lateral | 28 | production | farmer | fin | food | material | dike | weeds | now | silver | term | classified | embankment | found | tray | side | vogue | weight | fingerling | fish | deficiency | catching | measure | special | living | increase | farm | cause | matric | common | carp | free | reason | marine | training | organic | so | keep | length | place | south | blood | feed | major | revenue | one | toxic industrial waste | carry | thick | open | size | given | management | jew | system | regulation | white | defaulter | season | july | population | 10 | kind | 12 | 15 | grey | reproduction | russia | phytoplankton | manner | have | demonstration | sell | conversion | potential | lip | take | green | growth rate | gill | normal | eggs | mouth | plan | kg | clear | disease | doe | principle | laws | sector | poison | fine | piranha | 8 | hope | do | dependent | gray | resource | fields | gram | release | river | view | requirement | habit | culture | are | ways | mud | 3 | import | infrastructure | explosive | wa | nature | 20 | come | climate | last | country | region | april | context | plankton | cm | supply | period | tons | boat | poa | abdominal | basis | oder | due | cent | reduction | fry | pesticide | thousand | demand | catch | an | present | tank | straight | value | while | layer | soil | it | middle | in | hoar | conserve | saline | make | peoples | 9 | composition | day | development | average | necessity | trawler | destruction | lower | i | colour | hatchery | summer | being | percent | dose | shape | fishing | rapid | point | character | lake | improvement | source | 4 | harvesting | government | zooplankton | possible | aquatic plant | dark | using | execution | fish farm | necessary | like | semi | 50 | specific | collect | steps | drainage | habitat | export | scale | bottom | belt | price | measuring | be | arrow | power | stage | chapter | extension | coral | shrimp | act | or | pollution | microorganism | vertebrate | three | female | canal | bangladesh | area | there | conservation | low | way | breeding | head | volume | construction | ha | characteristic | fries | maturity | problem | grass | temper | year | general | as | at | no | tip | 40 | application | setting | 5 | mirror carp | june | insect | light brown | fisher | land | longer | portion | mass | time | original
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-biology-5.tei;13.0;nerve | duct | hind | neuron | mesoderm | down | gland | reproductive system | defense | skin | clotting | testis | scale | eye | matrix | space | water | system | wall | salivary gland | branch | memory | nervous system | red | body | flat | dioxide | bladder | anatomy | deposition | nucleus | blood | foot | artery | muscle cell | day | tubule | b | e | bowman | i | colloid | single | contract | calcium | coagulation | can | iron | cartilage | muscle | side | bone;phylum cnidaria | lack | resistance | yellow | four | disc | skin | connective tissue | removal | environment | humerus | hormone | phylum porifera | artery | condition | stimulus | dig | large | islets of langerhans | small | mammal | round | sensation | morphology | functioning | residue | cell | conduct | movement | body | transportation | component | here | water | deposition | protection | relaxation | active | contraction | substance | respiration | peristalsis | amount | locomotion | divide | duct | trachea | haemoglobin | cranial nerve | oval | unit | lime | eye | two | germ | hydra | memory | aperture | injury | type | more | flat | site | particular | tubule | intake | nerve tissue | f | work | can | male | example | control | heart | give | process | dendrite | numbers | bones | species | end | ectoderm | offspring | attachment | animal | human beings | digestive system | product | may | germinal | produce | blood | response | man | a | liquid | centriole | so | embryo | help | skeletal system | sperm | brain | integument | group | fit | sodium | absence | salivary gland | main | then | combination | pharynx | nerve impulse | material | break | compound | foot | down | oxygen | found | side | bone | blood vessel | carbon dioxide | energy | contracting | special | living | matrix | space | endocrine system | dioxide | red | alimentary canal | g | formation | myofibril | wall | hind limb | organic | bowman | days | keep | place | origin | major | bronchiole | number | one | spinal cord | carry | system | store | anus | intestine | urinary bladder | part | lymph vessel | diffusion | kind | b | defense | contrary | magnesium | iron | collecting | muscular tissue | cytoplasm | mesoderm | say | lymphatic system | have | coelenterata | need | stomach | organs | lie | self | take | interior | opposite | nasal | skeletal muscle | anatomy | reticulum | regular | mouth | ileum | pair | muscle cell | why | duodenum | mineral | spleen | cover | disease | amphibian | organism | ordination | femur | spindle | fibre | testis | ha | enzyme | 8 | do | dependent | flowing | stop | fluid | capsule | basement | synapse | integumentary system | organ | covering | colloid | shape | common | release | oxyhaemoglobin | pituitary | involuntary muscle | embryonic cell | individual | are | close | subject | voluntary | outside | platelet | membrane | it | lymphocyte | white blood corpuscle | reproduction | opening | oxidation | bronchus | blood cell | larynx | firmness | region | jelly | blood clotting | sensitive | cartilage | internal organ | co | simple | cell membrane | height | vessel | basis | vertebrate | three | pancreas | external | child | present | case | solid | as | will | calcium | nerve cell | external organ | blood coagulation | leucocyte | blood corpuscle | layer | neuron | ureter | surface | ii | tissue | contract | in | protein | urethra | saline | ribosome | same | member | food | parts | film | 9 | nervous system | temporary | spinal nerve | thrombocyte | hand | i | colour | coordinate | muscle | being | phylum protozoa | white corpuscle | reproductive system | coordination | smooth muscle | thyroid | death | ovum | absorption | straw | location | striation | plasma | transformation | vascular tissue | parathyroid | endoderm | endocrine gland | ductless gland | shoulder | loss | necessary | like | performing | chordata | specific | nose | sarcolemma | works | digestive gland | sponge | histology | transport | scale | phylum platyhelminthes | cavity | tube | human body | be | biology | striated muscle | expansion | corpuscle | stage | mobilization | digestive | fibrous tissue | or | nerve | digestion | presence | due | axon | respiratory system | lung | female | waste material | canal | few | there | erythrocyte | oesophagus | secretion | circulatory system | function | head | form | pinna | potassium | lymph | rectum | ear | he | cardiac muscle | circulation | characteristic | inside | maturity | an | gland | single | at | long bone | kidney | voluntary muscle | no | storage | detail | branch | nucleus | heart muscle | structure | building | e | pseudo | excretion | ingestion | epithelial tissue | ovary | liver
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-biology-6.tei;18.5483870968;influenza | code | skin | milk | immune | jam | coffee | good | garden | bear | name | drop | gum | leave | benefit | right | tea | spore | second | phage | sporangium | wheat | acid | sporophyll | out | blue | dysentery | scale | leaf | hepatitis | body | gametophyte | theory | vitamin | water | base | vaccine | cow | curry | pollution | cheese | letter | family | wall | pot | primary | fern | eye | union | system | frog | nut | shell | diversity | meningitis | measles | hut | line | hold | b | double | roof | pneumonia | can | poisoning | root | pollination | tax | home | pit | field | forest | goat | play | oil | multiple | mat | lac | diagram | virus | nucleus | moss | date | coccus | collar | butter | e | i | well | coal | green | order;limited | influenza | carpel | carolus | focus | concept | skin | guava | milk | hold | young | sex organ | tree trunk | tail | jute | ingredient | division | garden | rod | rise | nitrogen fixation | medicine | strand | entire | gum | leave | sphagnum | phthisis | plant kingdom | coir | small | round | diarrhoea | ornamental | chloroplast | antibiotic | tea | crop | d | second | phage | bacteria | blue | constitution | giving | sun | cell | above | international | litchi | body | full | psidium | fertilization | here | water | animal kingdom | sporophyte | great | substance | controversy | sexual reproduction | hydrophobia | motile | classification | vascular tissue | water pollution | names | total | unit | dna | protoctista | positive | two | frog | germ | spike | type | more | rubbish | agaricus | pteridophyte | intake | edible | roof | can | naked eye | root | example | axil | heart | tap | give | process | in | tax | gymnosperm | taproot | species | information | polio | venation | agaricus campestris | arrangement | monera | forest | animal | goat | filament | creature | plant | description | singular | may | human being | lac | fungus | produce | mankind | date | end | pigment | food cycle | parallel | a | short | natural | liquid | fungi | coal | mango | green | monocot | egg | order | banger | words | food | sperm | scientist | comma | roots | microorganism | solitary | pox | group | 23 | bangla | conjugation | writing | male | main | attachment | coffee | good | frond | primary | break | band | compound | now | term | tobacco | drop | sepal | found | regulation | pteris | plant disease | fish | aids | naming | special | mat | living | flower | teak | increase | whole number | tannery | cause | umbrella | theory | coconut oil | free | g | base | formation | cough | algae | wall | diagram | organic | thread | chittagong | keep | initiate | due | top | first | cheese | major | upper | number | one | delicious | artocarpus heterophyllus | size | given | management | prokaryote | habit | system | attack | white | spore | nutrition | shell | intestine | hotel | hut | small letter | 10 | kind | b | roman letters | double | tree | preparation | pneumonia | stalk | reproduction | soft drink | nucleic acid | are | soil | coconut | chlorophyll | pollination | bisexual | seed | have | need | cell wall | food poisoning | well | lie | bacterium | bract | objective | so | gill | even | play | multiple | opposite | sugarcane | euglena | diphtheria | virus | moss | class | sub | nucleolus | disease | leaflet | part | principle | organism | bryophyta | help | fibre | knowledge | 3 | jam | fuel | plate | cholera | flagellate | bear | capsule | rest | tuberculosis | botanical | organ | fields | method | gram | creator | national | kingdom monera | protista | result | sea | sporangium | gametophyte | dysentery | fission | outside | beautification | membrane | pants | preserve | animalia | long distance | importance | vitamin | come | inflorescence | last | cow | sewerage | nomenclature | genus | whole | cycas | cancer | simple | pot | cell membrane | blending | twig | code | basidiocarp | union | damp | three | dicot | extraction | cytoplasm | root system | brick | pi | plantae | diversity | meningitis | mushroom | measles | vascular plant | representative | an | present | case | look | as | rope | wild | margin | at | seven | spirogyra | pteridophyta | thus | it | surface | jelly | cone | whorl | protein | binary | midrib | generic | large | make | member | saprophyte | parts | vegetable | stamen | oil | typhoid | hand | fruit | necessity | collar | butter | lower | i | colour | sweetmeat | thought | swiss | bending | being | valuable | shape | acquired immune deficiency syndrome | human | world | viral hepatitis | family | character | source | spread | treatment | 5 | cotyledon | kingdom | vernation | basidiospore | five | know | using | name | jackfruit | like | parasite | specific | benefit | steps | artocarpus | bamboo | works | evergreen | right | old | do | crown | dead | hair | born | palm | home | sporophyll | scale | leaf | vegetative cell | capital letter | rhizoid | decomposition | be | wheat | processing | bi | stem | step | binomial | vaccine | gamete | coral | taxon | organelle | range | curative | curry | or | tetanus | green algae | fern | female | protozoa | bangladesh | protoplasm | there | spiral | italic | manufacture | head | form | first name | heap | cottage | line | pain | nutshell | fragmentation | coconut tree | characteristic | inside | us | un | betel nut | piece | pig | curd | microsporophyll | pileus | pit | bryum | megasporophyll | no | domestic animal | vacuole | role | out | thousand | paddy | petal | stipe | nucleus | coccus | structure | e | portion | time | ovary
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-11.tei;18.3864915572;over | nursery | cold | fine | day | tape | factor | rice | brown | good | government | sulphate | silver | bank | school | name | decimal | drop | leave | microscope | mosquito | clay | side | right | weight | house | culture | oil | year | laboratory | mill | out | scale | leaf | rot | pump | fountain | dioxide | red | body | wheat | water | base | poisoning | drum | cow | times | copper | wall | pot | down | market | fence | system | rates | black | flat | fire | season | glass | stocking | hour | bucket | value | air | calcium | phosphate | can | making | problem | grass | root | mirror | manure | triple | pond | flood | book | lip | goat | pan | week | ball | mustard | farm | diet | diagram | blood | moss | land | observation | i | well | green | bottle | basket | order | meet;breadth | precondition | partial | irrigation | livelihood | obstruction | aquatic | go | gm | rot | long time | removal | environment | compost | fountain | ingredient | brown | urea | mg | hatching | fall | mixing | trouble | month | condition | school | good | die | leave | rearing | nursery | ml | quick | round | upper | fence | crop | rate | cost | patient | investment | even | will | sun | asia | above | net | method | movement | body | here | hours | following | diatom | excess | 100 | sieve | coverlet | supplying | dry | great | 30 | metre | amount | loop | action | straw | africa | fresh water | decrease | names | total | market | lime | intensive | use | sedge | consumption | remains | tail | germ | dorsal fin | cultivation | 6 | tape | stage | type | more | flat | entrance | glass | stick | caudal fin | harvest | keeping | hour | big fish | can | transparency | growing | making | example | control | compare | dropper | nursing | process | high | rainy season | pulling | want | cows | pond | fish meal | keep | hatchling | litre | end | winter | chemical | animal | goat | creature | plant | description | farm | waters | movable | collection | diagram | sustainability | produce | blood | multiplication | gasp | food cycle | a | natural | third | light | big tree | eats | green | banks | order | help | hectare | over | entrails | nitrogen | cold | roots | 24 | 25 | 20 | sale | plantation | production | might | then | evening | 3 | food | alkalinity | practice | predator | cutting | weeds | front | now | silver | bank | oxygen | decimal | drop | slide | side | heavy | weight | carbon dioxide | fish | product | gunny | catching | measurement | laboratory | extract | out | dry season | p | increase | may | health | 7 | red | carp | dung | small | reason | base | put | algae | organic | days | times | thing | length | place | south | number | one | sunlight | body weight | thick | size | given | management | temperature | top | system | 2 | rates | white | nutrition | dal | season | shallow | broadcast | mustard oil | stocking | 10 | 12 | 15 | tree | grey | preparation | matter | poisoning | are | phytoplankton | daphnia | mater | have | need | mills | bacteria | note | ideal | labour | lip | take | so | growth rate | normal | basket | regular | mouth | moss | pair | why | rotifera | kg | mineral | average | cover | disease | doe | hindrance | quantity | selection | show | text | hopper | corner | fine | availability | ratio | knowledge | proportion | pump | ball | bush | going | black | factor | 8 | rice | local | mortality | mixture | get | dependent | familiar | diagnosing | remedy | molasses | he | covering | morning | microscope | wheat | common | fertility | bucket | testing | culture | see | result | best | subject | capacity | ph | label | colours | mud | enough | identification | finger | conditions | pants | volvox | ability | vertical | nature | importance | extent | water | c | drum | cow | country | taking | equal | plankton | whole | bran | spoil | cm | supply | wall | water hyacinth | pot | height | 60 | tons | blending | better | ploughing | eradication | basis | addition | west | three | mark | much | change | acre | brick | 4 | hyacinth | bleaching powder | fire | gas | determination | demand | an | present | case | look | seedling | fin | value | air | sunray | calcium | margin | region | procedure | layer | soil | thus | it | obstacle | triple | in | ready | copper sulphate | productivity | things | make | same | member | green manure | parts | pan | clearness | week | material | hang | mosquito net | two | poultry | lower | i | colour | no | well | 1 | bottle | meet | summer | dose | cut | tablet | application | day | source | spread | treatment | loam | pupa | potash | dwelling house | casting | government | zooplankton | possible | aquatic plant | dark | using | necessary | like | semi | spine | collect | steps | clay | bamboo | essential | right | old | grub | growth | scale | leaf | shrub | bottom | broad | decomposition | beating | be | eating | marketing | stem | mite | super | hiding | beaker | getting | range | or | swimming | presence | float | year | green algae | due | down | bangladesh | there | spots | husk | low | way | fingerling | head | form | potassium | volume | ling | sprinkling | ha | fry | observation | input | characteristic | fries | phosphate | pest | cake | problem | grass | age | dropsy | acidity | taste | m | measure | influence | life | deep | general | manure | as | at | floating | variety | domestic animal | percent | portion | 40 | flood | book | 5 | excreta | physical condition | draw | elements | mirror carp | living | diet | insect | fertilizer | structure | phosphorus | land | thorn | daily | depth | time | nutrient | deep water | caste
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-12.tei;17.6470588235;week | right | weight | pot | almond | prawn | tide | culture | single | lobster | year | pond | belt | leg | tip | system | black | stain | farming | red | body | good | exchange | farm | season | diet | lac | water | joint | making | day | bank | land | resource | cow | hour | i | decimal | well | second | o | times | green | can | clay | entry | out | side;0 | reservoir | hectare | month | catch | 40 | 90 | gm | availability | carapace | ground | ha | 20 | new moon | foreign exchange | front | young | acres | intensive | metric ton | production | black | bank | balanced diet | 8 | stain | ingredient | then | evening | 7 | 10 | food | bazar | practice | possible | joint | 2 | 12 | mixing | using | now | condition | like | colour | february | resource | oxygen | success | decimal | list | tons | large | p | embankment | clay | release | found | bamboo | fertility | side | requirement | cow dung | weight | tree | fish | almond | prawn | 50 | high tide | second | catching | lobster | result | entering | year | duration | small | 80 | enclosure | sunrise | out | sunray | rate | bottom | semi | ice | increase | farm | enough | above | exporting | net | lime | method | red | mp | body | be | transportation | wa | taka | marketing | carp | dung | here | hours | quick | reason | will | 100 | times | come | supplying | chapter | comparison | river | cow | country | region | annual | metre | days | o | upper side | amount | place | or | first | feed | supply | loam | pot | number | one | 60 | pair | fresh water | right | female | strip | total | quality | cu | belt | canal | environment | given | management | ridge | bangladesh | area | addition | there | system | sunlight | germ | spread | attack | cultivation | change | slough | acre | white | farming | type | more | nutrition | entrance | an | season | thousand | 6 | gas | it | tiger | part | adult | lac | two weeks | attempt | age | kg | case | doe | urea | legs | 15 | look | culture | apprehension | tip | fries | cash | preparation | growth | can | cox | following | making | male | average | loop | are | 3 | low | soil | 4 | few | general | tide | 14 | single | good | numbers | have | in | need | pond | shrimp | species | as | saline | 11 | end | full moon | water | same | arrangement | 1 | application | setting | 5 | take | excreta | so | creature | product | may | shelter | nourishment | m | collection | invertebrate | predator | mouth | a | plenty | fertilizer | 13 | rostrum | poultry | lower | land | natural | longer | tube well | i | light | big tree | well | disease | daily | salinity | depth | green | shade | time | crore | entry | 1000 | at | quantity
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-13.tei;19.689119171;copper | primary | down | skin | pond | speed | out | web | scale | eye | book | belly | red | body | good | permanganate | swell | vitamin | water | joint | deposition | blood | sulphate | injection | day | diagram | name | hour | glass | i | decimal | drop | wing | can | balance | tray | side | pollution;viral infection | being | swelling | lack | dose | skin | terramycin | gm | speed | injection | move | note | cut | 20 | application | supply | proportion | environment | 0 | tail | book | squeezing | fin | naked eye | wearing | then | good | food | sucker | number | joint | mixing | wings | minute | name | organ | oxygen | tear | die | decimal | drop | solution | parasite | malnutrition | shortage | tray | round | gill | hour | fish | draw | potassium permanganate | rate | growth | result | pale | bacteria | special | out | will | scale | stops | 3 | 7 | red | side | body | be | web | rub | small white | vitamin | free | standard | water | reason | decay | 100 | contagious disease | change | stage | comparison | substance | organic | losses | metre | deposition | keep | turn | or | pollution | control | presence | primary | one | down | mark | lime | take | fed | swift | initial | due | spots | germ | attack | 2 | come | white | type | more | eyes | infection | it | sore | part | external | particular | rectum | an | symptom | case | mg | 15 | circulation | characteristic | preparation | matter | can | following | balance | minutes | are | formalin | want | stick | give | days | slat | head | surface | general | as | at | have | in | pond | copper sulphate | scar | protein | saline | litre | severity | things | 40 | magnifying glass | chemical | majority | parts | 5 | belly | luster | development | begin | may | swell | 15 minutes | ammonium | diagram | blood | persecution | suck | cubic metre | a | kg | mineral | liquid | i | colour | interval | disease | fungi | doe | saline solution | depth | 1 | fungus | clean | nutrient | first | salt | dot | quantity
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-14.tei;19.4805194805;weight | house | over | year | side | primary | down | paper | lobster | pond | sharp | cold | air | rot | hole | market | out | fishery | leaf | leg | system | frog | day | start | belly | wax | banana | knife | economy | body | play | good | mat | exchange | ration | water | heat | scale | blood | eye | body temperature | teacher | chlorine | box | muscle | resource | hour | i | well | times | leave | bag | rack | can | basket | making | grass | tray | order | e;now | help | be | keep | demand | dose | entrails | 40 | same | using | dish | cold | rot | long time | cell | preserves | death | gill | knowledge | head | foreign exchange | 28 | enough | environment | platform | enzyme | production | 4 | policy | 5 | local | over | third | take | hip | plate | good | low | parcel | 3 | food | freezing | possible | fat | bound | dry | putting | know | progress | washing | blast | bringing | plan | wa | tail | resource | like | level | tear | die | piece | solution | eating | specific | collect | 7 | steps | so long | small | fall | bamboo | creature | tray | rack | view | chemical element | harm | weight | people | do | house | national | begin | dead | d | catching | lobster | remove | a | year | chambers | pale | bacteria | transport | mat | living | scale | leaf | lack | grading | profit | sun | ha | melt | increase | outside | decomposition | then | exporting | medicine | international | financial year | cause | method | knife | side | preserve | basis | ration | transportation | fish | importance | marketing | e | processing | free | standard | hours | reason | cut | extent | making | 20 | body temperature | teacher | chlorine | bangladesh | box | water | great | grass | weighing | package | country | taking | salting | parts | polythene | american | place | stand | context | act | action | contribution | whole | or | block | first | cm | supply | grade | cold water | primary | preservation | height | down | pm | pound | village | total | quality | egg | market | size | are | use | fishery | 13 | temperature | consumption | metric ton | remains | there | system | sunlight | germ | tails | mucus | spread | refrigeration | change | way | ton | stage | type | banana | more | lowering | direction | selling | form | thousand | body | c | it | heat | chlorine water | particular | arranging | last | hole | tearing | kg | present | case | 10 | keeping | 12 | 15 | target | full | bag | leave | frog legs | can | air | will | taste | ware | ooze | smear | export | wax paper | example | care | result | control | layer | strengthening | play | nutrition | process | half | lakh | one | eyes | days | as | tissue | at | want | pond | sharp | protein | shrimp | fin | dryness | hessian | ice | saline | no | amount | freezer | fresh fish | taka | potential | role | belly | fourth | out | start | economy | development | product | fatty | may | stop | eggs | bottom | collection | hand | crore | blood | 8 | cartoon | times | 2 | short | in | liquid | push | i | consumer | colour | low temperature | well | salt | portion | 1 | so | time | basket | position | muscle | starting | order | fact
/mnt/DATA/MyProject/caculate-readability-by-wordnet/data/English Textbook 4 Readability Level/difficult/9-agri-15.tei;17.9591836735;weight | house | good | year | air | hole | out | wire | angle | electricity | bowl | system | start | rates | dioxide | black | hen | chloride | side | brown | shell | farm | permanganate | nest | oil | water | blood | dust | body temperature | hold | day | e | room | hour | i | times | leave | can | night | basket | making | problem | tray | order;summer | selection | help | move | piece of cloth | human | gm | one | solitary | brood | 21 | 23 | electricity | 3 | instrument | black | 4 | cc | 8 | might | brown | good | 7 | advantage | broody hen | material | stop | dark | outlet | hatching | hands | month | day | like | necessary | oxygen | tapering | die | 50 | humidity | leave | bad | night | small | chick | security | tray | side | egg | duck | blood vessel | old | weight | carbon dioxide | village | pore | potassium permanganate | yolk | born | husk | are | year | 80 | best | out | even | will | wire | capacity | cleanliness | broad | 18 | case | enough | above | it | three | cause | method | can | measuring | be | noise | turning | do | e | seventh | possibility | hours | reason | free | found | re | body temperature | fertilized egg | water | c | respiration | g | getting | country | area | days | timer | upper side | place | or | first | embryo | then | there | cm | presence | straw | coming | number | preservation | system | 60 | dust | decrease | insecticide | thick | mark | 100 | size | nest | fed | ancient | bangladesh | basis | transfer | breed | ventilation system | sunlight | germ | hitting | start | incubation | 2 | examination | low | house | fumigation | white | stage | 500 | more | a | medium | kerosene | torch | cloth | particular | bulb | hole | hold | hen | must | sound | 10 | intake | 15 | look | developing | characteristic | inside | smooth | air | incubator | rural area | following | making | problem | cock | age | care | at | formalin | give | process | modern | broody | an | middle | as | shell | numbers | have | in | serial | times | hessian | lie | angle | winter | variety | things | make | bowl | 40 | sodium chloride | food | ideal | setting | hatch | dose | u | littre | composition | development | oil | may | electric | separate | farm | eggs | relative humidity | brooding | lay | necessity | molting | fertilizer | bad egg | structure | poultry | lower | natural | third | room | i | light | colour | no | daily | rh | giving | portion | so | temperature | clean | time | basket | rates | order
