file;ratio;blw;allNoun
data/English Textbook 4 Readability Level/difficult/9-agri-1.tei;13.5265700483;snow | manure | year | cold | fine | cotton | space | system | flood | rice | oil | wheat | water | corp | sulphur | sill | day | bank | loom | potato | i | plain | air | calcium | green | can | clay | root;irrigation | aeration | fall | rest | years | scientist | corp | root hair | nitrogen | earth | cold | fine | chili | move | content | ha | green manure | absorption | proportion | texture | intensive | source | compost | complex | jute | loam | main | then | mixture | silt | animal | metamorphic rock | material | watermelon | ganges | compound | mixing | using | now | cool | particle | tobacco | beach | classified | 50 | large | sand | 25 | drainage | found | fertility | heavy | force | till | pore | pulse | rate | oil | result | sea | duration | flood plain | residue | living | capacity | wa | matter | sun | crust | increase | may | decomposition | international | be | pepper | wheat | parent | nature | rock | clay | component | like | sedimentary rock | following | air flow | rain | active | carbon | bangladesh | dry | igneous rock | river | organic | respiration | region | decay | granule | keep | remains | action | formation | or | major | presence | radish | 70 | oxygen | snowfall | due | rice | size | environment | use | temperature | area | addition | three | cent | class | production | low | moisture | humus | i | type | more | rainfall | floodplain | form | kaon | it | part | crop | sulphur | an | present | longer | case | high | loom | crumb | 40 | characteristic | see | air | calcium | while | can | growing | example | sills | are | days | layer | ploughing | micro-organism | process | soil | half | thus | life | surface | equal | manure | as | seed | at | have | in | cotton | make | percent | snow | same | chemical | majority | ideal | porosity | 5 | holding | better | vegetable | flow of air | composition | system of measurement | development | plant | elements | sugarcane | variation | water | desert | structure | phosphorus | a | natural | mineral | potato | rotting | light | age | space | so | time | banks | nutrient | organism
data/English Textbook 4 Readability Level/difficult/9-agri-10.tei;12.8065395095;weight | flat | year | culture | mirror | pond | fine | market | belt | scale | field | tip | system | teacher | current | flood | lip | boat | mass | day | side | body | brown | government | farm | season | lac | water | blood | hole | law | silver | gray | land | resource | i | plain | gun | value | times | green | can | problem | grass | tray | order | pollution;irrigation | resistance | livelihood | gm | row | feeding | hunting | disposal | young | environment | tail | month | condition | cool | level | dig | gun | large | small | programme | upper | crop | rate | flood plain | sub | asia | current | above | net | movement | body | full | dweller | water | following | china | november | teacher | great | respiration | study | 30 | metre | punishment | fresh water | total | market | intensive | use | consumption | two | dorsal fin | few | cultivation | type | more | sort | flat | expose | particular | hole | harvest | flood control | can | growing | example | micro-organism | december | high | rainy season | pond | times | protein | native | winter | acts | bay of bengal | species | 1 | animal | zone | establishment | plant | may | collection | lac | produce | lay | law | man | a | short | natural | eats | jail | order | help | hectare | move | years | 24 | group | 23 | apex | lateral | 28 | production | farmer | fin | food | material | dike | weeds | now | silver | term | classified | embankment | found | tray | side | vogue | weight | fingerling | fish | deficiency | catching | measure | special | living | increase | farm | cause | matric | common | carp | free | reason | marine | training | organic | so | keep | length | place | south | blood | feed | major | revenue | one | toxic industrial waste | carry | thick | open | size | given | management | jew | system | regulation | white | defaulter | season | july | population | 10 | kind | 12 | 15 | grey | reproduction | russia | phytoplankton | manner | have | demonstration | sell | conversion | potential | lip | take | green | growth rate | gill | normal | eggs | mouth | plan | kg | clear | disease | doe | principle | laws | sector | poison | fine | piranha | 8 | hope | do | dependent | gray | resource | fields | gram | release | river | view | requirement | habit | culture | are | ways | mud | 3 | import | infrastructure | explosive | wa | nature | 20 | come | climate | last | country | region | april | context | plankton | cm | supply | period | tons | boat | poa | abdominal | basis | oder | due | cent | reduction | fry | pesticide | thousand | demand | catch | an | present | tank | straight | value | while | layer | soil | it | middle | in | hoar | conserve | saline | make | peoples | 9 | composition | day | development | average | necessity | trawler | destruction | lower | i | colour | hatchery | summer | being | percent | dose | shape | fishing | rapid | point | character | lake | improvement | source | 4 | harvesting | government | zooplankton | possible | aquatic plant | dark | using | execution | fish farm | necessary | like | semi | 50 | specific | collect | steps | drainage | habitat | export | scale | bottom | belt | price | measuring | be | arrow | power | stage | chapter | extension | coral | shrimp | act | or | pollution | microorganism | vertebrate | three | female | canal | bangladesh | area | there | conservation | low | way | breeding | head | volume | construction | ha | characteristic | fries | maturity | problem | grass | temper | year | general | as | at | no | tip | 40 | application | setting | 5 | mirror carp | june | insect | light brown | fisher | land | longer | portion | mass | time | original
data/English Textbook 4 Readability Level/difficult/9-agri-11.tei;18.3864915572;over | nursery | cold | fine | day | tape | factor | rice | brown | good | government | sulphate | silver | bank | school | name | decimal | drop | leave | microscope | mosquito | clay | side | right | weight | house | culture | oil | year | laboratory | mill | out | scale | leaf | rot | pump | fountain | dioxide | red | body | wheat | water | base | poisoning | drum | cow | times | copper | wall | pot | down | market | fence | system | rates | black | flat | fire | season | glass | stocking | hour | bucket | value | air | calcium | phosphate | can | making | problem | grass | root | mirror | manure | triple | pond | flood | book | lip | goat | pan | week | ball | mustard | farm | diet | diagram | blood | moss | land | observation | i | well | green | bottle | basket | order | meet;breadth | precondition | partial | irrigation | livelihood | obstruction | aquatic | go | gm | rot | long time | removal | environment | compost | fountain | ingredient | brown | urea | mg | hatching | fall | mixing | trouble | month | condition | school | good | die | leave | rearing | nursery | ml | quick | round | upper | fence | crop | rate | cost | patient | investment | even | will | sun | asia | above | net | method | movement | body | here | hours | following | diatom | excess | 100 | sieve | coverlet | supplying | dry | great | 30 | metre | amount | loop | action | straw | africa | fresh water | decrease | names | total | market | lime | intensive | use | sedge | consumption | remains | tail | germ | dorsal fin | cultivation | 6 | tape | stage | type | more | flat | entrance | glass | stick | caudal fin | harvest | keeping | hour | big fish | can | transparency | growing | making | example | control | compare | dropper | nursing | process | high | rainy season | pulling | want | cows | pond | fish meal | keep | hatchling | litre | end | winter | chemical | animal | goat | creature | plant | description | farm | waters | movable | collection | diagram | sustainability | produce | blood | multiplication | gasp | food cycle | a | natural | third | light | big tree | eats | green | banks | order | help | hectare | over | entrails | nitrogen | cold | roots | 24 | 25 | 20 | sale | plantation | production | might | then | evening | 3 | food | alkalinity | practice | predator | cutting | weeds | front | now | silver | bank | oxygen | decimal | drop | slide | side | heavy | weight | carbon dioxide | fish | product | gunny | catching | measurement | laboratory | extract | out | dry season | p | increase | may | health | 7 | red | carp | dung | small | reason | base | put | algae | organic | days | times | thing | length | place | south | number | one | sunlight | body weight | thick | size | given | management | temperature | top | system | 2 | rates | white | nutrition | dal | season | shallow | broadcast | mustard oil | stocking | 10 | 12 | 15 | tree | grey | preparation | matter | poisoning | are | phytoplankton | daphnia | mater | have | need | mills | bacteria | note | ideal | labour | lip | take | so | growth rate | normal | basket | regular | mouth | moss | pair | why | rotifera | kg | mineral | average | cover | disease | doe | hindrance | quantity | selection | show | text | hopper | corner | fine | availability | ratio | knowledge | proportion | pump | ball | bush | going | black | factor | 8 | rice | local | mortality | mixture | get | dependent | familiar | diagnosing | remedy | molasses | he | covering | morning | microscope | wheat | common | fertility | bucket | testing | culture | see | result | best | subject | capacity | ph | label | colours | mud | enough | identification | finger | conditions | pants | volvox | ability | vertical | nature | importance | extent | water | c | drum | cow | country | taking | equal | plankton | whole | bran | spoil | cm | supply | wall | water hyacinth | pot | height | 60 | tons | blending | better | ploughing | eradication | basis | addition | west | three | mark | much | change | acre | brick | 4 | hyacinth | bleaching powder | fire | gas | determination | demand | an | present | case | look | seedling | fin | value | air | sunray | calcium | margin | region | procedure | layer | soil | thus | it | obstacle | triple | in | ready | copper sulphate | productivity | things | make | same | member | green manure | parts | pan | clearness | week | material | hang | mosquito net | two | poultry | lower | i | colour | no | well | 1 | bottle | meet | summer | dose | cut | tablet | application | day | source | spread | treatment | loam | pupa | potash | dwelling house | casting | government | zooplankton | possible | aquatic plant | dark | using | necessary | like | semi | spine | collect | steps | clay | bamboo | essential | right | old | grub | growth | scale | leaf | shrub | bottom | broad | decomposition | beating | be | eating | marketing | stem | mite | super | hiding | beaker | getting | range | or | swimming | presence | float | year | green algae | due | down | bangladesh | there | spots | husk | low | way | fingerling | head | form | potassium | volume | ling | sprinkling | ha | fry | observation | input | characteristic | fries | phosphate | pest | cake | problem | grass | age | dropsy | acidity | taste | m | measure | influence | life | deep | general | manure | as | at | floating | variety | domestic animal | percent | portion | 40 | flood | book | 5 | excreta | physical condition | draw | elements | mirror carp | living | diet | insect | fertilizer | structure | phosphorus | land | thorn | daily | depth | time | nutrient | deep water | caste
data/English Textbook 4 Readability Level/difficult/9-agri-12.tei;17.6470588235;week | right | weight | pot | almond | prawn | tide | culture | single | lobster | year | pond | belt | leg | tip | system | black | stain | farming | red | body | good | exchange | farm | season | diet | lac | water | joint | making | day | bank | land | resource | cow | hour | i | decimal | well | second | o | times | green | can | clay | entry | out | side;0 | reservoir | hectare | month | catch | 40 | 90 | gm | availability | carapace | ground | ha | 20 | new moon | foreign exchange | front | young | acres | intensive | metric ton | production | black | bank | balanced diet | 8 | stain | ingredient | then | evening | 7 | 10 | food | bazar | practice | possible | joint | 2 | 12 | mixing | using | now | condition | like | colour | february | resource | oxygen | success | decimal | list | tons | large | p | embankment | clay | release | found | bamboo | fertility | side | requirement | cow dung | weight | tree | fish | almond | prawn | 50 | high tide | second | catching | lobster | result | entering | year | duration | small | 80 | enclosure | sunrise | out | sunray | rate | bottom | semi | ice | increase | farm | enough | above | exporting | net | lime | method | red | mp | body | be | transportation | wa | taka | marketing | carp | dung | here | hours | quick | reason | will | 100 | times | come | supplying | chapter | comparison | river | cow | country | region | annual | metre | days | o | upper side | amount | place | or | first | feed | supply | loam | pot | number | one | 60 | pair | fresh water | right | female | strip | total | quality | cu | belt | canal | environment | given | management | ridge | bangladesh | area | addition | there | system | sunlight | germ | spread | attack | cultivation | change | slough | acre | white | farming | type | more | nutrition | entrance | an | season | thousand | 6 | gas | it | tiger | part | adult | lac | two weeks | attempt | age | kg | case | doe | urea | legs | 15 | look | culture | apprehension | tip | fries | cash | preparation | growth | can | cox | following | making | male | average | loop | are | 3 | low | soil | 4 | few | general | tide | 14 | single | good | numbers | have | in | need | pond | shrimp | species | as | saline | 11 | end | full moon | water | same | arrangement | 1 | application | setting | 5 | take | excreta | so | creature | product | may | shelter | nourishment | m | collection | invertebrate | predator | mouth | a | plenty | fertilizer | 13 | rostrum | poultry | lower | land | natural | longer | tube well | i | light | big tree | well | disease | daily | salinity | depth | green | shade | time | crore | entry | 1000 | at | quantity
data/English Textbook 4 Readability Level/difficult/9-agri-13.tei;19.689119171;copper | primary | down | skin | pond | speed | out | web | scale | eye | book | belly | red | body | good | permanganate | swell | vitamin | water | joint | deposition | blood | sulphate | injection | day | diagram | name | hour | glass | i | decimal | drop | wing | can | balance | tray | side | pollution;viral infection | being | swelling | lack | dose | skin | terramycin | gm | speed | injection | move | note | cut | 20 | application | supply | proportion | environment | 0 | tail | book | squeezing | fin | naked eye | wearing | then | good | food | sucker | number | joint | mixing | wings | minute | name | organ | oxygen | tear | die | decimal | drop | solution | parasite | malnutrition | shortage | tray | round | gill | hour | fish | draw | potassium permanganate | rate | growth | result | pale | bacteria | special | out | will | scale | stops | 3 | 7 | red | side | body | be | web | rub | small white | vitamin | free | standard | water | reason | decay | 100 | contagious disease | change | stage | comparison | substance | organic | losses | metre | deposition | keep | turn | or | pollution | control | presence | primary | one | down | mark | lime | take | fed | swift | initial | due | spots | germ | attack | 2 | come | white | type | more | eyes | infection | it | sore | part | external | particular | rectum | an | symptom | case | mg | 15 | circulation | characteristic | preparation | matter | can | following | balance | minutes | are | formalin | want | stick | give | days | slat | head | surface | general | as | at | have | in | pond | copper sulphate | scar | protein | saline | litre | severity | things | 40 | magnifying glass | chemical | majority | parts | 5 | belly | luster | development | begin | may | swell | 15 minutes | ammonium | diagram | blood | persecution | suck | cubic metre | a | kg | mineral | liquid | i | colour | interval | disease | fungi | doe | saline solution | depth | 1 | fungus | clean | nutrient | first | salt | dot | quantity
data/English Textbook 4 Readability Level/difficult/9-agri-14.tei;19.4805194805;weight | house | over | year | side | primary | down | paper | lobster | pond | sharp | cold | air | rot | hole | market | out | fishery | leaf | leg | system | frog | day | start | belly | wax | banana | knife | economy | body | play | good | mat | exchange | ration | water | heat | scale | blood | eye | body temperature | teacher | chlorine | box | muscle | resource | hour | i | well | times | leave | bag | rack | can | basket | making | grass | tray | order | e;now | help | be | keep | demand | dose | entrails | 40 | same | using | dish | cold | rot | long time | cell | preserves | death | gill | knowledge | head | foreign exchange | 28 | enough | environment | platform | enzyme | production | 4 | policy | 5 | local | over | third | take | hip | plate | good | low | parcel | 3 | food | freezing | possible | fat | bound | dry | putting | know | progress | washing | blast | bringing | plan | wa | tail | resource | like | level | tear | die | piece | solution | eating | specific | collect | 7 | steps | so long | small | fall | bamboo | creature | tray | rack | view | chemical element | harm | weight | people | do | house | national | begin | dead | d | catching | lobster | remove | a | year | chambers | pale | bacteria | transport | mat | living | scale | leaf | lack | grading | profit | sun | ha | melt | increase | outside | decomposition | then | exporting | medicine | international | financial year | cause | method | knife | side | preserve | basis | ration | transportation | fish | importance | marketing | e | processing | free | standard | hours | reason | cut | extent | making | 20 | body temperature | teacher | chlorine | bangladesh | box | water | great | grass | weighing | package | country | taking | salting | parts | polythene | american | place | stand | context | act | action | contribution | whole | or | block | first | cm | supply | grade | cold water | primary | preservation | height | down | pm | pound | village | total | quality | egg | market | size | are | use | fishery | 13 | temperature | consumption | metric ton | remains | there | system | sunlight | germ | tails | mucus | spread | refrigeration | change | way | ton | stage | type | banana | more | lowering | direction | selling | form | thousand | body | c | it | heat | chlorine water | particular | arranging | last | hole | tearing | kg | present | case | 10 | keeping | 12 | 15 | target | full | bag | leave | frog legs | can | air | will | taste | ware | ooze | smear | export | wax paper | example | care | result | control | layer | strengthening | play | nutrition | process | half | lakh | one | eyes | days | as | tissue | at | want | pond | sharp | protein | shrimp | fin | dryness | hessian | ice | saline | no | amount | freezer | fresh fish | taka | potential | role | belly | fourth | out | start | economy | development | product | fatty | may | stop | eggs | bottom | collection | hand | crore | blood | 8 | cartoon | times | 2 | short | in | liquid | push | i | consumer | colour | low temperature | well | salt | portion | 1 | so | time | basket | position | muscle | starting | order | fact
data/English Textbook 4 Readability Level/difficult/9-agri-15.tei;17.9591836735;weight | house | good | year | air | hole | out | wire | angle | electricity | bowl | system | start | rates | dioxide | black | hen | chloride | side | brown | shell | farm | permanganate | nest | oil | water | blood | dust | body temperature | hold | day | e | room | hour | i | times | leave | can | night | basket | making | problem | tray | order;summer | selection | help | move | piece of cloth | human | gm | one | solitary | brood | 21 | 23 | electricity | 3 | instrument | black | 4 | cc | 8 | might | brown | good | 7 | advantage | broody hen | material | stop | dark | outlet | hatching | hands | month | day | like | necessary | oxygen | tapering | die | 50 | humidity | leave | bad | night | small | chick | security | tray | side | egg | duck | blood vessel | old | weight | carbon dioxide | village | pore | potassium permanganate | yolk | born | husk | are | year | 80 | best | out | even | will | wire | capacity | cleanliness | broad | 18 | case | enough | above | it | three | cause | method | can | measuring | be | noise | turning | do | e | seventh | possibility | hours | reason | free | found | re | body temperature | fertilized egg | water | c | respiration | g | getting | country | area | days | timer | upper side | place | or | first | embryo | then | there | cm | presence | straw | coming | number | preservation | system | 60 | dust | decrease | insecticide | thick | mark | 100 | size | nest | fed | ancient | bangladesh | basis | transfer | breed | ventilation system | sunlight | germ | hitting | start | incubation | 2 | examination | low | house | fumigation | white | stage | 500 | more | a | medium | kerosene | torch | cloth | particular | bulb | hole | hold | hen | must | sound | 10 | intake | 15 | look | developing | characteristic | inside | smooth | air | incubator | rural area | following | making | problem | cock | age | care | at | formalin | give | process | modern | broody | an | middle | as | shell | numbers | have | in | serial | times | hessian | lie | angle | winter | variety | things | make | bowl | 40 | sodium chloride | food | ideal | setting | hatch | dose | u | littre | composition | development | oil | may | electric | separate | farm | eggs | relative humidity | brooding | lay | necessity | molting | fertilizer | bad egg | structure | poultry | lower | natural | third | room | i | light | colour | no | daily | rh | giving | portion | so | temperature | clean | time | basket | rates | order
data/English Textbook 4 Readability Level/difficult/9-agri-16.tei;18.75;heater | right | weight | house | meet | year | strain | good | skin | pot | air | market | out | wire | floor | electricity | system | start | lamp | wood | red | board | hen | furnace | over | pan | side | week | shell | mat | leg | farm | season | vitamin | diet | water | heat | land | making | dust | day | oyster | room | farming | e | name | hour | i | island | space | well | worm | roof | double | rice | calcium | can | night | entry | balance | tray | order | mean;breadth | now | selection | summer | high temperature | out | cross | four | time immemorial | planning | using | years | chicken | lay | ground | blow | 25 | feeding | 20 | 21 | 23 | electricity | name | point | day | environment | list | must | production | board | balanced diet | oyster shell | electric heater | over | ingredient | cornish | c | good | 7 | egyptian | food | there | material | sight | period | eggs | crude | 2 | putting | hands | front | washing | trouble | height | routine | furniture | growing | necessary | success | broiler | diet | kerosene lamp | 16 | laying | bird | specific | rearing | ventilation | 24 | man | night | crossing | chick | bamboo | fault | tray | meal | programme | burial | requirement | right | weight | be | house | homestead | skin | mediterranean | worm | deficiency | rate | growth | ha | result | entering | die | duration | small | pot | 5 | gm | best | description | living | wire | darkness | matter | saw | centre | 4 | thickness | may | enough | mate | use | capital | medicine | get | size | rh | method | red | movement | measuring | specialist | full | business | dirt | marketing | e | attention | commercial | vitamin | rhode island red | like | hours | drinking water | rapid | great | collection | found | put | 100 | contagious disease | supplying | temperature | dry | water | training | sewerage | one | circumference | leghorn | area | metre | space | side | brooder | remains | american | place | month | wetting | eight | whole | or | purpose | feed | breed | dwelling | cm | supply | straw | meet | 70 | number | feeder | 60 | rice | guard | insecticide | roads | littre | egg | market | lime | roofing | given | management | bangladesh | start | vaccination | come | housing | initial | due | germ | breath | premix | ventilation system | spread | low | way | length | white | farming | type | empty | more | function | main | ceiling | form | germicide | season | kerosene | hen | climate | it | heat | land | 8 | particular | sprinkling | requisite | an | drainage system | bulb | longer | sound | wood | legs | 15 | room | strain | double | inside | maximum | roof | air | will | calcium | husk | new hampshire | can | netting | country | following | making | balance | taking | deceased | are | control | layer | nursing | a | then | soil | influence | site | days | high | cluster | as | at | have | in | importing | protein | doe | dress | 80 | conversion | end | winter | floor | fencing | make | means | percent | amount | 40 | arrangement | power | watt | tin | stage | take | normal | going | furnace | establishment | pan | development | care | sussex | electric | see | separate | farm | price | time | mat | relative humidity | hand | brooding | produce | lighting | cleaning | net | dust | 1 | goal | poultry | 120 | short | so | mineral | i | light | age | gather | well | disease | daily | meat | hi | week | free | clean | english | entry | first | loss | order | quantity
data/English Textbook 4 Readability Level/difficult/9-agri-17.tei;19.7841726619;right | weight | house | manure | rice | year | pond | air | out | fishery | density | system | frog | day | bank | hen | farming | pan | can | week | brown | good | wheat | mat | snail | leg | season | clay | diet | lac | water | fund | land | meet | dust | hole | silver | oyster | drop | i | decimal | floor | well | space | roof | times | leave | s | jungle | night | making | problem | grass | star | mean;summer | aquatic | help | dry land | fall | rest | cross | cake | 4 | campbell | chicken | lay | solitary | feeding | 20 | 21 | density | extra | young | environment | source | production | bank | balanced diet | 5 | rice | local | lath | centimetre | take | swim | brown | good | 7 | means | food | predator | aquatic plant | eggs | remedy | 12 | weeds | mixing | using | month | bringing | silver | condition | like | necessary | particle | broiler | fries | decimal | clay | young fish | 50 | remove | parasite | dry season | rearing | common | shortage | small | chick | bamboo | fertility | meal | protein | heavy | requirement | square | weight | laying | fish | 3 | rate | growth | doe | result | year | gm | best | out | even | sesame | nil | expert | bottom | ha | cut | integration | poison | 18 | increase | case | enough | indian | above | net | size | method | be | khaki | wheat | do | 25 | marketing | carp | activity | given | or | water | following | management | no | meet | lac | supplying | bangladesh | days | organic | country | 30 | metre | insect | leaving | amount | place | crore | act | s | bran | first | feed | two | there | cm | supply | straw | number | height | 60 | dust | right | frog | duck | total | lime | little | fishery | temperature | area | remains | positive | breed | system | least | fight | fowl | attack | cultivation | treat | way | house | aperture | hen | farming | type | more | a | am | wet | gas | gap | fund | construction | stick | rubbish | 8 | kg | hole | an | land | square metre | distance | 13 | legs | leave | smooth | as | roof | air | preparation | 2 | husk | can | growing | making | problem | grass | are | control | layer | then | runner | soil | thus | it | equal | manure | list | pulling | at | have | in | need | pond | fish meal | times | floating | low | inquest | productivity | winter | floor | fencing | oxygen | life cycle | mixed farming | application | tin | role | catfish | excreta | 9 | so | scientific method | pan | 10 | week | star | mat | snail | separate | may | dive | fed | hand | permanent | chance | purpose | fertilizer | oyster | keep | poultry | night | drop | natural | i | light | age | space | well | disease | daily | meat | depth | 1 | sunset | jungle | time | banks | nutrient | years | salt | make | wind
data/English Textbook 4 Readability Level/difficult/9-agri-18.tei;19.1616766467;week | nut | almond | down | oil | mill | out | mass | hen | rice | goat | cod | body | shell | wheat | mustard | snail | ration | vitamin | water | dust | day | oyster | cow | potato | i | well | calcium | green | can | grass | bone;now | help | resistance | yellow | four | entrails | mill | ground | cell | feeding | proportion | production | must | ingredient | then | mixture | food | material | fat | molasses | mixing | difference | condition | meat | loss | necessary | like | list | shortage | meal | bone | week | energy | almond | pulse | millet | husk | result | wheat | khesari | substitute | fatty | sun | increase | capital | bird | body | be | handful | turning | ration | vitamin | water | cake | cut | supplying | grass | food grain | taking | days | keep | thing | amount | place | undesirable | whole | bran | first | vegetable oil | control | due | down | downside | duck | calorie | total | mass | lime | maize | given | temperature | top | there | three | premix | way | hen | type | fish | egg | more | function | a | shell | hotel | cod-liver oil | oil | substance | hot water | nut | yolk | present | circumstances | rice | look | getting | will | calcium | can | following | sweet potato | piece | age | are | collecting | pyramid | fowl | it | an | carbohydrate | need | as | seed | at | have | in | cows | fish meal | protein | fill | strength | turn | things | same | 5 | take | green | out | goat | development | elements | mustard | snail | eggs | hand | fungus | purpose | 70 | dust | oyster | phosphorus | poultry | so | mineral | i | light | colour | no | well | disease | or | upside | clean | time | nutrient | salt | quantity
