file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Difficult/ml/ml (15).txt,851,38,6281
data/ppVietnamese_by_catalog/Difficult/ml/ml (5).txt,1683,83,12344
data/ppVietnamese_by_catalog/Difficult/ml/ml (2).txt,1185,59,9308
data/ppVietnamese_by_catalog/Difficult/ml/ml (6).txt,1743,83,12102
data/ppVietnamese_by_catalog/Difficult/ml/ml (29).txt,2411,134,17345
data/ppVietnamese_by_catalog/Difficult/ml/ml (16).txt,220,8,1852
data/ppVietnamese_by_catalog/Difficult/ml/ml (30).txt,2810,137,21267
data/ppVietnamese_by_catalog/Difficult/ml/ml (3).txt,829,31,6410
data/ppVietnamese_by_catalog/Difficult/ml/ml (11).txt,3347,148,21993
data/ppVietnamese_by_catalog/Difficult/ml/ml (7).txt,2599,143,17105
data/ppVietnamese_by_catalog/Difficult/ml/ml (31).txt,1621,86,13080
data/ppVietnamese_by_catalog/Difficult/ml/ml (18).txt,1759,78,13608
data/ppVietnamese_by_catalog/Difficult/ml/ml (9).txt,1743,83,12102
data/ppVietnamese_by_catalog/Difficult/ml/ml (23).txt,2284,114,17287
data/ppVietnamese_by_catalog/Difficult/ml/ml (28).txt,2055,156,14588
data/ppVietnamese_by_catalog/Difficult/ml/ml (22).txt,1289,68,10018
data/ppVietnamese_by_catalog/Difficult/ml/ml (21).txt,1656,70,12946
data/ppVietnamese_by_catalog/Difficult/ml/ml (20).txt,2912,108,22206
data/ppVietnamese_by_catalog/Difficult/ml/ml (12).txt,5062,270,32444
data/ppVietnamese_by_catalog/Difficult/ml/ml (14).txt,1462,69,11278
data/ppVietnamese_by_catalog/Difficult/ml/ml (26).txt,959,57,7373
data/ppVietnamese_by_catalog/Difficult/ml/ml (27).txt,1313,70,9498
data/ppVietnamese_by_catalog/Difficult/ml/ml (13).txt,2681,109,19682
data/ppVietnamese_by_catalog/Difficult/ml/ml (4).txt,1540,71,11559
data/ppVietnamese_by_catalog/Difficult/ml/ml (24).txt,3022,130,23066
data/ppVietnamese_by_catalog/Difficult/ml/ml (19).txt,2719,98,21160
data/ppVietnamese_by_catalog/Difficult/ml/ml (17).txt,1994,91,14798
data/ppVietnamese_by_catalog/Difficult/ml/ml (10).txt,3347,148,21993
data/ppVietnamese_by_catalog/Difficult/ml/ml (25).txt,3022,130,23066
data/ppVietnamese_by_catalog/Difficult/ml/ml (8).txt,2967,172,20421
data/ppVietnamese_by_catalog/Difficult/tl/tl (105).txt,2394,116,16870
data/ppVietnamese_by_catalog/Difficult/tl/tl (159).txt,2340,222,16119
data/ppVietnamese_by_catalog/Difficult/tl/tl (156).txt,2485,145,19860
data/ppVietnamese_by_catalog/Difficult/tl/tl (146).txt,1407,75,10061
data/ppVietnamese_by_catalog/Difficult/tl/tl (110).txt,5452,122,38746
data/ppVietnamese_by_catalog/Difficult/tl/tl (101).txt,5477,281,40120
data/ppVietnamese_by_catalog/Difficult/tl/tl (104).txt,2847,147,18810
data/ppVietnamese_by_catalog/Difficult/tl/tl (40).txt,7779,428,56593
data/ppVietnamese_by_catalog/Difficult/tl/tl (82).txt,7359,200,51592
data/ppVietnamese_by_catalog/Difficult/tl/tl (87).txt,8656,356,61003
data/ppVietnamese_by_catalog/Difficult/tl/tl (169).txt,3451,188,24173
data/ppVietnamese_by_catalog/Difficult/tl/tl (33).txt,6498,263,45843
data/ppVietnamese_by_catalog/Difficult/tl/tl (47).txt,1687,143,12812
data/ppVietnamese_by_catalog/Difficult/tl/tl (173).txt,4629,500,31321
data/ppVietnamese_by_catalog/Difficult/tl/tl (37).txt,4092,166,29486
data/ppVietnamese_by_catalog/Difficult/tl/tl (103).txt,5320,212,40173
data/ppVietnamese_by_catalog/Difficult/tl/tl (158).txt,1622,127,12235
data/ppVietnamese_by_catalog/Difficult/tl/tl (155).txt,9234,478,69264
data/ppVietnamese_by_catalog/Difficult/tl/tl (121).txt,3962,196,30329
data/ppVietnamese_by_catalog/Difficult/tl/tl (148).txt,3745,162,27477
data/ppVietnamese_by_catalog/Difficult/tl/tl (95).txt,2078,83,14834
data/ppVietnamese_by_catalog/Difficult/tl/tl (48).txt,6785,324,47822
data/ppVietnamese_by_catalog/Difficult/tl/tl (150).txt,10265,426,73191
data/ppVietnamese_by_catalog/Difficult/tl/tl (136).txt,3608,189,23799
data/ppVietnamese_by_catalog/Difficult/tl/tl (5).txt,3189,137,20569
data/ppVietnamese_by_catalog/Difficult/tl/tl (111).txt,3693,212,26427
data/ppVietnamese_by_catalog/Difficult/tl/tl (65).txt,6875,339,48306
data/ppVietnamese_by_catalog/Difficult/tl/tl (81).txt,5333,265,41051
data/ppVietnamese_by_catalog/Difficult/tl/tl (34).txt,5735,261,38537
data/ppVietnamese_by_catalog/Difficult/tl/tl (22).txt,10418,939,69889
data/ppVietnamese_by_catalog/Difficult/tl/tl (88).txt,8915,351,63284
