file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (100).txt,329,12,1618
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (1).txt,1168,60,5909
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (101).txt,710,37,3415
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (10).txt,1713,82,9279
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (103).txt,521,31,2561
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (105).txt,600,25,3094
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (102).txt,1483,70,7446
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (104).txt,558,30,3113
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (106).txt,679,35,3397
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (107).txt,458,19,2526
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (108).txt,1845,86,9252
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (110).txt,1093,55,5662
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (11).txt,1556,75,7915
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (111).txt,1397,72,7214
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (109).txt,1803,78,8897
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (116).txt,901,37,4367
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (112).txt,1582,71,8032
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (119).txt,788,35,3582
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (114).txt,1425,62,7247
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (113).txt,1308,61,6783
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (117).txt,1161,56,5962
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (121).txt,202,9,1020
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (12).txt,1445,64,7553
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (123).txt,941,51,5079
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (118).txt,2306,113,12215
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (120).txt,1635,66,7666
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (122).txt,1373,53,6926
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (124).txt,1222,56,6815
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (127).txt,801,44,4436
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (128).txt,768,36,4290
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (125).txt,877,42,4807
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (129).txt,1753,77,9485
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (13).txt,608,28,3145
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (126).txt,1036,58,5978
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (130).txt,1416,68,7332
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (17).txt,719,32,3749
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (20).txt,633,22,3520
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (2).txt,1308,58,6576
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (18).txt,2374,83,13126
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (15).txt,622,34,3441
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (21).txt,1410,62,7564
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (22).txt,1810,73,9483
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (16).txt,880,54,4786
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (19).txt,2384,112,12335
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (24).txt,1828,90,9269
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (25).txt,1700,68,8334
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (26).txt,423,22,2416
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (23).txt,2477,95,13594
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (28).txt,1228,46,6617
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (3).txt,1045,42,5905
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (29).txt,1938,82,10439
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (31).txt,1856,82,9909
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (27).txt,2319,97,12605
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (34).txt,1012,42,5214
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (35).txt,1245,45,6571
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (32).txt,1964,79,10187
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (33).txt,1693,90,8576
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (38).txt,1283,57,6314
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (39).txt,588,36,3280
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (36).txt,1877,75,9915
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (37).txt,1551,70,8423
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (42).txt,511,31,2603
