file,totalWords, totalSentences, totalLetter
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (377).txt,159,7,954
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (263).txt,265,14,1576
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (378).txt,263,13,1730
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (379).txt,138,7,828
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (44).txt,348,13,2328
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (403).txt,116,5,780
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (318).txt,244,12,1575
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (99).txt,232,11,1435
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (381).txt,708,29,4352
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (380).txt,100,5,664
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (350).txt,259,14,1664
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (450).txt,448,20,2958
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (465).txt,521,26,3384
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (506).txt,183,9,1196
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (46).txt,597,33,3666
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (427).txt,438,17,2723
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (382).txt,212,12,1281
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (101).txt,189,9,1272
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (324).txt,618,24,3882
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (6).txt,561,24,3679
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (341).txt,606,19,3888
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (162).txt,722,39,4027
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (483).txt,130,12,848
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (255).txt,244,12,1488
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (419).txt,151,9,885
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (492).txt,300,113,2126
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (236).txt,149,6,994
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (136).txt,712,38,4453
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (188).txt,237,12,1497
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (193).txt,213,8,1289
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (3).txt,999,51,6523
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (38).txt,584,23,3632
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (126).txt,207,9,1263
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (327).txt,318,16,1921
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (226).txt,126,7,756
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (354).txt,699,26,4451
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (65).txt,112,4,650
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (78).txt,160,4,1031
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (314).txt,161,8,816
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (416).txt,66,3,416
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (155).txt,843,39,5884
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (124).txt,453,19,2711
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (11).txt,1143,51,7114
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (269).txt,413,19,2499
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (170).txt,1214,62,8015
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (47).txt,163,9,1034
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (291).txt,233,8,1508
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (267).txt,156,7,954
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (348).txt,279,14,2005
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (428).txt,719,30,4689
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (53).txt,586,35,3227
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (396).txt,1181,58,7164
