filename,letters_words,blw,lable,predict,,,
traindata,traindata,traindata,traindata,traindata,,,
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (3).txt,,6.856018653,11.282051282,3,2,0,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (231).txt,,6.972030807,9.365558912,3,3,1,
data/ppVietnamese_by_catalog/Easy/jk/jk (25).txt,,5.50390625,15.646258503,1,1,1,
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (273).txt,,5.042056075,16.901408451,1,1,1,
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (17).txt,,6.012048193,12.765957447,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (912).txt,,6.136882129,9.166666667,2,2,1,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (552).txt,,6.253658537,14.942528736,2,2,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (574).txt,,5.958333333,8.510638298,1,2,0,
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (456).txt,,7.608695652,12.727272727,2,3,0,
data/ppVietnamese_by_catalog/Normal/GDu_TT_/GDu_TT_ (580).txt,,5.642533937,12.5,2,1,0,
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (110).txt,,5.423566879,16.666666667,1,1,1,
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (379).txt,,6,16.666666667,2,2,1,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (530).txt,,6.537037037,12.5,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (250).txt,,5.930894309,17.486338798,2,2,1,
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (20).txt,,5.632754342,13.475177305,2,1,0,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (656).txt,,5.882183908,15.224913495,2,2,1,
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (190).txt,,5.455210238,9.677419355,1,1,1,
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (51).txt,,4.982269504,23.157894737,2,1,0,
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (116).txt,,6.771300448,15.151515152,2,2,1,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (675).txt,,6.985074627,12.962962963,2,2,1,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (240).txt,,5.893939394,10.606060606,2,2,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (208).txt,,5.01459854,11.475409836,1,1,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (520).txt,,6.485380117,12.121212121,1,2,0,
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (1).txt,,6.075907591,17.431192661,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1061).txt,,6.494208494,14.285714286,2,2,1,
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (117).txt,,7.660300691,13.043478261,3,3,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (221).txt,,4.730769231,13.725490196,1,1,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (853).txt,,7.326148079,11.16838488,3,3,1,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (386).txt,,6.0215311,14.864864865,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (12).txt,,4.894366197,9.375,1,1,1,
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (167).txt,,5.585284281,15.267175573,1,1,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (62).txt,,5.223577236,10.869565217,1,1,1,
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (355).txt,,6.236040609,15.50802139,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (535).txt,,6.074127907,14.468085106,2,2,1,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (834).txt,,6.061904762,19.791666667,2,2,1,
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (403).txt,,6.330985915,18.461538462,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (3).txt,,5.932862191,11.538461538,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (820).txt,,5.793103448,7.8125,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (562).txt,,5.967632027,13.725490196,2,2,1,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (184).txt,,6.518610422,16.230366492,2,2,1,
data/ppVietnamese_by_catalog/Normal/BDS_TN_/BDS_TN_ (239).txt,,5.716510903,15.384615385,2,1,0,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (409).txt,,7.31884058,13.131313131,2,3,0,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (199).txt,,7.063157895,11.842105263,2,2,1,
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (152).txt,,5.862644416,10.465116279,1,2,0,
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (216).txt,,6.003205128,22.222222222,2,2,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (547).txt,,7.402108963,10.612855007,3,3,1,
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (717).txt,,5.065934066,14.634146341,2,1,0,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (213).txt,,6.221556886,13.888888889,2,2,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (725).txt,,7.091176471,10.207336523,3,3,1,
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (636).txt,,5.975,20.238095238,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (492).txt,,6.847926267,19.791666667,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-11/vm-11 (32).txt,,5.35915493,14.492753623,1,1,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (349).txt,,6.818390805,11.487758945,3,2,0,
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (273).txt,,5.788203753,14.695340502,2,2,1,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (753).txt,,6.425675676,14.534883721,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (65).txt,,6.076,10.476190476,1,2,0,
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (304).txt,,5.938215103,15.950920245,1,2,0,
data/ppVietnamese_by_catalog/Normal/KGS_NLD_/KGS_NLD_ (134).txt,,6.179566563,17.431192661,2,2,1,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (39).txt,,5.928131417,13.253012048,2,2,1,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (538).txt,,6.326710817,14.666666667,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-4/vm-4 (26).txt,,5.2625,6.493506494,1,1,1,
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (8).txt,,5.90070922,14.084507042,2,2,1,
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (111).txt,,5.494047619,19.014084507,1,1,1,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (119).txt,,6.193050193,16.513761468,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (50).txt,,5.986111111,17.948717949,1,2,0,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (380).txt,,5.754176611,10.569105691,2,1,0,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (491).txt,,6.430463576,14.615384615,2,2,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (236).txt,,6.70419426,11.620294599,3,2,0,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (527).txt,,6.039772727,7.692307692,2,2,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (685).txt,,5.764705882,8.695652174,1,1,1,
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (202).txt,,5.166944908,19.298245614,1,1,1,
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (53).txt,,5.462809917,18.181818182,1,1,1,
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (78).txt,,5.405263158,11.111111111,1,1,1,
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (11).txt,,6.133333333,16.964285714,2,2,1,
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (186).txt,,5.923261391,11.111111111,2,2,1,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (69).txt,,5.653366584,11.940298507,2,1,0,
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (484).txt,,5.844606947,14.210526316,2,2,1,
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (77).txt,,6.47761194,13.888888889,1,2,0,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (774).txt,,6.341013825,9.782608696,2,2,1,
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (278).txt,,8.02173913,16.296296296,3,3,1,
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (329).txt,,6.131578947,12.727272727,2,2,1,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (393).txt,,6.759493671,13.157894737,2,2,1,
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (236).txt,,7.273764259,14.432989691,3,2,0,
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1045).txt,,7.142857143,16.666666667,2,2,1,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (8).txt,,6.378881988,4.47761194,2,2,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (120).txt,,5.317343173,20.183486239,1,1,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (825).txt,,7.773370128,11.598746082,3,3,1,
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (179).txt,,7.674600078,11.178861789,3,3,1,
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (342).txt,,5.802007299,11.472275335,2,2,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (371).txt,,6.35483871,16.216216216,1,2,0,
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (101).txt,,4.817708333,14.285714286,1,1,1,
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (125).txt,,5.786833856,14.179104478,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (54).txt,,5.411027569,16.935483871,1,1,1,
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (60).txt,,5.527472527,13.913043478,2,1,0,
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (816).txt,,5.989761092,15.384615385,2,2,1,
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (191).txt,,6.194214876,9.615384615,2,2,1,
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (102).txt,,5.714285714,13.432835821,1,1,1,
data/ppVietnamese_by_catalog/Easy/sgk/sgk (404).txt,,5.621621622,14.925373134,1,1,1,
