screwdriver,11,A,8.0,1, B,20.333333333333332,3, B
guitar,6,A,18.0,1, B,10.333333333333334,6,A B
hammer,6,A,7.0,1,A ,0,0, 
piano,5,A,18.666666666666668,3, B,10.666666666666666,3,A B
apple,5,A,7.5,2,A B,10.666666666666666,3, B
peach,5,A,9.0,1, B,0,0, 
grape,5,A,11.0,1, B,11.666666666666666,3,A B
bloomers,5,A,10.0,1,A ,0,0, 
sock,5,A,7.0,1,A ,7.4,5,A B
shirt,5,A,7.0,1,A ,7.666666666666667,9,A B
table,5,A,5.0,1,A ,13.0,6,A B
chair,5,A,4.0,1,A ,11.333333333333334,15,A B
truck,5,A,12.0,1, B,8.454545454545455,11,A B
drum,4,A,20.0,1, B,7.5,8,A B
lamp,4,A,20.0,1, B,10.0,17,A B
proverb,3,A,6.0,1,A ,0,0, 
car,3,A,12.0,1, B,7.967741935483871,31,A B
bus,3,A,15.0,1, B,8.666666666666666,3,A B
dog,3,A,10.0,2,A B,7.5,18,A B
cat,3,A,6.0,1,A ,9.0,2,A B
