hand tool,0/241,0,0,0,0,0,0,0
screwdriver,4/4,100,4,0,0,0,0,0
flat tip screwdriver,0/0,N/A,0,0,0,0,0,0
stringed instrument,1/85,2,1,0,0,0,0,0
guitar,5/12,42,5,0,0,0,0,0
acoustic guitar,0/0,N/A,0,0,0,0,0,0
striker,0/0,N/A,0,0,0,0,0,0
hammer,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
keyboard instrument,0/35,0,0,0,0,0,0,0
piano,8/16,50,4,4,0,0,0,0
grand piano,3/8,38,3,0,0,0,0,0
edible fruit,0/303,0,0,0,0,0,0,0
apple,5/29,18,5,0,0,0,0,0
cooking apple,0/4,0,0,0,0,0,0,0
fruit tree,2/450,1,2,0,0,0,0,0
peach,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
edible fruit,0/303,0,0,0,0,0,0,0
grape,6/17,36,3,2,1,0,0,0
muscadine,0/0,N/A,0,0,0,0,0,0
underpants,0/17,0,0,0,0,0,0,0
pants,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hosiery,0/30,0,0,0,0,0,0,0
socks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
anklet,0/0,N/A,0,0,0,0,0,0
garment,4/445,1,3,1,0,0,0,0
shirt,8/17,48,8,0,0,0,0,0
camise,0/0,N/A,0,0,0,0,0,0
array,1/49,3,1,0,0,0,0,0
table,7/10,70,6,1,0,0,0,0
actuarial table,0/1,0,0,0,0,0,0,0
seat,0/1,0,0,0,0,0,0,0
chair,31/48,65,17,13,1,0,0,0
armchair,0/10,0,0,0,0,0,0,0
motor vehicle,0/153,0,0,0,0,0,0,0
truck,15/48,32,10,5,0,0,0,0
dump truck,0/0,N/A,0,0,0,0,0,0
percussion instrument,0/68,0,0,0,0,0,0,0
drum,5/14,36,5,0,0,0,0,0
bass drum,0/0,N/A,0,0,0,0,0,0
source of illumination,0/107,0,0,0,0,0,0,0
lamp,27/68,40,19,7,1,0,0,0
aladdin's lamp,0/0,N/A,0,0,0,0,0,0
saying,0/59,0,0,0,0,0,0,0
saw,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
motor vehicle,0/153,0,0,0,0,0,0,0
car,21/76,28,19,2,0,0,0,0
ambulance,0/1,0,0,0,0,0,0,0
public transport,0/38,0,0,0,0,0,0,0
bus,3/5,60,3,0,0,0,0,0
minibus,0/0,N/A,0,0,0,0,0,0
canine,0/1,0,0,0,0,0,0,0
dog,51/279,19,11,22,16,2,0,0
basenji,0/0,N/A,0,0,0,0,0,0
feline,0/123,0,0,0,0,0,0,0
cat,35/87,41,4,30,1,0,0,0
domestic cat,0/32,0,0,0,0,0,0,0
