i,1,A,11.0,2,A B,10.0,2,A 
can,3,A,9.0,1,A ,7.0,7,A B
down,4,A,7.0,1,A ,8.5,4,A B
good,4,A,9.0,1,A ,10.0,1, B
century,7,A,10.0,1, B,14.0,2,A B
day,3,A,8.0,1, B,5.571428571428571,7,A 
house,5,A,8.0,2,A ,9.074074074074074,27,A B
door,4,A,14.0,1, B,9.666666666666666,12, B
left,4,A,8.0,1,A ,9.0,1, B
moment,6,A,5.0,1,A ,10.714285714285714,7,A B
course,6,A,9.0,1,A ,13.647058823529411,17,A B
mind,4,A,9.0,1,A ,10.0,5,A B
island,6,A,4.0,1,A ,13.75,4, B
chairman,8,A,16.0,1, B,11.0,2, B
e,1,A,14.5,2,A B,16.0,1,A 
bed,3,A,16.0,1, B,8.0,20,A B
black,5,A,15.0,1, B,9.0,1, B
men,3,A,5.0,1,A ,10.0,1,A 
leave,5,A,7.0,1, B,10.285714285714286,7,A B
air,3,A,3.0,1,A ,7.0,3,A B
body,4,A,13.0,1, B,8.333333333333334,3, B
floor,5,A,17.0,1, B,8.6,5,A B
home,4,A,9.0,1,A ,16.0,1, B
glass,5,A,5.0,1,A ,10.153846153846153,13,A B
call,4,A,9.0,1,A ,10.25,8,A B
blue,4,A,14.0,1, B,9.875,8,A B
hour,4,A,8.0,1, B,9.5,2, B
bill,4,A,13.0,1, B,11.8,5, B
line,4,A,9.0,1,A ,6.142857142857143,7,A B
engine,6,A,5.0,1,A ,14.833333333333334,6,A B
book,4,A,11.0,1,A ,8.818181818181818,22,A B
land,4,A,12.0,1, B,9.666666666666666,3,A B
brother,7,A,11.0,1, B,11.333333333333334,3,A B
hold,4,A,8.0,1,A ,9.666666666666666,3,A B
making,6,A,10.0,1,A ,10.0,2,A 
meet,4,A,15.0,1, B,9.4,5,A B
mean,4,A,7.0,1,A ,13.0,3, B
clause,6,A,12.0,1,A ,14.25,4, B
boy,3,A,4.0,1,A ,7.0,11,A B
car,3,A,12.0,1, B,7.967741935483871,31,A B
law,3,A,10.0,1,A ,10.785714285714286,14,A B
garden,6,A,4.0,1,A ,9.933333333333334,15,A B
company,7,A,11.0,1,A ,12.722222222222221,36,A B
cold,4,A,18.5,2, B,8.0,1, B
boat,4,A,6.0,1,A ,7.115384615384615,26,A B
mine,4,A,10.0,1,A ,9.142857142857142,7,A B
family,6,A,4.0,1,A ,11.833333333333334,6, B
fine,4,A,7.0,1,A ,11.0,1, B
map,3,A,14.0,1,A ,8.285714285714286,7,A B
coffee,6,A,8.0,1,A ,11.0,13,A B
eye,3,A,10.0,1, B,10.0,6,A B
chair,5,A,4.0,1,A ,11.333333333333334,15,A B
court,5,A,8.0,1,A ,12.576923076923077,26,A B
lion,4,A,6.0,1, B,6.666666666666667,3,A B
green,5,A,14.0,1, B,9.9,10,A B
board,5,A,9.0,1,A ,12.88888888888889,9,A B
letter,6,A,6.0,2,A ,10.9375,16,A B
coat,4,A,11.0,1,A ,7.9375,16,A B
military,8,A,5.0,1,A ,15.0,1, B
brown,5,A,14.0,1, B,8.545454545454545,11,A B
memory,6,A,14.0,1,A ,11.0,5,A B
hat,3,A,9.0,1,A ,8.227272727272727,22,A B
belt,4,A,4.0,1,A ,7.8,5,A B
fire,4,A,9.0,1,A ,8.666666666666666,9,A B
master,6,A,6.0,1,A ,9.0,1, B
cat,3,A,6.0,1,A ,9.0,2,A B
mouse,5,A,6.0,1,A ,10.0,5, B
field,5,A,5.0,1,A ,6.333333333333333,6,A 
hole,4,A,7.0,1,A ,8.0,9,A B
bottle,6,A,6.0,1,A ,8.61111111111111,18,A B
box,3,A,9.0,1,A ,7.08,25,A B
dream,5,A,11.0,1,A ,8.5,2,A B
mass,4,A,17.5,2, B,10.416666666666666,12,A B
brake,5,A,9.0,1,A ,10.5,4, B
clock,5,A,9.0,1,A ,10.916666666666666,12,A B
branch,6,A,8.0,1,A ,14.0,4, B
deal,4,A,11.0,1,A ,8.5,2, B
bag,3,A,9.0,1,A ,7.513513513513513,37,A B
ball,4,A,13.0,1, B,9.533333333333333,30,A B
current,7,A,20.0,1, B,11.0,2,A B
foot,4,A,14.0,1, B,8.0,1,A 
lamp,4,A,20.0,1, B,10.0,17,A B
market,6,A,8.0,1,A ,10.625,8,A B
blood,5,A,19.0,1, B,9.5,10,A B
department,10,A,8.0,1,A ,15.0,6,A B
bus,3,A,15.0,1, B,8.666666666666666,3,A B
double,6,A,7.0,1, B,16.0,1, B
flat,4,A,5.0,1,A ,10.0,2, B
daughter,8,A,15.0,1, B,16.0,1, B
key,3,A,6.0,1,A ,8.666666666666666,3,A B
league,6,A,11.0,1,A ,11.666666666666666,9,A B
circuit,7,A,16.0,1, B,10.470588235294118,17,A B
date,4,A,3.0,1,A ,8.0,2,A 
coal,4,A,12.5,2, B,10.0,4,A B
duchess,7,A,4.0,1,A ,12.0,1, B
government,10,A,6.0,1,A ,12.4375,16,A B
mirror,6,A,9.0,1,A ,9.666666666666666,6,A B
data,4,A,10.0,1,A ,9.666666666666666,3,A B
issue,5,A,7.0,1,A ,11.5,4,A B
