file, flesch_kincaid_grade, dale_chall_readability_score
data/English Textbook 4 Readability Level/difficult/9-agri-1.tei,7.6,7.5
data/English Textbook 4 Readability Level/difficult/9-agri-10.tei,7.6,7.12
data/English Textbook 4 Readability Level/difficult/9-agri-11.tei,7.6,6.71
data/English Textbook 4 Readability Level/difficult/9-agri-12.tei,6.4,6.75
data/English Textbook 4 Readability Level/difficult/9-agri-13.tei,5.6,7.23
data/English Textbook 4 Readability Level/difficult/9-agri-14.tei,6.8,6.81
data/English Textbook 4 Readability Level/difficult/9-agri-15.tei,6.0,6.8
data/English Textbook 4 Readability Level/difficult/9-agri-16.tei,6.4,6.73
data/English Textbook 4 Readability Level/difficult/9-agri-17.tei,5.2,6.37
data/English Textbook 4 Readability Level/difficult/9-agri-18.tei,6.8,7.33
data/English Textbook 4 Readability Level/difficult/9-agri-19.tei,5.2,6.72
data/English Textbook 4 Readability Level/difficult/9-agri-2.tei,7.2,6.95
data/English Textbook 4 Readability Level/difficult/9-agri-20.tei,6.8,6.81
data/English Textbook 4 Readability Level/difficult/9-agri-21.tei,6.4,7.38
data/English Textbook 4 Readability Level/difficult/9-agri-22.tei,6.4,6.78
data/English Textbook 4 Readability Level/difficult/9-agri-23.tei,6.8,6.76
data/English Textbook 4 Readability Level/difficult/9-agri-3.tei,6.0,6.67
data/English Textbook 4 Readability Level/difficult/9-agri-4.tei,7.2,7.06
data/English Textbook 4 Readability Level/difficult/9-agri-6.tei,8.4,7.9
data/English Textbook 4 Readability Level/difficult/9-agri-7.tei,7.2,6.9
data/English Textbook 4 Readability Level/difficult/9-agri-8.tei,9.1,7.71
data/English Textbook 4 Readability Level/difficult/9-agri-9.tei,6.8,7.15
data/English Textbook 4 Readability Level/difficult/9-biology-1.tei,8.4,7.98
data/English Textbook 4 Readability Level/difficult/9-biology-10.tei,8.4,7.13
data/English Textbook 4 Readability Level/difficult/9-biology-11.tei,8.4,6.77
data/English Textbook 4 Readability Level/difficult/9-biology-12.tei,8.8,7.64
data/English Textbook 4 Readability Level/difficult/9-biology-13.tei,8.8,7.84
data/English Textbook 4 Readability Level/difficult/9-biology-2.tei,8.8,7.78
data/English Textbook 4 Readability Level/difficult/9-biology-3.tei,8.0,7.24
data/English Textbook 4 Readability Level/difficult/9-biology-4.tei,7.6,7.66
data/English Textbook 4 Readability Level/difficult/9-biology-5.tei,9.2,7.49
data/English Textbook 4 Readability Level/difficult/9-biology-6.tei,7.2,7.58
data/English Textbook 4 Readability Level/difficult/9-biology-7.tei,8.4,6.32
data/English Textbook 4 Readability Level/difficult/9-biology-8.tei,8.8,6.51
data/English Textbook 4 Readability Level/difficult/9-biology-9.tei,8.0,7.4
data/English Textbook 4 Readability Level/difficult/9-budh-1.tei,7.6,7.14
data/English Textbook 4 Readability Level/difficult/9-budh-11.tei,8.8,7.96
data/English Textbook 4 Readability Level/difficult/9-budh-12.tei,8.8,8.08
data/English Textbook 4 Readability Level/difficult/9-budh-2.tei,7.6,7.71
data/English Textbook 4 Readability Level/difficult/9-budh-3.tei,7.6,7.19
data/English Textbook 4 Readability Level/difficult/9-budh-4.tei,7.6,7.59
data/English Textbook 4 Readability Level/difficult/9-budh-5.tei,8.4,8.01
data/English Textbook 4 Readability Level/difficult/9-budh-6.tei,8.4,7.63
data/English Textbook 4 Readability Level/difficult/9-budh-7.tei,6.0,6.98
data/English Textbook 4 Readability Level/difficult/9-budh-8.tei,6.8,7.24
data/English Textbook 4 Readability Level/difficult/9-budh-9.tei,7.2,6.78
data/English Textbook 4 Readability Level/difficult/9-eco-1.tei,10.7,6.51
data/English Textbook 4 Readability Level/difficult/9-eco-2.tei,9.5,6.4
data/English Textbook 4 Readability Level/difficult/9-eco-3.tei,9.9,6.73
data/English Textbook 4 Readability Level/difficult/9-eco-4.tei,9.9,6.65
data/English Textbook 4 Readability Level/difficult/9-eco-5.tei,9.1,6.79
data/English Textbook 4 Readability Level/difficult/9-eco-6.tei,8.0,6.59
data/English Textbook 4 Readability Level/difficult/9-eco-7.tei,10.7,7.58
data/English Textbook 4 Readability Level/difficult/9-genSci-1.tei,8.8,7.8
data/English Textbook 4 Readability Level/difficult/9-genSci-11.tei,8.4,7.11
data/English Textbook 4 Readability Level/difficult/9-genSci-12.tei,4.4,6.37
data/English Textbook 4 Readability Level/difficult/9-genSci-13.tei,6.8,6.44
data/English Textbook 4 Readability Level/difficult/9-genSci-14.tei,8.0,7.12
data/English Textbook 4 Readability Level/difficult/9-genSci-15.tei,6.8,6.87
data/English Textbook 4 Readability Level/difficult/9-genSci-16.tei,7.2,7.2
data/English Textbook 4 Readability Level/difficult/9-genSci-17.tei,6.8,6.57
data/English Textbook 4 Readability Level/difficult/9-genSci-18.tei,7.6,7.79
data/English Textbook 4 Readability Level/difficult/9-genSci-19.tei,10.3,7.1
data/English Textbook 4 Readability Level/difficult/9-genSci-2.tei,8.0,7.92
data/English Textbook 4 Readability Level/difficult/9-genSci-20.tei,15.8,8.13
data/English Textbook 4 Readability Level/difficult/9-genSci-3.tei,7.6,6.87
data/English Textbook 4 Readability Level/difficult/9-genSci-4.tei,8.0,7.3
data/English Textbook 4 Readability Level/difficult/9-genSci-5.tei,8.0,7.21
data/English Textbook 4 Readability Level/difficult/9-genSci-6.tei,7.2,7.2
