file,ratio,blw,allNoun
data/English Textbook 4 Readability Level/difficult/9-agri-1.tei,0,,25 | 40 | 5 | 50 | 70 | a | absorption | action | active | addition | aeration | age | air | air flow | an | animal | are | area | as | at | bangladesh | banks | be | beach | better | calcium | can | capacity | carbon | case | cent | characteristic | chemical | chili | class | classified | clay | cold | complex | component | composition | compost | compound | content | cool | corp | cotton | crop | crumb | crust | days | decay | decomposition | desert | development | drainage | dry | due | duration | earth | elements | environment | equal | example | fall | fertility | fine | flood plain | floodplain | flow of air | following | force | form | formation | found | ganges | granule | green manure | growing | ha | half | have | heavy | high | holding | humus | i | ideal | igneous rock | in | increase | intensive | international | irrigation | it | jute | kaon | keep | large | layer | life | light | like | living | loam | longer | loom | low | main | major | majority | make | manure | material | matter | may | metamorphic rock | micro-organism | mineral | mixing | mixture | moisture | more | move | natural | nature | nitrogen | now | nutrient | oil | or | organic | organism | oxygen | parent | part | particle | pepper | percent | phosphorus | plant | ploughing | pore | porosity | potato | presence | present | process | production | proportion | pulse | radish | rain | rainfall | rate | region | remains | residue | respiration | rest | result | rice | river | rock | root hair | rotting | same | sand | scientist | sea | sedimentary rock | see | seed | sills | silt | size | snow | snowfall | so | soil | source | space | structure | sugarcane | sulphur | sun | surface | system of measurement | temperature | texture | then | three | thus | till | time | tobacco | type | use | using | variation | vegetable | wa | water | watermelon | wheat | while | years
data/English Textbook 4 Readability Level/difficult/9-agri-12.tei,0,,0 | 1 | 10 | 100 | 1000 | 11 | 12 | 13 | 14 | 15 | 2 | 20 | 3 | 4 | 40 | 5 | 50 | 6 | 60 | 7 | 8 | 80 | 90 | a | above | acre | acres | addition | adult | age | almond | amount | an | annual | application | apprehension | are | area | arrangement | as | at | attack | attempt | availability | average | balanced diet | bamboo | bangladesh | bank | bazar | be | belt | big tree | black | body | bottom | can | canal | carapace | carp | case | cash | catch | catching | change | chapter | clay | collection | colour | come | comparison | condition | country | cow | cow dung | creature | crore | cu | cultivation | culture | daily | days | decimal | depth | disease | doe | dung | duration | embankment | enclosure | end | enough | entering | entrance | entry | environment | evening | excreta | exporting | farm | farming | february | feed | female | fertility | fertilizer | few | first | fish | following | food | foreign exchange | found | fresh water | fries | front | full moon | gas | general | germ | given | gm | good | green | ground | growth | ha | have | hectare | here | high tide | hours | i | ice | in | increase | ingredient | intensive | invertebrate | it | joint | kg | lac | land | large | legs | light | like | lime | list | loam | lobster | longer | look | loop | low | lower | m | making | male | management | marketing | may | method | metre | metric ton | mixing | month | more | mouth | mp | natural | need | net | new moon | nourishment | now | number | numbers | nutrition | o | one | or | out | oxygen | p | pair | part | place | plenty | pond | possible | pot | poultry | practice | prawn | predator | preparation | product | production | quality | quantity | quick | rate | reason | red | region | release | requirement | reservoir | resource | result | ridge | right | river | rostrum | saline | salinity | same | season | second | semi | setting | shade | shelter | shrimp | side | single | slough | small | so | soil | species | spread | stain | strip | success | sunlight | sunray | sunrise | supply | supplying | system | taka | take | then | there | thousand | tide | tiger | time | times | tip | tons | total | transportation | tree | tube well | two weeks | type | upper side | urea | using | wa | water | weight | well | white | will | year | young
data/English Textbook 4 Readability Level/difficult/9-agri-10.tei,0,,1 | 10 | 12 | 15 | 20 | 23 | 24 | 28 | 3 | 30 | 4 | 40 | 5 | 50 | 8 | 9 | a | abdominal | above | act | acts | an | animal | apex | application | april | aquatic plant | are | area | arrow | as | asia | at | average | bangladesh | basis | bay of bengal | be | being | belt | blood | boat | body | bottom | breeding | can | canal | carp | carry | catch | catching | cause | cent | chapter | character | characteristic | china | classified | clear | climate | cm | collect | collection | colour | come | common | composition | condition | conservation | conserve | construction | consumption | context | conversion | cool | coral | country | crop | cultivation | culture | current | dark | day | december | defaulter | deficiency | demand | demonstration | dependent | destruction | development | dig | dike | disease | disposal | do | doe | dorsal fin | dose | drainage | due | dweller | eats | eggs | embankment | environment | establishment | example | execution | explosive | export | expose | extension | farm | farmer | feed | feeding | female | few | fields | fin | fine | fingerling | fish | fish farm | fisher | fishing | flat | flood control | flood plain | following | food | found | free | fresh water | fries | fry | full | general | gill | given | gm | government | gram | grass | gray | great | green | grey | group | growing | growth rate | gun | ha | habit | habitat | harvest | harvesting | hatchery | have | head | hectare | help | high | hoar | hole | hope | hunting | i | import | improvement | in | increase | infrastructure | insect | intensive | irrigation | it | jail | jew | july | june | keep | kg | kind | lac | lake | land | large | last | lateral | law | laws | lay | layer | length | level | light brown | like | lip | livelihood | living | longer | low | lower | major | make | man | management | manner | marine | market | mass | material | matric | maturity | may | measure | measuring | metre | micro-organism | microorganism | middle | mirror carp | month | more | mouth | move | movement | mud | native | natural | nature | necessary | necessity | net | no | normal | november | now | oder | one | open | or | order | organic | original | particular | peoples | percent | period | pesticide | phytoplankton | piranha | place | plan | plankton | plant | poa | point | poison | pollution | pond | population | portion | possible | potential | power | present | price | principle | problem | produce | production | programme | protein | punishment | rainy season | rapid | rate | reason | reduction | region | regulation | release | reproduction | requirement | resistance | resource | respiration | revenue | river | row | russia | saline | scale | season | sector | sell | semi | setting | shape | short | shrimp | side | silver | size | small | so | soil | sort | source | south | special | species | specific | stage | steps | straight | study | sub | summer | supply | system | tail | take | tank | teacher | temper | term | there | thick | thousand | three | time | times | tip | tons | total | toxic industrial waste | training | trawler | tray | two | type | upper | use | using | value | vertebrate | view | vogue | volume | wa | water | way | ways | weeds | weight | while | white | winter | year | years | young | zone | zooplankton
data/English Textbook 4 Readability Level/difficult/9-agri-13.tei,0,,0 | 1 | 100 | 15 | 15 minutes | 2 | 20 | 3 | 40 | 5 | 7 | a | ammonium | an | application | are | as | at | attack | bacteria | balance | be | begin | being | belly | blood | body | book | can | case | change | characteristic | chemical | circulation | clean | colour | come | comparison | contagious disease | control | copper sulphate | cubic metre | cut | days | decay | decimal | deposition | depth | development | diagram | die | disease | doe | dose | dot | down | draw | drop | due | environment | external | eyes | fed | fin | first | fish | following | food | formalin | free | fungi | fungus | general | germ | gill | give | gm | good | growth | have | head | hour | i | in | infection | initial | injection | interval | it | joint | keep | kg | lack | lime | liquid | litre | losses | luster | magnifying glass | majority | malnutrition | mark | matter | may | metre | mg | mineral | minute | minutes | mixing | more | move | naked eye | name | note | number | nutrient | one | or | organ | organic | out | oxygen | pale | parasite | part | particular | parts | persecution | pollution | pond | potassium permanganate | preparation | presence | primary | proportion | protein | quantity | rate | reason | rectum | red | result | round | rub | saline | saline solution | salt | scale | scar | severity | shortage | side | skin | slat | small white | solution | sore | special | speed | spots | squeezing | stage | standard | stick | stops | substance | suck | sucker | supply | surface | swell | swelling | swift | symptom | tail | take | tear | terramycin | then | things | tray | turn | type | viral infection | vitamin | want | water | wearing | web | white | will | wings
data/English Textbook 4 Readability Level/difficult/9-agri-14.tei,0,,1 | 10 | 12 | 13 | 15 | 2 | 20 | 28 | 3 | 4 | 40 | 5 | 7 | 8 | a | act | action | air | american | amount | are | arranging | as | at | bacteria | bag | bamboo | banana | bangladesh | basis | basket | be | begin | belly | blast | block | blood | body | body temperature | bottom | bound | box | bringing | c | can | care | cartoon | case | catching | cause | cell | chambers | change | chemical element | chlorine | chlorine water | cm | cold | cold water | collect | collection | colour | consumer | consumption | context | contribution | control | country | creature | crore | cut | d | days | dead | death | decomposition | demand | development | die | direction | dish | do | dose | down | dry | dryness | e | eating | economy | egg | eggs | enough | entrails | environment | enzyme | example | export | exporting | extent | eyes | fact | fall | fat | fatty | fin | financial year | first | fish | fishery | food | foreign exchange | form | fourth | free | freezer | freezing | fresh fish | frog legs | full | germ | gill | good | grade | grading | grass | great | ha | half | hand | harm | head | heat | height | help | hessian | hip | hole | hours | house | i | ice | importance | in | increase | international | it | keep | keeping | kg | knife | know | knowledge | lack | lakh | last | layer | leaf | leave | level | like | liquid | living | lobster | local | long time | low | low temperature | lowering | making | market | marketing | mat | may | medicine | melt | method | metric ton | more | mucus | muscle | national | no | now | nutrition | one | ooze | or | order | out | outside | over | package | pale | parcel | particular | parts | people | piece | place | plan | plate | platform | play | pm | policy | polythene | pond | portion | position | possible | potential | pound | present | preservation | preserve | preserves | primary | process | processing | product | production | profit | progress | protein | push | putting | quality | rack | ration | reason | refrigeration | remains | remove | resource | result | role | rot | saline | salt | salting | same | scale | selling | sharp | short | shrimp | side | size | small | smear | so | so long | solution | specific | spread | stage | stand | standard | start | starting | steps | stop | strengthening | sun | sunlight | supply | system | tail | tails | taka | take | taking | target | taste | teacher | tear | tearing | temperature | then | there | third | thousand | time | times | tissue | ton | total | transport | transportation | tray | type | use | using | view | village | wa | want | ware | washing | water | wax paper | way | weighing | weight | well | whole | will | year
data/English Textbook 4 Readability Level/difficult/9-agri-11.tei,0.18761726078799248,drum,1 | 10 | 100 | 12 | 15 | 2 | 20 | 24 | 25 | 3 | 30 | 4 | 40 | 5 | 6 | 60 | 7 | 8 | a | ability | above | acidity | acre | action | addition | africa | age | air | algae | alkalinity | amount | an | animal | application | aquatic | aquatic plant | are | as | asia | at | availability | average | bacteria | ball | bamboo | bangladesh | bank | banks | base | basis | basket | be | beaker | beating | best | better | big fish | big tree | black | bleaching powder | blending | blood | body | body weight | book | bottle | bottom | bran | breadth | brick | broad | broadcast | brown | bucket | bush | c | cake | calcium | can | capacity | carbon dioxide | carp | case | caste | casting | catching | caudal fin | change | characteristic | chemical | clay | clearness | cm | cold | collect | collection | colour | colours | common | compare | compost | condition | conditions | consumption | control | copper sulphate | corner | cost | country | cover | covering | coverlet | cow | cows | creature | crop | cultivation | culture | cut | cutting | daily | dal | daphnia | dark | day | days | decimal | decomposition | decrease | deep | deep water | demand | dependent | depth | description | determination | diagnosing | diagram | diatom | die | diet | disease | doe | domestic animal | dorsal fin | dose | down | draw | drop | dropper | dropsy | drum | dry | dry season | due | dung | dwelling house | eating | eats | elements | end | enough | entrails | entrance | environment | equal | eradication | essential | even | evening | example | excess | excreta | extent | extract | factor | fall | familiar | farm | fence | fertility | fertilizer | fin | fine | finger | fingerling | fire | fish | fish meal | flat | float | floating | flood | following | food | food cycle | form | fountain | fresh water | fries | front | fry | gas | gasp | general | germ | get | getting | given | glass | gm | go | goat | going | good | government | grass | great | green | green algae | green manure | grey | growing | growth | growth rate | grub | gunny | ha | hang | harvest | hatching | hatchling | have | he | head | health | heavy | hectare | height | help | here | hiding | high | hindrance | hopper | hour | hours | husk | hyacinth | i | ideal | identification | importance | in | increase | influence | ingredient | input | insect | intensive | investment | irrigation | it | keep | keeping | kg | knowledge | label | laboratory | labour | land | layer | leaf | leave | length | life | light | like | lime | ling | lip | litre | livelihood | living | loam | local | long time | look | loop | low | lower | m | make | making | management | manure | margin | mark | market | marketing | mater | material | matter | may | measure | measurement | meet | member | method | metre | mg | microscope | might | mills | mineral | mirror carp | mite | mixing | mixture | ml | molasses | month | more | morning | mortality | mosquito net | moss | mouth | movable | movement | much | mud | multiplication | mustard oil | names | natural | nature | necessary | need | net | nitrogen | no | normal | note | now | number | nursery | nursing | nutrient | nutrition | observation | obstacle | obstruction | old | one | or | order | organic | out | over | oxygen | p | pair | pan | pants | partial | parts | patient | percent | pest | ph | phosphate | phosphorus | physical condition | phytoplankton | place | plankton | plant | plantation | ploughing | poisoning | pond | portion | possible | pot | potash | potassium | poultry | practice | precondition | predator | preparation | presence | present | problem | procedure | process | produce | product | production | productivity | proportion | pulling | pump | pupa | put | quantity | quick | rainy season | range | rate | rates | ratio | ready | rearing | reason | red | region | regular | remains | remedy | removal | result | rice | right | roots | rot | rotifera | round | sale | same | scale | school | season | sedge | see | seedling | selection | semi | shallow | show | shrub | side | sieve | silver | size | slide | small | so | soil | source | south | spine | spoil | spots | spread | sprinkling | stage | stem | steps | stick | stocking | straw | structure | subject | summer | sun | sunlight | sunray | super | supply | supplying | sustainability | swimming | system | tablet | tail | take | taking | tape | taste | temperature | testing | text | then | there | thick | thing | things | third | thorn | three | thus | time | times | tons | top | total | transparency | treatment | tree | triple | trouble | two | type | upper | urea | use | using | value | variety | vertical | volume | volvox | wall | want | water | water hyacinth | waters | way | weeds | week | weight | well | west | wheat | white | whole | why | will | winter | year | zooplankton
data/English Textbook 4 Readability Level/difficult/9-agri-15.tei,0,,10 | 100 | 15 | 18 | 2 | 21 | 23 | 3 | 4 | 40 | 50 | 500 | 60 | 7 | 8 | 80 | a | above | advantage | age | air | an | ancient | angle | are | area | as | at | bad | bad egg | bangladesh | basis | basket | be | best | black | blood vessel | body temperature | born | bowl | breed | broad | brood | brooding | broody | broody hen | brown | bulb | c | can | capacity | carbon dioxide | care | case | cause | cc | characteristic | chick | clean | cleanliness | cloth | cm | cock | colour | coming | composition | country | daily | dark | day | days | decrease | developing | development | die | do | dose | duck | dust | e | egg | eggs | electric | electricity | embryo | enough | even | examination | farm | fed | fertilized egg | fertilizer | first | following | food | formalin | found | free | fumigation | g | germ | getting | give | giving | gm | good | hands | hatch | hatching | have | help | hen | hessian | hitting | hold | hole | hours | house | human | humidity | husk | i | ideal | in | incubation | incubator | insecticide | inside | instrument | intake | it | kerosene | lay | leave | lie | light | like | littre | look | low | lower | make | making | mark | material | may | measuring | medium | method | middle | might | modern | molting | month | more | move | must | natural | necessary | necessity | nest | night | no | noise | number | numbers | oil | old | one | or | order | out | outlet | oxygen | particular | piece of cloth | place | pore | portion | possibility | potassium permanganate | poultry | presence | preservation | problem | process | rates | re | reason | relative humidity | respiration | rh | room | rural area | security | selection | separate | serial | setting | seventh | shell | side | size | small | smooth | so | sodium chloride | solitary | sound | stage | start | stop | straw | structure | summer | sunlight | system | tapering | temperature | then | there | thick | things | third | three | time | timer | times | torch | transfer | tray | turning | u | upper side | variety | ventilation system | village | water | weight | white | will | winter | wire | year | yolk
data/English Textbook 4 Readability Level/difficult/9-agri-16.tei,0,,1 | 100 | 120 | 15 | 16 | 2 | 20 | 21 | 23 | 24 | 25 | 4 | 40 | 5 | 60 | 7 | 70 | 8 | 80 | a | age | air | american | amount | an | are | area | arrangement | as | at | attention | balance | balanced diet | bamboo | bangladesh | be | best | bird | blow | board | breadth | breath | breed | broiler | brooder | brooding | bulb | burial | business | c | calcium | can | capital | care | ceiling | centre | chick | chicken | circumference | clean | cleaning | climate | cluster | cm | collection | come | commercial | contagious disease | control | conversion | cornish | country | cross | crossing | crude | daily | darkness | day | days | deceased | deficiency | description | development | die | diet | dirt | disease | doe | double | drainage system | dress | drinking water | dry | due | duration | dust | dwelling | e | egg | eggs | egyptian | eight | electric | electric heater | electricity | empty | end | english | enough | entering | entry | environment | establishment | farm | farming | fault | feed | feeder | feeding | fencing | first | floor | following | food | form | found | four | free | front | full | function | furnace | furniture | gather | germ | germicide | get | given | gm | goal | going | good | great | ground | growing | growth | guard | ha | hand | hands | have | heat | height | hen | hi | high | high temperature | homestead | hours | house | housing | husk | i | importing | in | influence | ingredient | initial | insecticide | inside | it | kerosene | kerosene lamp | land | lay | layer | laying | leghorn | legs | length | light | lighting | like | lime | list | littre | living | longer | loss | low | main | make | making | man | management | market | marketing | mat | mate | material | matter | maximum | may | meal | means | measuring | meat | medicine | mediterranean | meet | method | metre | mineral | month | more | movement | must | name | necessary | net | netting | new hampshire | night | normal | now | number | nursing | one | or | order | out | over | oyster shell | pan | particular | percent | period | place | planning | point | pot | poultry | power | premix | price | produce | production | programme | protein | purpose | put | putting | quantity | rapid | rate | rearing | red | relative humidity | remains | requirement | requisite | result | rh | rhode island red | rice | right | roads | roof | roofing | room | routine | saw | season | see | selection | separate | sewerage | short | side | sight | site | size | skin | small | so | soil | sound | space | specialist | specific | spread | sprinkling | stage | start | strain | straw | success | summer | supply | supplying | sussex | take | taking | temperature | then | there | thickness | time | time immemorial | tin | training | tray | trouble | type | use | using | vaccination | ventilation | ventilation system | vitamin | washing | water | watt | way | week | weight | well | wetting | white | whole | will | winter | wire | wood | worm | years
data/English Textbook 4 Readability Level/difficult/9-agri-18.tei,0,,5 | 70 | a | age | almond | amount | an | are | as | at | be | bird | body | bone | bran | cake | calcium | calorie | can | capital | carbohydrate | cell | circumstances | clean | cod-liver oil | collecting | colour | condition | control | cows | cut | days | development | difference | disease | down | downside | duck | due | dust | egg | eggs | elements | energy | entrails | fat | fatty | feeding | fill | first | fish | fish meal | following | food | food grain | four | fowl | function | fungus | getting | given | goat | grass | green | ground | hand | handful | have | help | hen | hot water | hotel | husk | i | in | increase | ingredient | it | keep | khesari | light | like | lime | list | look | loss | maize | mass | material | meal | meat | mill | millet | mineral | mixing | mixture | molasses | more | must | mustard | necessary | need | no | now | nut | nutrient | oil | or | out | oyster | phosphorus | piece | place | poultry | premix | present | production | proportion | protein | pulse | purpose | pyramid | quantity | ration | resistance | result | rice | salt | same | seed | shell | shortage | snail | so | strength | substance | substitute | sun | supplying | sweet potato | take | taking | temperature | then | there | thing | things | three | time | top | total | turn | turning | type | undesirable | upside | vegetable oil | vitamin | water | way | week | well | wheat | whole | will | yellow | yolk
data/English Textbook 4 Readability Level/difficult/9-agri-17.tei,0,,1 | 10 | 12 | 13 | 18 | 2 | 20 | 21 | 25 | 3 | 30 | 4 | 5 | 50 | 60 | 7 | 8 | 9 | a | above | act | activity | age | air | am | amount | an | aperture | application | aquatic | aquatic plant | are | area | as | at | attack | balanced diet | bamboo | bangladesh | bank | banks | be | best | bottom | bran | breed | bringing | broiler | brown | cake | campbell | can | carp | case | catfish | centimetre | chance | chick | chicken | clay | cm | common | condition | construction | control | country | crore | cross | cultivation | cut | daily | days | decimal | density | depth | disease | distance | dive | do | doe | drop | dry land | dry season | duck | dust | eggs | enough | environment | equal | even | excreta | expert | extra | fall | farming | fed | feed | feeding | fencing | fertility | fertilizer | fight | first | fish | fish meal | fishery | floating | floor | following | food | fowl | fries | frog | fund | gap | gas | given | gm | good | grass | growing | growth | ha | hand | have | heavy | height | help | hen | hole | house | husk | i | in | increase | indian | inquest | insect | integration | it | jungle | keep | kg | khaki | lac | land | lath | lay | layer | laying | least | leave | leaving | legs | life cycle | light | like | lime | list | little | local | low | make | making | management | manure | marketing | mat | may | meal | means | meat | meet | method | metre | mixed farming | mixing | month | more | natural | necessary | need | net | night | nil | no | number | nutrient | or | organic | out | oxygen | oyster | pan | parasite | particle | permanent | place | poison | pond | positive | poultry | predator | preparation | problem | production | productivity | protein | pulling | purpose | rate | rearing | remains | remedy | remove | requirement | rest | result | rice | right | role | roof | rubbish | runner | s | salt | scientific method | separate | sesame | shortage | silver | size | small | smooth | snail | so | soil | solitary | source | space | square | square metre | star | stick | straw | summer | sunset | supply | supplying | swim | system | take | temperature | then | there | thus | time | times | tin | total | treat | two | type | using | water | way | weeds | week | weight | well | wet | wheat | wind | winter | year | years | young | young fish
