file,ratio,blw,allNoun
data/English Textbook 4 Readability Level/difficult/9-agri-1.tei,4.3478260869565215,fine | i | day | cotton | can | green | air | bank | cold,fine | case | form | carbon | be | major | characteristic | 5 | may | water | as | in | now | loam | moisture | see | high | ha | sea | then | component | sulphur | duration | are | while | better | nutrient | potato | dry | make | fertility | percent | chemical | soil | mixture | respiration | nitrogen | mixing | same | light | living | half | time | years | compound | intensive | rice | air flow | mineral | river | 25 | have | sun | can | calcium | a | rest | scientist | sand | area | metamorphic rock | age | composition | process | wa | using | days | variation | bangladesh | active | floodplain | humus | type | nature | animal | seed | present | earth | irrigation | size | 50 | chili | 40 | texture | crop | decomposition | corp | part | cotton | pulse | sills | flood plain | classified | crumb | parent | air | capacity | production | due | cool | proportion | equal | igneous rock | complex | desert | use | rock | example | clay | kaon | cold | organism | increase | root hair | green manure | rotting | cent | oil | so | surface | or | natural | jute | more | heavy | wheat | formation | decay | matter | particle | aeration | growing | crust | layer | remains | compost | development | low | radish | till | ganges | keep | longer | main | micro-organism | loom | oxygen | action | addition | region | content | silt | snow | like | rain | pore | plant | banks | ideal | following | life | porosity | presence | move | tobacco | at | drainage | i | watermelon | force | source | flow of air | ploughing | large | organic | holding | elements | material | environment | fall | structure | residue | result | three | vegetable | phosphorus | majority | an | pepper | manure | it | sedimentary rock | rate | space | international | beach | rainfall | system of measurement | sugarcane | thus | 70 | granule | absorption | class | found | snowfall | temperature
data/English Textbook 4 Readability Level/difficult/9-agri-12.tei,5.88235294117647,body | i | day | black | leg | can | culture | good | belt | green | bank | making | hour | land | branches | exchange,case | quality | invertebrate | be | red | entrance | 5 | canal | cox | feed | may | evening | decimal | shelter | arrangement | green | 2 | water | as | in | now | loam | then | strip | attempt | ha | spread | list | average | fertilizer | food | product | duration | are | release | fertility | single | out | soil | 90 | 6 | cu | place | mixing | fries | light | same | time | cash | mouth | front | intensive | growth | 4 | river | almond | have | 0 | annual | can | collection | female | number | a | 8 | here | practice | white | area | o | age | 1000 | there | p | excreta | chapter | wa | using | days | need | tube well | lower | bangladesh | plenty | making | type | method | upper side | acre | reservoir | sunlight | 20 | predator | 50 | two weeks | well | 80 | catching | 40 | dung | condition | nutrition | 15 | 100 | part | ridge | side | prawn | quantity | tree | given | metric ton | sunray | second | 13 | high tide | male | production | tip | tons | 12 | body | apprehension | 10 | preparation | season | success | stain | year | supply | availability | balanced diet | clay | exporting | carp | 1 | resource | increase | full moon | good | so | carapace | change | ice | acres | system | poultry | bamboo | numbers | urea | or | shrimp | first | lobster | natural | weight | possible | more | colour | big tree | take | belt | doe | taka | farm | comparison | crore | one | slough | low | enough | month | young | longer | requirement | mp | 60 | oxygen | cow | ground | addition | loop | creature | tiger | catch | attack | adult | entering | region | black | ingredient | like | management | shade | thousand | end | total | joint | general | following | saline | bazar | daily | land | at | new moon | pot | cultivation | i | kg | tide | fresh water | 3 | country | farming | large | lime | enclosure | embankment | hours | environment | transportation | 11 | sunrise | nourishment | quick | 7 | bottom | reason | semi | culture | species | legs | hectare | result | gas | small | germ | bank | net | 14 | salinity | m | will | disease | pond | an | above | foreign exchange | metre | it | cow dung | rate | look | application | rostrum | lac | pair | setting | amount | entry | few | depth | february | supplying | come | found | fish | gm | right | marketing | times
data/English Textbook 4 Readability Level/difficult/9-agri-10.tei,7.3569482288828345,fine | current | hole | i | gray | market | mirror | gun | blood | green | culture | brown | belt | grass | boat | government | law | body | day | can | lips | bodies | mass | land | lip | field | flat,fine | collect | as | now | china | high | food | rainy season | release | portion | percent | demand | place | respiration | time | zooplankton | intensive | conversion | have | infrastructure | matric | plankton | tank | a | mass | area | current | there | chapter | type | nature | climate | december | kind | 50 | pesticide | government | crop | dweller | ways | do | production | bay of bengal | body | head | reduction | example | carry | flood control | rapid | increase | middle | import | dig | or | phytoplankton | conservation | take | original | belt | arrow | farm | improvement | fingerling | free | law | region | management | protein | plant | view | following | at | two | fresh water | 3 | country | asia | sector | large | plan | temper | defaulter | term | zone | above | harvesting | south | lac | few | fish | major | expose | 5 | act | may | ha | resistance | conserve | average | construction | boat | years | fries | help | living | hunting | mouth | acts | april | habit | explosive | 4 | straight | can | upper | collection | female | composition | measure | wa | regulation | 24 | sort | flood plain | classified | mud | day | june | year | jew | 1 | gill | cm | gun | cent | particular | short | weight | fish farm | maturity | weeds | abdominal | layer | tail | context | young | 9 | keep | micro-organism | great | dark | clear | lay | thousand | grey | saline | move | drainage | cultivation | shape | kg | hatchery | source | organic | measuring | oder | semi | bottom | three | specific | july | eats | habitat | group | pond | an | metre | consumption | it | russia | way | no | come | dose | times | hole | be | characteristic | canal | blood | water | cause | silver | are | make | extension | grass | vertebrate | 23 | disposal | movement | population | last | potential | 8 | produce | white | november | flat | market | lower | toxic industrial waste | animal | present | open | row | 20 | size | catching | special | condition | revenue | side | fields | gram | pollution | programme | tip | tons | cool | 12 | length | level | 10 | thick | value | use | supply | being | lip | resource | gray | laws | sell | aquatic plant | system | natural | possible | more | growing | character | full | manner | fisher | eggs | catch | poa | normal | total | general | farmer | peoples | embankment | material | environment | study | hectare | dependent | net | harvest | hope | disease | application | necessary | export | setting | apex | found | gm | winter | feed | green | coral | insect | in | sub | mirror carp | while | soil | problem | microorganism | basis | summer | river | deficiency | destruction | volume | feeding | hoar | trawler | using | bangladesh | tray | fry | irrigation | piranha | 40 | 15 | training | fin | given | 28 | reproduction | period | due | native | season | man | establishment | scale | light brown | poison | carp | so | punishment | shrimp | colour | livelihood | marine | doe | 30 | price | one | development | low | month | longer | requirement | execution | like | growth rate | power | vogue | land | breeding | i | demonstration | lateral | reason | fishing | culture | species | lake | order | small | point | dike | dorsal fin | rate | teacher | common | steps | stage | necessity | principle | jail
data/English Textbook 4 Readability Level/difficult/9-agri-13.tei,7.772020725388601,body | i | day | can | glass | eye | good | belly | deposition | balance | blood | down | drop | hour | book,case | mg | be | 15 minutes | red | characteristic | 5 | stick | may | primary | decimal | blood | 2 | water | as | in | salt | skin | wings | tear | then | parts | solution | swelling | food | liquid | are | severity | nutrient | initial | minute | chemical | out | stops | vitamin | mixing | wearing | pale | diagram | sore | lack | growth | book | mineral | magnifying glass | sucker | have | 0 | can | number | a | balance | standard | white | copper sulphate | turn | fungus | days | belly | type | injection | external | shortage | tray | 20 | eyes | 40 | saline solution | special | web | 15 | 100 | control | part | speed | side | fin | quantity | pollution | suck | fungi | due | body | head | symptom | proportion | preparation | supply | ammonium | scale | naked eye | being | 1 | gill | good | cut | swell | swift | persecution | change | draw | particular | surface | mark | or | first | bacteria | more | colour | take | doe | round | decay | down | matter | hour | losses | clean | comparison | tail | free | one | development | formalin | want | squeezing | keep | substance | oxygen | give | things | attack | rub | protein | joint | presence | general | following | saline | move | contagious disease | at | note | small white | i | kg | 3 | litre | circulation | parasite | organic | lime | organ | drop | die | environment | 7 | reason | cubic metre | result | begin | fed | spots | germ | potassium permanganate | rectum | scar | slat | will | dot | infection | viral infection | disease | pond | majority | an | metre | it | terramycin | rate | luster | application | minutes | name | interval | malnutrition | stage | deposition | depth | come | fish | gm | dose
data/English Textbook 4 Readability Level/difficult/9-agri-14.tei,9.090909090909092,hole | i | heat | leave | market | good | belly | blood | making | exchange | knife | economy | down | hour | box | grass | house | leg | bag | eye | air | body | day | e | frog | basket | can | cold,times | case | hole | form | quality | be | rot | entrails | strengthening | taste | 5 | act | may | sharp | primary | polythene | blood | 2 | collect | as | banana | fat | in | now | salt | cause | tear | then | transport | ha | shrimp | water | knife | spread | parts | product | hessian | food | liquid | solution | are | portion | dry | consumer | grass | demand | out | freezer | place | dish | same | time | american | help | living | half | mucus | basis | arranging | pale | policy | salting | enzyme | starting | tails | lack | 4 | last | potential | basket | sun | can | collection | care | a | 8 | preservation | standard | there | process | leave | wa | market | hip | using | days | low temperature | weighing | belly | bangladesh | c | contribution | height | role | knowledge | making | type | method | dead | ration | lowering | grade | present | chlorine | muscle | sunlight | tray | 20 | size | well | chlorine water | eyes | catching | 40 | rack | nutrition | preserves | 15 | decomposition | control | washing | side | fin | pound | local | ton | medicine | village | 28 | metric ton | air | 13 | do | production | play | cartoon | 12 | body | head | level | 10 | use | year | freezing | pm | supply | example | scale | exporting | preserve | cold | 1 | dryness | gill | leaf | resource | lakh | cm | fact | increase | good | cut | so | platform | hand | grading | change | ice | particular | plate | outside | stop | system | cell | bamboo | short | d | extent | or | first | lobster | long time | processing | bacteria | possible | more | profit | colour | weight | take | bringing | harm | cold water | melt | down | taka | fresh fish | box | layer | remains | context | crore | free | house | chambers | development | one | low | parcel | bag | enough | want | know | keep | wax paper | full | great | action | body temperature | eating | frog legs | package | tail | creature | eggs | financial year | over | target | thousand | like | total | protein | chemical element | fatty | keeping | view | saline | remove | block | egg | at | refrigeration | i | kg | heat | putting | mat | 3 | country | third | die | environment | hours | transportation | plan | 7 | bottom | fall | reason | piece | taking | result | begin | economy | order | small | specific | germ | bound | tissue | position | push | fourth | stand | tearing | smear | will | direction | ooze | pond | fishery | foreign exchange | consumption | it | death | teacher | way | international | progress | importance | export | amount | so long | e | people | start | no | steps | ware | whole | stage | selling | national | fish | marketing | dose | temperature | blast
data/English Textbook 4 Readability Level/difficult/9-agri-11.tei,8.067542213883677,fine | meet | i | leave | fountain | market | mirror | glass | good | blood | green | making | drop | bucket | culture | brown | bottle | down | bank | fire | hour | grass | base | government | house | air | book | branches | body | day | laboratory | basket | black | can | lips | ball | bodies | factor | dioxide | cold | land | lip | flat,fine | grub | range | form | entrails | stick | triple | sustainability | collect | as | now | high | food | rainy season | vertical | patient | portion | caste | member | partial | percent | demand | place | time | light | zooplankton | intensive | rice | book | have | basket | sun | plankton | a | input | finger | age | brick | colours | there | excreta | ability | need | cutting | floating | blending | type | nature | text | dropsy | acre | bran | base | morning | government | crop | quantity | sunray | production | body | head | physical condition | preparation | example | cold | leaf | dry season | seedling | increase | corner | good | change | bamboo | or | phytoplankton | go | big tree | take | farm | compost | fingerling | want | show | essential | potash | moss | oxygen | things | eating | over | region | management | plant | presence | following | casting | daily | at | pot | nursery | two | fresh water | 3 | observation | sale | country | asia | put | sprinkling | quick | 7 | taking | even | removal | influence | bank | above | south | bleaching powder | he | precondition | fish | taste | red | margin | 5 | may | decimal | rearing | remedy | 2 | selection | then | ha | rotifera | parts | average | better | nutrient | old | chemical | out | mixture | nitrogen | fries | help | living | coverlet | mouth | 4 | breadth | fish meal | 25 | can | upper | collection | number | waters | stocking | process | volvox | measure | mosquito net | c | making | method | 24 | africa | sunlight | well | nutrition | local | tree | measurement | body weight | capacity | mud | day | proportion | year | factor | hang | availability | 1 | cm | sieve | cut | draw | poultry | procedure | spoil | weight | bacteria | beaker | wheat | regular | round | description | weeds | remains | layer | tail | top | sedge | west | keep | great | dark | super | goat | ball | diagnosing | end | mills | label | movable | grey | life | might | broadcast | extract | note | cultivation | hyacinth | kg | fountain | litre | source | ploughing | organic | hours | familiar | tape | semi | bottom | fall | three | conditions | gas | gunny | eats | hopper | pond | an | metre | consumption | it | manure | shallow | look | way | pair | amount | wall | whole | no | mortality | dose | times | flood | rot | be | school | characteristic | evening | blood | variety | water | nursing | rates | loam | see | silver | tablet | fertilizer | are | fire | dry | make | grass | fertility | 6 | same | diagram | hiding | movement | aquatic | growth | gasp | mineral | pest | practice | calcium | 8 | green algae | here | produce | white | labour | flat | market | lower | identification | float | broad | height | knowledge | poisoning | pulling | animal | present | 20 | size | catching | dung | condition | 100 | decomposition | side | straw | thing | tons | 12 | length | cost | equal | 10 | thick | value | use | supply | lip | hatching | mite | green manure | thorn | system | aquatic plant | urea | alkalinity | extent | bucket | mustard oil | natural | long time | going | possible | more | plantation | testing | growing | best | enough | cow | domestic animal | spine | loop | creature | normal | black | total | keeping | general | dwelling house | beating | names | third | dal | lime | die | environment | material | big fish | hectare | dependent | germ | ready | swimming | net | harvest | m | disease | diet | ratio | cover | subject | application | importance | necessary | multiplication | get | gm | marketing | temperature | case | mg | entrance | glass | winter | green | insect | in | spread | product | algae | mirror carp | deep water | dropper | much | food cycle | soil | problem | mixing | basis | summer | front | transparency | hindrance | hatchling | volume | productivity | copper sulphate | excess | p | health | investment | leave | roots | using | days | bangladesh | shrub | fry | irrigation | predator | 40 | bush | cake | 15 | control | stem | fin | why | pan | given | air | treatment | drum | due | laboratory | decrease | season | pants | clay | acidity | scale | carp | microscope | compare | diatom | so | eradication | mater | week | mark | brown | heavy | colour | livelihood | doe | down | 30 | matter | carbon dioxide | hour | trouble | one | low | month | pupa | 60 | action | addition | cows | obstruction | pump | ingredient | like | clearness | growth rate | banks | ideal | potassium | land | meet | covering | i | daphnia | drop | elements | fence | reason | structure | culture | ph | result | ling | order | small | spots | bottle | deep | phosphorus | will | obstacle | water hyacinth | phosphate | caudal fin | dorsal fin | molasses | rate | determination | ml | common | getting | steps | slide | thus | stage | depth | supplying | right | husk
data/English Textbook 4 Readability Level/difficult/9-agri-15.tei,8.571428571428571,body | hole | day | e | electricity | black | basket | can | brown | house | good | i | angle | leave | blood | air | dioxide | dust | making | hour | hold,case | hole | be | hen | characteristic | winter | may | u | noise | variety | 2 | solitary | water | as | in | rates | security | selection | cause | room | then | blood vessel | rh | hessian | fertilizer | food | sound | are | portion | chick | g | make | old | incubator | duck | out | place | problem | respiration | time | turning | 23 | help | light | basis | summer | 4 | have | basket | can | inside | number | care | a | 8 | preservation | white | area | brood | age | composition | hold | there | process | leave | 21 | days | lower | hitting | bangladesh | c | broad | making | method | tapering | upper side | developing | sunlight | tray | size | 50 | angle | 80 | dust | 40 | timer | 15 | 100 | ventilation system | side | hatch | village | straw | cock | air | capacity | molting | do | human | examination | advantage | day | broody hen | decrease | 10 | lie | thick | year | incubation | night | hatching | cm | middle | cloth | brooding | embryo | good | kerosene | oil | bowl | separate | so | particular | stop | mark | system | poultry | torch | numbers | or | broody | first | electricity | natural | weight | brown | intake | colour | more | serial | 18 | bad egg | carbon dioxide | giving | clean | farm | fertilized egg | free | best | house | development | one | formalin | low | must | enough | month | yolk | coming | 60 | oxygen | cleanliness | body temperature | dark | give | relative humidity | re | things | eggs | nest | black | lay | like | insecticide | bad | pore | presence | ideal | medium | following | might | daily | wire | move | egg | at | modern | i | 3 | transfer | country | 500 | third | smooth | measuring | die | hours | material | outlet | instrument | 7 | reason | breed | even | bulb | cc | structure | three | fed | order | small | sodium chloride | germ | potassium permanganate | fumigation | born | possibility | will | littre | an | above | it | humidity | ancient | look | necessary | seventh | hands | rural area | setting | getting | e | start | piece of cloth | no | electric | stage | necessity | shell | found | gm | husk | dose | temperature | times
data/English Textbook 4 Readability Level/difficult/9-agri-16.tei,6.845238095238096,meet | i | heat | market | good | board | mean | making | electricity | double | dust | hour | house | leg | island | lamp | air | floor | day | e | can | balance | land,saw | furnace | temperature | form | be | hen | red | wetting | winter | 5 | board | feed | may | high temperature | rearing | arrangement | 2 | water | as | in | now | nursing | roofing | selection | 120 | room | see | high | ha | double | skin | then | years | spread | list | maximum | food | rh | drainage system | sound | duration | are | wood | initial | chick | dry | feeder | make | percent | meal | out | sight | place | soil | time | vitamin | washing | 23 | american | blow | light | living | planning | movement | summer | front | rice | deceased | 4 | growth | breadth | mineral | lighting | 25 | conversion | have | can | inside | collection | deficiency | calcium | a | 8 | balance | care | number | produce | cleaning | feeding | germicide | area | white | age | electric heater | there | roof | market | oyster shell | using | 21 | days | bangladesh | c | height | bird | making | type | egyptian | method | 24 | sewerage | climate | tray | 20 | size | function | cornish | 80 | site | breath | mediterranean | sussex | dust | well | 40 | circumference | 15 | 100 | control | roads | ventilation system | side | training | quantity | worm | medicine | given | pan | straw | air | crossing | period | programme | burial | production | due | drinking water | day | length | attention | ceiling | season | success | use | man | supply | night | balanced diet | establishment | netting | premix | 1 | rapid | cm | dwelling | brooding | good | kerosene | separate | so | hand | particular | chicken | week | fencing | poultry | bamboo | short | furniture | or | time immemorial | first | electricity | weight | going | more | loss | four | mate | cluster | doe | take | description | matter | growing | trouble | price | clean | farm | layer | remains | empty | rhode island red | free | best | house | development | one | low | must | strain | enough | month | laying | centre | longer | main | requirement | 60 | full | great | commercial | ground | cross | relative humidity | requisite | darkness | over | eggs | floor | routine | entering | normal | ingredient | lay | like | management | insecticide | power | end | crude | protein | following | wire | daily | fault | contagious disease | at | egg | land | homestead | meet | pot | i | heat | putting | mat | new hampshire | business | capital | country | farming | put | tin | watt | lime | measuring | die | environment | hours | material | brooder | sprinkling | purpose | 7 | taking | breed | guard | bulb | gather | legs | result | order | small | point | specific | germ | influence | meat | net | will | 16 | disease | littre | an | diet | english | housing | broiler | metre | hi | it | ventilation | rate | leghorn | space | way | means | vaccination | necessary | name | hands | amount | start | e | entry | goal | whole | thickness | electric | importing | dress | stage | 70 | get | supplying | come | found | kerosene lamp | gm | right | husk | marketing | dirt | specialist | eight
data/English Textbook 4 Readability Level/difficult/9-agri-18.tei,7.18562874251497,body | bone | day | i | can | bodies | mass | down | dust | green | grass | cod,be | hen | entrails | 5 | green | downside | water | as | fat | in | now | salt | then | resistance | sweet potato | list | food | are | nutrient | grass | meal | duck | out | place | mixture | same | time | mixing | turning | help | light | vitamin | rice | mineral | fish meal | strength | almond | difference | have | sun | can | collecting | calcium | a | mass | feeding | age | turn | there | fungus | days | need | mill | bird | millet | mustard | type | ration | upside | seed | bone | present | carbohydrate | shortage | function | bran | well | dust | energy | condition | cake | pulse | control | quantity | thing | given | pyramid | undesirable | production | due | body | proportion | premix | increase | hotel | cut | oil | so | hand | week | cell | poultry | fowl | or | first | more | wheat | colour | loss | four | take | khesari | down | fill | substitute | clean | top | development | yolk | must | snail | keep | substance | ground | things | handful | hot water | cows | eggs | goat | ingredient | like | oyster | total | protein | fatty | yellow | food grain | following | cod-liver oil | egg | at | i | capital | calorie | lime | elements | material | vegetable oil | purpose | taking | piece | result | three | meat | phosphorus | will | disease | an | it | molasses | look | way | maize | necessary | amount | getting | whole | no | shell | 70 | supplying | nut | fish | circumstances | husk | temperature
data/English Textbook 4 Readability Level/difficult/9-agri-17.tei,7.553956834532374,meet | hole | day | house | frog | i | leave | can | brown | leg | good | air | bank | dust | drop | jungle | land | making | mean | floor | grass,case | hole | be | hen | winter | 5 | act | feed | may | stick | decimal | rearing | remedy | 2 | insect | solitary | water | as | in | salt | campbell | then | ha | silver | list | fertilizer | food | fund | leaving | are | nutrient | construction | chick | integration | make | grass | fertility | density | duck | meal | out | place | problem | soil | mixing | fries | help | light | time | fight | years | summer | aquatic | scientific method | rice | growth | 4 | wind | fish meal | 25 | have | can | number | a | 8 | centimetre | indian | productivity | rest | feeding | area | treat | age | there | excreta | roof | leave | using | 21 | days | need | bangladesh | floating | height | role | making | type | method | pulling | shortage | 20 | predator | 50 | size | bran | well | dust | condition | cake | control | sesame | local | pan | given | straw | air | 13 | aperture | do | production | 12 | activity | chance | equal | least | square metre | 10 | preparation | year | supply | night | balanced diet | clay | poison | carp | 1 | dry season | cm | increase | life cycle | catfish | good | lath | cut | separate | so | hand | week | chicken | system | fencing | aquatic plant | poultry | bamboo | fowl | or | first | natural | weight | brown | heavy | more | wheat | take | bringing | doe | weeds | 18 | 30 | particle | growing | nil | sunset | remains | layer | crore | house | best | low | s | enough | 9 | distance | keep | laying | month | requirement | snail | young | 60 | oxygen | cross | eggs | floor | attack | dry land | square | frog | lay | management | like | oyster | total | protein | banks | following | daily | inquest | remove | land | at | mixed farming | meet | cultivation | i | kg | khaki | two | mat | 3 | wet | source | country | farming | parasite | tin | organic | lime | smooth | drop | environment | positive | purpose | 7 | bottom | fall | breed | even | legs | gap | fed | gas | result | small | am | meat | permanent | bank | net | young fish | star | disease | expert | little | pond | an | above | fishery | metre | broiler | manure | it | rate | extra | jungle | space | means | rubbish | application | way | necessary | common | lac | amount | thus | no | swim | dive | depth | runner | supplying | fish | gm | right | husk | marketing | temperature | times
