file,ratio,blw,allNoun
data/English Textbook 4 Readability Level/difficult/9-agri-1.tei,13.526570048309178,rice | space | can | plain | fine | root | wheat | sulphur | cotton | flood | water | year | loom | corp | sill | clay | system | air | oil | potato | manure | i | snow | day | green | calcium | bank | cold,heavy | 25 | low | sulphur | particle | desert | complex | action | it | majority | percent | high | vegetable | cool | same | soil | 70 | component | have | mixture | loom | half | crop | layer | main | metamorphic rock | crust | production | igneous rock | using | an | loam | sills | better | sugarcane | compost | decomposition | large | move | sea | years | dry | example | watermelon | micro-organism | now | texture | elements | sand | river | jute | in | source | form | days | holding | rice | space | green manure | make | longer | keep | increase | as | pepper | result | characteristic | water | mixing | sedimentary rock | three | proportion | moisture | corp | composition | so | cent | matter | natural | nitrogen | variation | clay | organism | bangladesh | oxygen | following | root hair | material | carbon | i | light | or | rain | mineral | calcium | radish | life | size | rainfall | pulse | type | fine | ideal | cotton | classified | nature | irrigation | rock | thus | age | remains | chemical | 5 | like | are | living | snowfall | fertility | granule | growing | drainage | parent | till | tobacco | see | ploughing | use | air flow | present | active | more | oil | manure | scientist | while | fall | respiration | snow | aeration | at | then | major | a | organic | be | decay | region | banks | silt | area | plant | animal | compound | structure | presence | surface | can | 40 | 50 | case | wheat | environment | seed | rest | ganges | part | system of measurement | absorption | due | floodplain | humus | intensive | addition | force | beach | capacity | flow of air | sun | formation | equal | process | nutrient | content | found | development | pore | air | kaon | rotting | potato | earth | crumb | porosity | residue | temperature | duration | phosphorus | rate | time | international | ha | wa | chili | cold | class | flood plain | may
data/English Textbook 4 Readability Level/difficult/9-agri-12.tei,17.647058823529413,side | can | entry | exchange | lobster | almond | body | o | water | year | tide | week | pond | making | pot | decimal | leg | land | second | well | farm | clay | diet | out | times | tip | red | culture | system | belt | hour | prawn | lac | single | i | resource | cow | day | weight | green | season | bank | joint | right | stain | farming | good | black,fertilizer | nutrition | low | disease | numbers | 15 | 7 | above | lower | doe | cox | it | colour | almond | first | slough | shelter | same | soil | hours | year | 6 | crore | management | have | collection | given | young | canal | marketing | land | reason | reservoir | supplying | total | big tree | out | production | using | look | red | culture | an | loam | practice | system | excreta | ingredient | large | 2 | shrimp | m | 80 | lac | resource | now | take | gm | river | season | shade | mouth | cow dung | daily | farming | in | days | black | attack | catch | acres | species | 13 | transportation | ground | longer | salinity | increase | evening | exporting | two weeks | white | tube well | as | quality | change | o | result | high tide | lime | 20 | mixing | attempt | water | creature | loop | pond | 14 | embankment | new moon | cash | entrance | end | legs | product | quick | upper side | 3 | so | fries | growth | natural | well | arrangement | farm | clay | ridge | urea | fresh water | bangladesh | method | oxygen | following | pair | belt | taka | hectare | ice | kg | single | acre | i | light | net | or | weight | poultry | supply | stain | condition | right | bottom | good | will | small | success | amount | application | food | type | availability | entry | full moon | gas | age | male | chapter | 90 | 5 | apprehension | are | body | country | depth | like | list | 8 | place | 0 | fertility | possible | enough | making | spread | tons | february | metre | pot | nourishment | decimal | average | saline | predator | setting | times | tip | more | number | general | here | adult | metric ton | foreign exchange | bazar | sunrise | prawn | carapace | dung | catching | at | comparison | then | 60 | a | region | be | sunray | there | joint | plenty | release | need | area | mp | p | side | can | preparation | month | 12 | 40 | 50 | case | female | lobster | environment | 4 | germ | cu | tree | annual | bamboo | part | tide | carp | feed | 1000 | 11 | come | intensive | thousand | addition | requirement | invertebrate | second | tiger | enclosure | quantity | one | found | front | semi | sunlight | rostrum | strip | 100 | cow | duration | cultivation | entering | balanced diet | few | ha | rate | green | time | wa | bank | fish | 1 | 10 | may
data/English Textbook 4 Readability Level/difficult/9-agri-10.tei,12.806539509536785,side | can | plain | fine | boat | brown | flood | body | lip | government | order | gun | water | year | pond | hole | tray | scale | current | land | farm | law | times | gray | tip | system | culture | problem | belt | field | grass | lac | i | flat | resource | value | pollution | day | blood | green | season | weight | silver | mass | teacher | mirror | market,hunting | it | colour | management | have | fishing | volume | conservation | two | using | system | large | move | collect | lac | micro-organism | take | season | mouth | source | habit | population | keep | increase | carry | white | reduction | matric | mud | marine | pond | head | tray | demonstration | 3 | cent | law | clear | i | or | supply | condition | fry | bottom | execution | fine | like | are | place | great | average | way | saline | while | gram | major | organic | training | power | summer | destruction | can | establishment | livelihood | no | normal | study | due | feed | 23 | intensive | export | fingerling | resistance | context | sector | semi | feeding | farmer | few | rate | wa | particular | ha | row | expose | period | price | disease | laws | mirror carp | aquatic plant | infrastructure | high | government | upper | year | collection | construction | lake | canal | harvest | dependent | culture | an | jail | weeds | open | value | 28 | now | sell | insect | in | teacher | plankton | portion | cause | three | programme | so | principle | fries | natural | piranha | fresh water | bangladesh | kg | weight | china | nature | irrigation | rapid | growth rate | chapter | 5 | body | 8 | native | act | protein | metre | present | respiration | at | steps | potential | april | day | a | blood | manner | region | area | animal | 40 | 50 | female | grey | july | 24 | 4 | order | phytoplankton | thousand | short | requirement | current | hoar | plan | movement | time | green | fish | low | character | doe | percent | cool | do | soil | poison | arrow | given | young | layer | fisher | december | land | reason | temper | coral | production | gray | november | years | shrimp | resource | gm | species | catch | hope | fin | disposal | reproduction | longer | asia | 30 | measuring | basis | south | 20 | water | trawler | russia | composition | problem | deficiency | hectare | help | original | special | produce | kind | food | length | group | import | explosive | living | maturity | growing | tons | hatchery | poa | use | fish farm | rainy season | catching | be | plant | cm | specific | 12 | thick | man | peoples | oder | point | improvement | full | sub | sort | found | habitat | pesticide | microorganism | cultivation | view | consumption | 10 | may | shape | flood plain | free | lateral | 15 | tail | above | lower | conversion | apex | breeding | crop | zone | eats | total | conserve | dorsal fin | example | lay | winter | abdominal | river | silver | mass | defaulter | market | make | jew | as | punishment | characteristic | eggs | vertebrate | light brown | embankment | scale | term | necessity | farm | regulation | straight | following | belt | material | net | acts | zooplankton | size | small | application | type | stage | boat | tank | classified | climate | lip | country | possible | necessary | drainage | hole | vogue | middle | 9 | dose | setting | times | tip | more | general | dig | extension | flat | being | pollution | revenue | harvesting | there | release | flood control | toxic industrial waste | side | last | month | ways | fields | environment | level | demand | dike | gun | common | carp | come | dweller | one | development | bay of bengal | june | measure | grass | dark | gill | 1
data/English Textbook 4 Readability Level/difficult/9-agri-13.tei,19.689119170984455,drop | side | can | balance | name | sulphate | book | primary | body | copper | diagram | glass | water | pond | skin | web | tray | injection | scale | decimal | wing | permanganate | out | red | eye | hour | speed | i | swell | pollution | day | blood | down | joint | belly | good | vitamin | deposition,free | external | disease | 15 | tail | litre | 7 | turn | doe | it | colour | first | majority | primary | terramycin | diagram | salt | dot | then | have | injection | solution | circulation | clean | reason | out | fungi | persecution | red | an | pale | move | 2 | liquid | round | standard | take | eyes | gm | sore | things | belly | cubic metre | stops | in | attack | days | deposition | vitamin | drop | minute | rectum | fin | shortage | balance | name | naked eye | keep | white | as | parts | change | result | characteristic | lime | 20 | mixing | water | pond | skin | web | head | tray | scale | sucker | tear | proportion | losses | 3 | matter | growth | oxygen | following | suck | speed | begin | minutes | ammonium | kg | special | i | infection | or | mineral | supply | interval | want | good | will | control | application | food | mark | type | cut | 15 minutes | stage | swelling | swift | scar | chemical | 5 | body | are | depth | note | 0 | protein | metre | luster | decimal | parasite | saline | rub | dose | more | number | die | general | symptom | squeezing | swell | being | at | comparison | magnifying glass | organic | a | pollution | be | blood | decay | down | organ | joint | wings | fed | fungus | small white | initial | substance | presence | side | can | malnutrition | preparation | 40 | case | surface | viral infection | copper sulphate | environment | book | germ | part | spots | formalin | bacteria | due | mg | come | quantity | lack | severity | nutrient | one | development | saline solution | hour | contagious disease | give | slat | 100 | rate | stick | particular | potassium permanganate | wearing | draw | gill | fish | 1 | may
data/English Textbook 4 Readability Level/difficult/9-agri-14.tei,19.480519480519483,market | teacher | side | can | start | chlorine | body temperature | exchange | lobster | box | heat | ration | primary | bag | body | order | water | year | wax | rot | pond | making | hole | tray | scale | leaf | paper | leg | leave | well | rack | out | times | system | sharp | air | eye | hour | mat | grass | knife | i | resource | basket | day | fishery | blood | down | weight | play | over | belly | banana | house | cold | economy | good | frog | muscle | e,muscle | extent | stop | free | third | village | start | nutrition | body temperature | low | national | 15 | importance | tail | 7 | lakh | action | ration | washing | it | colour | first | primary | do | same | c | hours | cell | crore | d | salt | selling | year | collection | care | half | solution | layer | preserve | remove | leave | marketing | reason | total | fourth | local | out | production | tearing | using | system | role | pale | decomposition | 2 | liquid | shrimp | dry | collect | example | keeping | standard | package | 28 | entrails | know | now | policy | resource | eyes | salting | strengthening | take | belly | banana | in | form | days | progress | market | teacher | pm | 13 | fin | transportation | preservation | freezing | keep | increase | arranging | exporting | profit | as | bringing | basis | change | parts | quality | long time | result | eggs | water | 20 | consumer | portion | plate | creature | target | pond | so long | cause | enzyme | head | tray | weighing | scale | freezer | tear | product | blast | 3 | contribution | so | well | bound | ware | putting | eating | bangladesh | method | sharp | position | stand | taka | begin | help | ice | kg | i | or | fishery | fatty | ton | weight | chemical element | supply | bottom | house | size | want | good | financial year | will | e | control | pound | small | amount | food | type | cartoon | cut | processing | chlorine | polythene | stage | chambers | box | remains | 5 | body | are | country | height | like | living | place | 8 | possible | great | hessian | taking | enough | making | spread | hole | act | protein | cold water | smear | chlorine water | fact | way | saline | refrigeration | hand | use | hip | present | dose | tails | times | more | die | metric ton | foreign exchange | wax paper | mat | knife | frog legs | fall | catching | at | then | basket | potential | a | preserves | be | blood | down | push | steps | there | ooze | dryness | lowering | people | economy | platform | cm | can | death | fresh fish | 12 | 40 | case | last | parcel | side | specific | no | piece | lobster | environment | 4 | germ | heat | level | demand | grading | low temperature | bag | bamboo | tissue | order | starting | bacteria | rot | thousand | grade | transport | whole | short | harm | full | leaf | knowledge | export | sun | rack | medicine | direction | lack | process | context | egg | development | one | air | dead | sunlight | fat | outside | american | block | grass | plan | temperature | time | wa | particular | international | ha | taste | view | play | over | dish | gill | fish | 1 | cold | melt | consumption | mucus | 10 | may
data/English Textbook 4 Readability Level/difficult/9-agri-11.tei,18.386491557223263,nursery | root | meet | government | tape | diagram | year | ball | base | bottle | land | leave | dioxide | out | red | culture | system | value | observation | moss | season | silver | black | market | mosquito | rice | drop | name | sulphate | drum | mill | brown | flood | pan | phosphate | water | week | stocking | pond | scale | well | farm | clay | problem | mustard | i | weight | calcium | laboratory | right | house | pump | good | triple | fine | body | lip | fountain | glass | making | pot | decimal | goat | poisoning | times | oil | manure | flat | basket | day | blood | down | fence | bucket | side | can | microscope | wheat | book | fire | school | copper | order | rot | leaf | rates | diet | air | hour | grass | factor | cow | wall | green | bank | over | cold | mirror,aquatic | nursery | third | cake | deep | litre | it | colour | rotifera | potash | breadth | c | diagram | health | pulling | caste | extract | have | ball | brick | management | volvox | dwelling house | volume | base | two | using | west | red | system | better | compost | ready | decrease | m | round | collect | top | take | season | transparency | mouth | daily | source | range | trouble | hatchling | carbon dioxide | drum | increase | keep | finger | white | long time | input | names | mixing | week | loop | mud | pond | ling | head | cutting | end | 3 | dal | variety | hang | subject | pair | i | or | label | fish meal | supply | condition | fry | bottom | pump | determination | amount | mite | fine | remains | like | are | fountain | place | great | removal | pot | average | see | way | cover | domestic animal | covering | daphnia | fall | organic | conditions | down | sunray | summer | bucket | structure | can | preparation | livelihood | no | copper sulphate | book | fire | blending | normal | pest | bamboo | going | spots | mortality | due | intensive | knowledge | rates | africa | quantity | fingerling | nursing | nutrient | rearing | identification | semi | excess | beating | hour | cow | rate | dropper | phosphorus | ha | cold | big fish | fertilizer | nutrition | disease | might | mirror carp | cost | action | aquatic plant | get | high | productivity | government | upper | tape | hours | year | clearness | collection | hatching | harvest | dependent | supplying | big tree | out | culture | an | much | practice | spoil | weeds | decomposition | grub | value | entrails | now | cows | elements | observation | casting | things | insect | precondition | in | super | days | black | drop | green manure | procedure | ph | plankton | remedy | parts | pan | phosphate | portion | selection | three | proportion | so | fries | matter | nitrogen | natural | plantation | fresh water | bangladesh | oxygen | diatom | thing | kg | weight | laboratory | right | life | deep water | partial | control | bleaching powder | treatment | why | mark | old | influence | ideal | best | availability | regular | nature | irrigation | gas | age | growth rate | ability | 5 | body | broadcast | note | glass | 8 | pupa | margin | swimming | metre | ploughing | predator | investment | goat | present | even | mills | number | here | manure | mosquito net | vertical | at | basket | day | a | region | blood | steps | banks | bran | fence | hiding | physical condition | animal | sedge | labour | 40 | grey | bush | wheat | 24 | 4 | hyacinth | order | obstruction | phytoplankton | sustainability | familiar | member | leaf | hopper | equal | air | movement | time | green | draw | fish | mustard oil | 25 | low | importance | doe | percent | soil | caudal fin | mixture | food cycle | given | shallow | layer | leave | land | reason | local | production | look | loam | ingredient | dry | keeping | gm | slide | form | fin | asia | 30 | text | basis | flood | morning | stem | lime | 20 | south | testing | water | creature | stocking | growth | well | spine | eating | problem | getting | straw | hectare | help | light | tablet | mineral | poultry | produce | triple | will | food | length | ratio | beaker | chemical | dry season | depth | living | fertility | growing | enough | hindrance | taking | tons | go | use | poisoning | die | potassium | rainy season | dung | catching | then | 60 | molasses | be | obstacle | need | plant | presence | cm | 12 | thick | school | mater | gunny | rot | ml | algae | front | temperature | essential | factor | 100 | cultivation | stick | over | consumption | description | 10 | may | extent | heavy | 15 | tail | 7 | above | alkalinity | lower | colours | meet | multiplication | same | diagnosing | 6 | husk | corner | crop | eats | bottle | marketing | total | floating | excreta | 2 | winter | dorsal fin | example | moss | water hyacinth | silver | patient | market | rice | make | show | evening | shrub | as | brown | change | result | characteristic | entrance | scale | waters | quick | product | farm | clay | acidity | dropsy | urea | thorn | method | following | green algae | material | acre | net | calcium | zooplankton | size | want | good | small | application | type | cut | stage | sale | thus | lip | height | country | sunlight | possible | necessary | making | spread | decimal | sprinkling | dose | times | broad | more | general | measurement | put | flat | he | there | p | side | float | microscope | month | case | pants | environment | body weight | germ | movable | tree | demand | bacteria | carp | common | mg | whole | eradication | addition | sieve | capacity | seedling | roots | sun | diet | process | one | gasp | coverlet | measure | grass | wall | dark | taste | bank | compare | 1
data/English Textbook 4 Readability Level/difficult/9-agri-15.tei,17.959183673469386,side | can | dust | start | body temperature | bowl | hen | chloride | brown | angle | order | water | year | nest | making | hole | tray | hold | rates | wire | leave | permanganate | farm | room | dioxide | out | times | system | problem | electricity | air | oil | hour | i | night | basket | day | shell | blood | weight | house | good | black | e,fertilizer | may | third | free | village | start | body temperature | bowl | low | numbers | 15 | cloth | might | 7 | above | lower | transfer | kerosene | it | colour | first | brood | solitary | do | c | hours | husk | year | nest | instrument | medium | have | coming | hatching | care | rural area | serial | wire | clean | leave | humidity | reason | out | possibility | look | system | an | turning | electricity | move | decrease | 2 | winter | lay | 80 | separate | gm | things | advantage | daily | in | days | black | duck | dust | make | molting | rh | preservation | carbon dioxide | ancient | fertilized egg | white | measuring | as | basis | brown | angle | characteristic | eggs | littre | portion | water | yolk | cause | selection | tray | three | hold | blood vessel | upper side | 3 | composition | necessity | so | natural | incubation | farm | variety | broody | piece of cloth | problem | bangladesh | method | oxygen | following | getting | straw | help | material | 500 | hatch | i | light | night | or | cock | breed | weight | poultry | 21 | size | house | good | will | e | small | sound | electric | food | mark | old | stage | ideal | best | security | age | bulb | must | relative humidity | seventh | like | country | are | brooding | sunlight | place | 8 | necessary | hessian | enough | embryo | making | hole | lie | g | middle | room | chick | dose | even | setting | times | broad | more | die | number | oil | hitting | smooth | broody hen | respiration | then | at | basket | 60 | a | bad | be | day | there | timer | 18 | fed | summer | intake | area | outlet | structure | insecticide | presence | cm | can | side | month | 40 | 50 | case | re | no | 4 | thick | torch | ventilation system | germ | hen | u | examination | order | sodium chloride | formalin | modern | inside | 23 | human | born | capacity | hands | noise | rates | fumigation | process | giving | incubator | egg | development | found | air | one | pore | bad egg | tapering | temperature | give | 100 | cleanliness | time | dark | particular | potassium permanganate | shell | cc | stop | developing | 10
data/English Textbook 4 Readability Level/difficult/9-agri-16.tei,18.75,market | rice | space | side | can | double | wood | dust | start | balance | name | island | entry | heat | hen | meet | order | oyster | pan | water | year | week | skin | making | lamp | tray | pot | heater | wire | leg | floor | land | roof | board | farm | room | diet | well | out | red | system | electricity | air | mean | furnace | hour | mat | i | night | day | strain | shell | weight | season | calcium | worm | over | right | house | farming | good | vitamin | e,free | period | price | wood | brooder | start | broiler | 25 | low | disease | attention | roads | 15 | eight | 7 | time immemorial | conversion | doe | get | hi | it | first | kerosene | percent | high | meet | rhode island red | breadth | leghorn | soil | c | hours | husk | specialist | 70 | cornish | business | electric heater | collection | have | management | care | given | oyster shell | layer | main | success | floor | wire | clean | land | centre | marketing | roof | supplying | watt | out | goal | production | new hampshire | using | red | four | an | electricity | years | ingredient | 2 | winter | dry | lay | 80 | fencing | now | separate | maximum | take | strain | gm | season | importing | wetting | means | daily | farming | in | form | days | ceiling | fault | market | rice | space | trouble | vitamin | guard | dust | make | balance | drainage system | ground | name | longer | rh | saw | measuring | white | as | burial | laying | feeder | pan | premix | eggs | lime | 20 | capital | littre | result | water | thickness | skin | week | meat | selection | function | sight | tray | end | legs | programme | so | matter | growth | well | board | arrangement | farm | lighting | chicken | putting | sewerage | bangladesh | method | following | english | deficiency | furnace | straw | breath | material | gather | i | light | net | night | or | worm | breed | weight | mineral | calcium | poultry | 21 | site | right | supply | cross | produce | house | size | good | empty | will | e | control | small | sound | amount | double | electric | food | mate | length | stage | influence | type | best | entry | rapid | age | bulb | must | climate | relative humidity | remains | circumference | 5 | country | are | brooding | cluster | height | like | deceased | 8 | list | great | living | housing | loss | growing | enough | making | necessary | spread | taking | protein | netting | metre | pot | purpose | see | way | hand | sprinkling | dwelling | dress | room | use | chick | more | number | 120 | die | ventilation | cleaning | germicide | put | mat | crude | homestead | then | at | egyptian | 60 | a | day | be | there | training | power | washing | meal | summer | area | roofing | initial | insecticide | planning | cm | can | kerosene lamp | establishment | 40 | month | requisite | side | specific | 24 | environment | 4 | mediterranean | normal | ventilation system | germ | heat | man | hen | point | bamboo | order | going | due | feed | 23 | blow | 16 | come | high temperature | inside | whole | short | sussex | full | drinking water | requirement | hands | quantity | place | diet | medicine | bird | nursing | one | egg | development | crossing | air | dirt | found | front | rearing | routine | american | furniture | movement | contagious disease | feeding | temperature | 100 | vaccination | duration | entering | rate | balanced diet | particular | ha | time | over | 1 | darkness | description | commercial | tin | may
data/English Textbook 4 Readability Level/difficult/9-agri-18.tei,19.16167664670659,rice | bone | can | dust | wheat | mill | ration | hen | cod | almond | body | oyster | water | week | snail | well | goat | out | oil | mustard | potato | grass | i | cow | nut | day | shell | down | green | calcium | mass | vitamin,khesari | cake | disease | vegetable oil | turn | ration | it | colour | almond | first | oyster | same | cell | husk | salt | 70 | snail | downside | have | mixture | given | undesirable | strength | clean | supplying | total | out | production | look | four | an | turning | ingredient | top | entrails | now | take | cows | elements | energy | things | sweet potato | mass | pyramid | in | days | vitamin | duck | rice | yellow | dust | shortage | carbohydrate | ground | keep | increase | mill | as | calorie | result | premix | eggs | lime | capital | mixing | water | week | yolk | meat | function | three | proportion | so | well | maize | following | getting | mustard | thing | fill | help | material | i | light | cod-liver oil | or | fatty | fish meal | mineral | calcium | poultry | condition | difference | upside | will | control | pulse | amount | food | type | cut | age | must | 5 | body | are | like | hot water | list | place | necessary | loss | taking | protein | purpose | way | hand | goat | present | handful | more | oil | nut | at | then | a | fowl | be | down | molasses | there | meal | fungus | bran | need | substance | bone | can | no | piece | wheat | circumstances | collecting | seed | hen | due | whole | sun | quantity | substitute | resistance | bird | food grain | nutrient | egg | development | hotel | fat | grass | temperature | feeding | time | phosphorus | shell | green | fish | millet
data/English Textbook 4 Readability Level/difficult/9-agri-17.tei,19.784172661870503,rice | space | drop | can | dust | wheat | fund | hen | brown | meet | oyster | pan | water | star | year | week | pond | making | snail | hole | jungle | decimal | leg | floor | leave | land | roof | well | clay | diet | out | times | system | problem | air | mean | manure | s | mat | grass | lac | i | night | day | fishery | weight | season | bank | right | silver | house | farming | good | frog | density,aquatic | fertilizer | heavy | may | broiler | 25 | cake | low | disease | fund | particle | 7 | above | aquatic plant | doe | it | first | meet | productivity | do | oyster | soil | solitary | wind | pulling | husk | crore | poison | salt | star | year | management | have | snail | construction | given | jungle | young | layer | remove | floor | leave | land | marketing | positive | roof | local | supplying | total | out | production | two | using | system | an | floating | role | weeds | excreta | years | dive | 2 | winter | lay | lac | runner | fencing | take | separate | gm | wet | insect | means | silver | expert | daily | farming | in | source | days | attack | duck | frog | rice | drop | space | 13 | dust | make | shortage | sesame | 30 | keep | increase | sunset | as | bringing | inquest | brown | remedy | aperture | laying | pan | result | eggs | lime | 20 | mixing | nil | water | week | pond | meat | legs | 3 | so | fries | growth | natural | well | clay | chicken | problem | bangladesh | catfish | method | oxygen | following | straw | help | s | kg | i | light | net | night | or | fishery | breed | fish meal | poultry | supply | weight | 21 | treat | condition | right | campbell | bottom | cross | house | life cycle | good | khaki | size | control | small | centimetre | amount | application | food | type | indian | cut | best | gas | thus | age | remains | dry season | 5 | country | are | depth | height | like | list | place | 8 | necessary | fertility | growing | enough | making | hole | act | protein | metre | swim | purpose | decimal | parasite | way | hand | predator | 9 | chick | even | times | more | number | distance | square metre | gap | manure | smooth | mat | fall | integration | scientific method | then | at | dry land | 60 | a | fowl | be | organic | there | little | meal | 18 | fed | banks | bran | need | area | extra | rubbish | square | mixed farming | summer | cm | can | chance | month | 12 | 50 | case | preparation | am | no | wheat | environment | 4 | rest | young fish | hen | bamboo | activity | common | carp | feed | leaving | requirement | equal | nutrient | air | lath | rearing | grass | temperature | feeding | least | permanent | rate | cultivation | stick | balanced diet | time | ha | bank | fight | fish | 1 | tin | 10 | density
