telecommunications,18,A,6.0,1,A ,9.6,5,A 
recommendations,15,A,6.0,1,A ,8.0,1,A 
developers,10,A,7.0,1,A ,0,0, 
permission,10,A,8.0,1,A ,7.0,8,A B
difficulty,10,A,6.0,1,A ,7.0,2,A B
comparison,10,A,11.0,1,A ,9.0,5,A 
assistant,9,A,6.0,1,A ,9.518518518518519,27,A B
hospitals,9,A,15.0,1, B,12.0,6,A B
behavior,8,A,8.0,1,A ,10.857142857142858,7,A B
cities,6,A,12.0,1,A ,14.666666666666666,3, B
flight,6,A,9.0,1,A ,0,0, 
values,6,A,6.0,1,A ,0,0, 
rumors,6,A,6.0,1,A ,0,0, 
lesson,6,A,8.0,1,A ,11.6,5, B
track,5,A,4.0,1,A ,7.666666666666667,6,A B
genes,5,A,8.0,1,A ,11.0,21,A B
cells,5,A,11.0,1,A ,0,0, 
bias,4,A,10.0,1,A ,11.857142857142858,7,A B
lake,4,A,11.0,1, B,5.75,8,A B
bike,4,A,12.0,1, B,8.5,2,A B
