medium,4/102,4,0,2,2,0,0,0
telecommunications,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
broadcasting,0/0,N/A,0,0,0,0,0,0
advice,1/11,10,0,1,0,0,0,0
recommendations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
referral,0/0,N/A,0,0,0,0,0,0
creator,0/6,0,0,0,0,0,0,0
developers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
approval,0/26,0,0,0,0,0,0,0
permission,0/20,0,0,0,0,0,0,0
all clear,0/0,N/A,0,0,0,0,0,0
effort,0/152,0,0,0,0,0,0,0
difficulty,0/2,0,0,0,0,0,0,0
the devil,0/0,N/A,0,0,0,0,0,0
examination,5/67,8,0,5,0,0,0,0
comparison,0/5,0,0,0,0,0,0,0
analogy,0/0,N/A,0,0,0,0,0,0
worker,24/1467,2,0,6,4,9,4,1
assistant,5/147,4,0,4,1,0,0,0
accomplice,0/4,0,0,0,0,0,0,0
medical building,0/36,0,0,0,0,0,0,0
hospitals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
creche,0/0,N/A,0,0,0,0,0,0
activity,9/5223,1,0,3,2,2,2,0
behavior,0/46,0,0,0,0,0,0,0
aggression,0/0,N/A,0,0,0,0,0,0
municipality,0/15,0,0,0,0,0,0,0
cities,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
national capital,0/0,N/A,0,0,0,0,0,0
formation,1/55,2,0,1,0,0,0,0
flight,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
belief,2/697,1,0,2,0,0,0,0
values,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gossip,0/0,N/A,0,0,0,0,0,0
rumors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
teaching,2/33,7,0,2,0,0,0,0
lesson,10/10,100,0,5,5,0,0,0
dance lesson,0/0,N/A,0,0,0,0,0,0
line,4/15,27,0,4,0,0,0,0
track,1/9,12,0,1,0,0,0,0
collision course,0/0,N/A,0,0,0,0,0,0
sequence,1/105,1,0,1,0,0,0,0
genes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
allele,2/4,50,0,2,0,0,0,0
compartment,0/8,0,0,0,0,0,0,0
cells,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
partiality,0/0,N/A,0,0,0,0,0,0
bias,1/11,10,0,1,0,0,0,0
experimenter bias,0/0,N/A,0,0,0,0,0,0
body of water,0/102,0,0,0,0,0,0,0
lake,3/20,16,0,3,0,0,0,0
bayou,0/0,N/A,0,0,0,0,0,0
motor vehicle,0/153,0,0,0,0,0,0,0
bike,4/6,67,0,4,0,0,0,0
minibike,0/1,0,0,0,0,0,0,0
