statement,8/662,2,0,7,0,1,0,0
remark,0/35,0,0,0,0,0,0,0
ad-lib,0/0,N/A,0,0,0,0,0,0
propriety,0/25,0,0,0,0,0,0,0
reserve,0/1,0,0,0,0,0,0,0
demureness,0/0,N/A,0,0,0,0,0,0
commitment,0/1,0,0,0,0,0,0,0
promise,0/11,0,0,0,0,0,0,0
betrothal,0/1,0,0,0,0,0,0,0
irrational motive,0/25,0,0,0,0,0,0,0
obsession,0/1,0,0,0,0,0,0,0
onomatomania,0/0,N/A,0,0,0,0,0,0
countenance,0/11,0,0,0,0,0,0,0
poker face,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
party,4/49,9,0,4,0,0,0,0
open house,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
recreational vehicle,0/7,0,0,0,0,0,0,0
motor home,0/2,0,0,0,0,0,0,0
van,0/0,N/A,0,0,0,0,0,0
movie,2/37,6,0,2,0,0,0,0
home movie,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
prize,2/7,29,0,2,0,0,0,0
door prize,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
line,4/15,27,0,4,0,0,0,0
cross hair,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
member,6/40,16,0,6,0,0,0,0
club member,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
company,41/83,50,0,28,4,9,0,0
car company,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
suite,0/1,0,0,0,0,0,0,0
livingroom set,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
enlisted person,0/90,0,0,0,0,0,0,0
kitchen police,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beard,2/10,20,0,2,0,0,0,0
imperial beard,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
time,0/0,N/A,0,0,0,0,0,0
greenwich time,0/8,0,0,0,0,0,0,0
coordinated universal time,0/6,0,0,0,0,0,0,0
cherry,0/0,N/A,0,0,0,0,0,0
flowering cherry,3/12,26,0,3,0,0,0,0
fuji,0/0,N/A,0,0,0,0,0,0
beginning,0/84,0,0,0,0,0,0,0
first appearance,0/7,0,0,0,0,0,0,0
induction,0/11,0,0,0,0,0,0,0
engineering,3/18,17,0,3,0,0,0,0
chemical engineering,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
game equipment,0/109,0,0,0,0,0,0,0
basketball backboard,0/0,N/A,0,0,0,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
