kinh tế thị trường,18,B,13.0,1, B,13.0,1, B
an sinh xã hội,14,B,9.0,1, B,13.333333333333334,3, B
đài truyền hình,15,B,22.0,1, B,4.0,1,A 
người phát ngôn,15,B,13.0,1, B,12.5,6, B
bầu không khí,13,B,4.0,1,A ,10.0,4, B
chất lượng,10,B,7.0,1, B,11.5,2, B
công trình,10,B,14.0,1, B,8.484375,64,A B
trang phục,10,B,9.0,1, B,10.75,4, B
hàng không,10,B,8.0,1, B,7.0,1, B
trạng thái,10,B,10.0,1, B,10.0,1, B
tàu thuyền,10,B,7.0,1, B,11.423076923076923,26,A B
thiên thần,10,B,8.0,1, B,10.0,2, B
hình thức,9,B,8.0,1, B,6.0,1, B
phụ huynh,9,B,9.0,1, B,6.833333333333333,6,A B
thiệt hại,9,B,7.0,1, B,6.0,3, B
quy trình,9,B,8.0,1, B,10.25,4, B
hành lang,9,B,7.0,1, B,9.3,10, B
tính cách,9,B,4.0,1,A ,9.181818181818182,11,A B
nhận thức,9,B,21.0,1, B,7.428571428571429,7,A B
khái niệm,9,B,6.0,1, B,9.0,1, B
qui trình,9,B,8.0,1, B,10.25,4, B
công chúa,9,B,6.0,1, B,11.25,4, B
tình nhân,9,B,7.0,2, B,8.0,1, B
ranh giới,9,B,4.0,1,A ,3.0,1,A 
thân phận,9,B,8.0,1, B,9.75,4, B
khán giả,8,B,12.0,1, B,12.846153846153847,13, B
đại biểu,8,B,13.0,1, B,12.5,6, B
quân đội,8,B,4.0,1, B,8.75,4, B
năng lực,8,B,6.0,1, B,7.166666666666667,6,A B
vật chất,8,B,8.0,1, B,5.4,5,A B
mỹ thuật,8,B,14.0,1, B,6.333333333333333,3,A B
thiết kế,8,B,10.0,1, B,11.0,1, B
phi công,8,B,7.0,1, B,13.142857142857142,7, B
đám đông,8,B,8.0,1, B,5.0,1, B
hiệp ước,8,B,17.0,1, B,11.5,4, B
linh hồn,8,B,13.0,1, B,7.0,1, B
phúc lợi,8,B,9.0,1, B,13.333333333333334,3, B
toán học,8,B,7.0,1, B,14.5,2, B
mạch máu,8,B,7.0,1, B,14.941176470588236,136, B
rác thải,8,B,6.0,1, B,7.333333333333333,3, B
giày dép,8,B,5.0,1, B,9.0,1, B
quốc dân,8,B,8.0,1, B,8.571428571428571,7,A B
vai trò,7,B,6.0,1, B,7.0,1, B
cảm xúc,7,B,6.0,1, B,9.333333333333334,9, B
địa chỉ,7,B,9.0,1, B,10.0,4, B
con cái,7,B,6.0,1, B,7.333333333333333,6,A B
tin học,7,B,12.0,1, B,10.5,2, B
tên gọi,7,B,3.0,1,A ,9.75,4,A B
nhà thờ,7,B,4.0,1, B,6.666666666666667,3, B
vệ tinh,7,B,8.0,1, B,9.5,2, B
trụ cột,7,B,14.0,1, B,22.0,1, B
tiền tệ,7,B,17.0,1, B,9.166666666666666,6,A B
dấu vết,7,B,7.0,1, B,11.5,2, B
tội lỗi,7,B,4.0,1,A ,7.0,1, B
điều lệ,7,B,7.0,1, B,10.75,8, B
học giả,7,B,11.0,1, B,12.90625,32,A B
sức lực,7,B,10.0,1, B,7.0,2,A B
xã hội,6,B,12.0,1, B,10.75,4, B
chị em,6,B,3.0,1,A ,7.666666666666667,3,A B
vật lý,6,B,14.0,1, B,5.0,1, B
bản đồ,6,B,8.0,1, B,10.571428571428571,7, B
cơ cấu,6,B,13.0,1, B,11.333333333333334,3, B
dân ca,6,B,8.0,2, B,11.5,2,A B
sa mạc,6,B,11.0,1, B,12.0,3, B
con bé,6,B,5.0,1, B,11.076923076923077,26,A B
lũ lụt,6,B,14.0,1, B,12.666666666666666,3, B
tổ hợp,6,B,10.0,1, B,10.5,2, B
cấp độ,6,B,9.0,1, B,7.8,10,A B
đồ vật,6,B,14.0,1, B,8.833333333333334,6,A B
lý do,5,B,5.0,1, B,11.0,1, B
bố mẹ,5,B,9.0,1, B,6.833333333333333,6,A B
y học,5,B,15.0,1, B,11.142857142857142,7, B
xe cộ,5,B,16.0,1, B,10.625,8,A B
khách,5,A,7.0,1, B,10.25,4,A B
hàng,4,A,2.0,1,A ,6.5,2, B
cháu,4,A,3.0,1,A ,6.333333333333333,3,A B
đoạn,4,A,3.0,1,A ,5.785714285714286,14,A B
trời,4,A,17.0,1, B,9.727272727272727,11,A B
bánh,4,A,3.0,1,A ,20.0,1, B
lịch,4,A,10.0,1, B,11.0,3, B
mảng,4,A,3.0,1,A ,5.785714285714286,14,A B
ruột,4,A,7.0,1, B,7.0,2, B
quần,4,A,10.0,1, B,9.222222222222221,18,A B
mạch,4,A,15.0,1, B,11.0,3, B
thần,4,A,8.0,1, B,10.0,2, B
biên,4,A,4.0,1,A ,3.0,1,A 
bên,3,A,4.0,1, B,14.181818181818182,11,A B
nơi,3,A,10.0,1, B,12.533333333333333,15, B
con,3,A,6.0,1, B,7.333333333333333,6,A B
con,3,A,6.0,1, B,7.333333333333333,6,A B
câu,3,A,7.0,1, B,12.38888888888889,18,A B
hạt,3,A,7.0,1, B,8.0,5,A B
vật,3,A,13.0,1, B,5.25,4,A B
lụt,3,A,14.0,1, B,12.666666666666666,3, B
nắp,3,A,9.0,1, B,6.0,4,A B
của,3,A,3.0,1,A ,10.818181818181818,22, B
mẩu,3,A,7.0,1, B,8.0,5,A B
lễ,2,A,3.0,1,A ,10.571428571428571,14, B
áo,2,A,13.0,1, B,6.25,24,A B
độ,2,A,9.0,1, B,7.8,10,A B
