truyền hình,11,B,7.0,1, B,24.6,5, B
công trình,10,B,14.0,1, B,8.484375,64,A B
thành công,10,B,6.0,1, B,11.25,4, B
môi trường,10,B,4.0,1,A ,10.0,4, B
trạng thái,10,B,10.0,1, B,10.0,1, B
thử nghiệm,10,B,13.0,1, B,13.6,5, B
hàng không,10,B,8.0,1, B,7.0,1, B
trang phục,10,B,9.0,1, B,10.75,4, B
quá trình,9,B,8.0,1, B,20.0,2, B
tính toán,9,B,13.0,1, B,8.0,6,A B
giải pháp,9,B,9.0,1, B,7.0,1, B
không khí,9,B,3.0,1,A ,8.333333333333334,3, B
sự nghiệp,9,B,9.0,1, B,7.0,1, B
trình bày,9,B,8.0,1, B,8.4,5, B
phát biểu,9,B,10.0,1, B,8.0,2, B
cải thiện,9,B,10.0,1, B,9.4,5, B
phân biệt,9,B,8.0,1, B,11.666666666666666,3, B
quy trình,9,B,8.0,1, B,10.25,4, B
công viên,9,B,10.0,1, B,14.0,2, B
hành lang,9,B,7.0,1, B,9.3,10, B
thiết kế,8,B,10.0,1, B,11.0,1, B
nhân dân,8,B,4.0,1,A ,14.0,3, B
lãnh đạo,8,B,4.0,1, B,11.522727272727273,44,A B
khán giả,8,B,12.0,1, B,12.846153846153847,13, B
cảm giác,8,B,7.0,1, B,3.0,1,A 
góp phần,8,B,6.0,1, B,7.0,1, B
quân đội,8,B,4.0,1, B,8.75,4, B
trình độ,8,B,9.0,1, B,7.8,10,A B
liên kết,8,B,16.0,1, B,7.5,2,A B
kinh phí,8,B,18.0,1, B,9.0,3, B
chất độc,8,B,4.0,1,A ,11.666666666666666,3,A B
sức mạnh,8,B,10.0,1, B,7.0,2,A B
vật chất,8,B,8.0,1, B,5.4,5,A B
xuất bản,8,B,17.0,1, B,13.5,4, B
mỹ thuật,8,B,14.0,1, B,6.333333333333333,3,A B
áp dụng,7,B,7.0,1, B,9.0,1, B
ổn định,7,B,11.0,1, B,7.0,1, B
văn bản,7,B,4.0,1,A ,10.75,4,A B
cổ phần,7,B,10.0,1, B,6.0,1, B
nổi bật,7,B,6.0,1, B,8.0,2, B
trị giá,7,B,6.0,1, B,12.11111111111111,9, B
bài hát,7,B,7.0,1, B,10.45,20,A B
thái độ,7,B,6.0,1, B,8.0,2, B
tin học,7,B,12.0,1, B,10.5,2, B
cảm xúc,7,B,6.0,1, B,9.333333333333334,9, B
củng cố,7,B,4.0,1,A ,5.0,1, B
xã hội,6,B,12.0,1, B,10.75,4, B
yếu tố,6,B,7.0,1, B,10.666666666666666,3,A B
tố cáo,6,B,8.0,1, B,11.363636363636363,11,A B
kỹ sư,5,B,4.0,1, B,11.076923076923077,13, B
vitamin,7,A,13.0,1, B,24.5,2, B
chuyển,6,A,6.0,1, B,10.172413793103448,29,A B
trang,5,A,2.0,1,A ,12.0,9, B
thanh,5,A,3.0,1,A ,5.785714285714286,14,A B
khách,5,A,7.0,1, B,10.25,4,A B
phóng,5,A,6.0,1, B,8.333333333333334,3, B
album,5,A,21.0,1, B,17.0,1, B
giếng,5,A,5.0,1, B,9.0,5, B
điểm,4,A,9.0,1, B,7.8,10,A B
nhóm,4,A,5.0,1, B,8.851851851851851,27,A B
trời,4,A,17.0,1, B,9.727272727272727,11,A B
kiếm,4,A,8.0,1, B,8.571428571428571,7,A B
biên,4,A,4.0,1,A ,3.0,1,A 
quân,4,A,12.0,1, B,8.125,8,A B
giấy,4,A,7.0,1, B,9.13953488372093,43,A B
biến,4,A,5.0,1, B,11.0,2, B
thần,4,A,8.0,1, B,10.0,2, B
lịch,4,A,10.0,1, B,11.0,3, B
bánh,4,A,3.0,1,A ,20.0,1, B
ruột,4,A,7.0,1, B,7.0,2, B
đích,4,A,6.0,1, B,7.0,1, B
trộm,4,A,7.0,1, B,7.0,1, B
điệu,4,A,6.0,1, B,11.25,8,A B
bên,3,A,4.0,1, B,14.181818181818182,11,A B
chị,3,A,3.0,1,A ,7.666666666666667,3,A B
dẫn,3,A,14.0,1, B,9.0,1, B
câu,3,A,7.0,1, B,12.38888888888889,18,A B
gửi,3,A,7.0,1, B,6.0,1, B
ống,3,A,3.0,1,A ,7.0,1, B
nối,3,A,16.0,1, B,7.5,2,A B
hơi,3,A,6.0,1, B,7.0,2, B
vật,3,A,13.0,1, B,5.25,4,A B
hạt,3,A,7.0,1, B,8.0,5,A B
gốc,3,A,5.0,1, B,8.851851851851851,27,A B
tức,3,A,7.0,1, B,12.333333333333334,9, B
bia,3,A,3.0,1,A ,9.666666666666666,6, B
đâm,3,A,9.0,1, B,6.0,1, B
rửa,3,A,10.0,1, B,6.0,4,A B
ôtô,3,A,10.0,1, B,9.709677419354838,31,A B
đắp,3,A,18.0,1, B,7.0588235294117645,17,A B
rắn,3,A,21.0,1, B,6.5,6, B
lắc,3,A,15.0,1, B,8.0,2, B
ngữ,3,A,7.0,1, B,14.227272727272727,22, B
số,2,A,8.0,1, B,9.75,4, B
an,2,A,2.0,1,A ,8.666666666666666,3, B
bé,2,A,3.0,1,A ,14.0,9, B
da,2,A,9.0,1, B,8.153846153846153,26,A B
lễ,2,A,3.0,1,A ,10.571428571428571,14, B
sĩ,2,A,11.0,1, B,12.90625,32,A B
nổ,2,A,5.0,1,A ,10.428571428571429,7,A B
