door,4,A,14.0,1, B,9.666666666666666,12, B
girl,4,A,5.0,1,A ,6.884615384615385,26,A B
help,4,A,8.0,1,A ,7.333333333333333,12,A 
death,5,A,6.0,1,A ,9.2,5,A B
change,6,A,9.0,1,A ,9.344827586206897,29,A B
hours,5,A,8.0,1, B,5.0,1,A 
human,5,A,7.0,1,A ,10.857142857142858,7,A B
answer,6,A,9.0,1,A ,8.0,2,A 
fishing,7,A,12.0,1, B,7.0,2,A 
justice,7,A,13.0,2,A B,6.5,2,A 
business,8,A,10.0,1,A ,8.818181818181818,11,A 
common,6,A,5.0,1,A ,12.5,2, B
map,3,A,14.0,1,A ,8.285714285714286,7,A B
green,5,A,14.0,1, B,9.9,10,A B
board,5,A,9.0,1,A ,12.88888888888889,9,A B
clothes,7,A,8.0,1,A ,8.0,1,A 
frequency,9,A,4.0,1,A ,11.142857142857142,7,A B
memory,6,A,14.0,1,A ,11.0,5,A B
event,5,A,20.0,1, B,8.2,10,A B
hall,4,A,8.0,1,A ,9.0,1,A 
knowledge,9,A,20.0,1, B,8.526315789473685,19,A B
attention,9,A,21.0,1, B,7.5,6,A 
buy,3,A,8.0,1,A ,8.5,2,A B
cat,3,A,6.0,1,A ,9.0,2,A B
fish,4,A,17.0,1, B,11.076923076923077,13,A B
die,3,A,4.0,1,A ,8.5,4,A 
ii,2,A,5.0,1,A ,5.5,2,A 
crowd,5,A,9.0,1,A ,5.0,7,A 
escape,6,A,11.0,1, B,6.8,5,A 
magic,5,A,15.0,1,A ,6.8,5,A B
chief,5,A,6.0,1,A ,10.3,10,A B
constant,8,A,8.0,1,A ,9.0,1,A 
contact,7,A,11.0,1,A ,8.0,3,A B
league,6,A,11.0,1,A ,11.666666666666666,9,A B
circuit,7,A,16.0,1, B,10.470588235294118,17,A B
addition,8,A,9.0,1,A ,9.0,5,A 
courtyard,9,A,4.0,1,A ,7.333333333333333,6,A B
language,8,A,13.0,1,A ,11.9375,16,A B
action,6,A,3.0,1,A ,9.212121212121213,33,A B
existence,9,A,5.0,1,A ,9.090909090909092,11,A 
access,6,A,5.0,1,A ,4.0,1,A 
message,7,A,13.0,1,A ,8.11111111111111,9,A B
length,6,A,14.666666666666666,3,A B,8.8,5,A 
impression,10,A,4.0,1,A ,8.25,4,A B
literature,10,A,7.0,1,A ,18.0,1, B
fat,3,A,5.0,1,A ,10.0,6,A B
manner,6,A,8.0,1,A ,6.222222222222222,9,A B
machine,7,A,6.0,1,A ,9.333333333333334,42,A B
month,5,A,10.0,1, B,18.166666666666668,6,A B
burst,5,A,17.0,1, B,10.5,2,A 
horse,5,A,6.0,1,A ,7.862068965517241,29,A B
imagination,11,A,10.0,1,A ,9.0,5,A B
crew,4,A,4.0,1,A ,10.5,2,A B
lack,4,A,4.0,1,A ,9.333333333333334,6,A B
location,8,A,6.0,1,A ,6.1923076923076925,26,A B
cook,4,A,13.0,1, B,6.833333333333333,6,A B
function,8,A,20.0,1, B,12.818181818181818,11,A B
ability,7,A,7.0,1,A ,11.76923076923077,13,A B
bike,4,A,12.0,1, B,8.5,2,A B
bomb,4,A,11.5,2,A B,11.137931034482758,29,A B
era,3,A,10.0,1, B,8.666666666666666,3,A B
interval,8,A,7.0,1,A ,9.3,20,A B
address,7,A,4.0,1,A ,5.5,2,A 
acquisition,11,A,9.0,1,A ,10.083333333333334,12,A 
breaking,8,A,17.0,1, B,6.75,4,A 
apple,5,A,7.5,2,A B,10.666666666666666,3, B
assistant,9,A,6.0,1,A ,9.518518518518519,27,A B
cleaning,8,A,11.0,1,A ,10.166666666666666,12,A B
consumption,11,A,13.0,1, B,7.0,4,A 
exercise,8,A,6.0,1,A ,11.5625,16,A B
joy,3,A,7.0,1,A ,9.75,4,A 
crime,5,A,13.0,1,A ,9.052631578947368,19,A B
lever,5,A,3.0,1,A ,7.866666666666666,15,A B
execution,9,A,18.0,1, B,10.0,5,A 
housing,7,A,9.0,1,A ,8.533333333333333,15,A B
disease,7,A,7.0,1,A ,13.307692307692308,39,A B
ink,3,A,6.0,1,A ,10.6,5, B
mood,4,A,7.0,1,A ,6.5,4,A B
motive,6,A,20.0,1, B,10.666666666666666,6,A B
analysis,8,A,13.0,1,A ,12.857142857142858,7,A B
covering,8,A,13.0,1, B,6.458333333333333,24,A B
demand,6,A,7.0,1,A ,8.25,8,A B
accord,6,A,7.0,1,A ,10.714285714285714,7,A B
accuracy,8,A,7.0,1,A ,8.5,2,A 
grasp,5,A,13.0,1,A ,5.0,1,A 
mixture,7,A,9.0,1,A ,9.625,16,A B
bishop,6,A,6.0,1,A ,8.11111111111111,9,A B
cheese,6,A,8.0,2,A B,9.576923076923077,26,A B
female,6,A,6.0,1,A ,5.75,4,A B
actor,5,A,9.0,1,A ,8.31578947368421,19,A B
chart,5,A,19.0,1, B,8.88888888888889,9,A B
holder,6,A,13.0,1, B,8.2,5,A B
lawyer,6,A,12.0,1,A ,11.272727272727273,11,A B
brass,5,A,16.0,1, B,10.0,10,A B
diamond,7,A,5.0,1,A ,3.0,1,A 
equivalent,10,A,9.0,1,A ,10.5,2,A 
angel,5,A,14.0,1, B,10.0,5,A B
dish,4,A,8.5,2,A ,8.6,10,A B
document,8,A,7.0,1,A ,8.95,20,A B
gain,4,A,18.0,1, B,9.0,1,A 
