small indefinite amount,23,B,18.0,1, B,5.607142857142857,28,A 
saturated fatty acid,20,B,9.0,1, B,11.222222222222221,9, B
cut of veal,11,B,3.0,1,A ,5.0,1,A 
motion-picture photography,26,B,11.0,1,A ,6.5,2,A 
staphylococcal infection,24,B,9.0,1,A ,6.5,2,A 
musical organization,20,B,12.0,1,A ,6.3076923076923075,13,A B
saurischian dinosaur,20,B,8.0,1,A ,8.0,2,A 
business enterprise,19,B,8.0,1,A ,10.666666666666666,18,A B
computer peripheral,19,B,19.0,1, B,11.333333333333334,3,A B
luggage compartment,19,B,11.0,1,A ,4.0,1,A 
hostile expedition,18,B,8.0,1,A ,7.0,1,A 
magnitude relation,18,B,8.0,1,A ,6.0,4,A 
mental institution,18,B,8.0,1,A ,6.0,1,A 
physical condition,18,B,9.0,1,A ,10.11320754716981,53,A B
ultraviolet source,18,B,20.0,1, B,17.0,1, B
organic structure,17,B,13.0,1, B,8.333333333333334,3, B
weather condition,17,B,21.0,1, B,8.727272727272727,11,A B
animal scientist,16,B,9.0,1,A ,12.25,8,A 
danaid butterfly,16,B,9.0,1,A ,7.0,1,A 
volatile storage,16,B,6.0,1,A ,19.0,1, B
health facility,15,B,8.0,1,A ,7.0,2,A 
social movement,15,B,11.0,1, B,12.833333333333334,12,A B
source language,15,B,8.0,1,A ,21.5,2, B
culture medium,14,B,4.0,1,A ,4.0,1,A 
sense modality,14,B,5.0,1,A ,6.6,5,A 
sleep disorder,14,B,8.0,1,A ,12.0,4,A B
essential oil,13,B,3.0,1,A ,10.0,9,A B
ocean current,13,B,7.0,1,A ,12.0,5, B
social system,13,B,6.0,1,A ,10.571428571428571,7,A B
irish potato,12,B,13.666666666666666,3,A B,11.2,5, B
small person,12,B,6.0,1,A ,6.125,8,A B
speech sound,12,B,12.0,1, B,8.166666666666666,6,A B
almond tree,11,B,9.0,1, B,13.5,6,A B
edible bean,11,B,6.0,1,A ,6.666666666666667,3,A B
human being,11,B,7.0,1,A ,10.857142857142858,7,A B
medical man,11,B,18.0,1, B,9.25,4,A B
real number,11,B,13.0,1, B,14.333333333333334,3, B
truth drug,10,B,21.0,1, B,10.5,2,A 
cast iron,9,B,4.0,1,A ,8.5,2, B
folk song,9,B,6.5,2,A B,4.5,2,A 
sex organ,9,B,5.0,1,A ,19.2,5,A B
sheep dog,9,B,10.0,1, B,11.727272727272727,11,A B
self-protection,15,A,10.0,1,A ,10.0,1, B
fleur-de-lis,12,A,15.0,1, B,11.0,11, B
right-winger,12,A,12.0,1,A ,7.0,3,A 
antineoplastic,14,A,13.0,1, B,13.636363636363637,11,A B
submissiveness,14,A,9.0,1,A ,12.0,3,A 
avitaminosis,12,A,12.0,1,A ,7.8,5,A 
thoroughfare,12,A,4.0,1,A ,7.0,4,A B
tracheophyte,12,A,5.0,1,A ,9.818181818181818,22,A B
adjudicator,11,A,6.0,1,A ,6.5,2,A 
cerebration,11,A,22.0,1, B,12.357142857142858,14,A B
chiropteran,11,A,9.0,1,A ,11.0,2, B
convergence,11,A,9.0,1,A ,7.0,1,A 
declination,11,A,9.0,1,A ,6.666666666666667,3,A 
itemization,11,A,12.0,1,A ,9.0,1,A 
latticework,11,A,9.0,1,A ,7.0,1,A 
tettigoniid,11,A,11.0,1,A ,9.0,2,A B
accountant,10,A,14.0,1,A ,14.333333333333334,6,A B
celebrater,10,A,6.0,1,A ,7.0,1,A 
concoction,10,A,9.0,1,A ,6.0,7,A 
crustacean,10,A,9.0,1,A ,13.25,8,A B
cushioning,10,A,8.0,1,A ,6.0,4,A 
inspection,10,A,11.0,1,A ,5.0,1,A 
investment,10,A,7.0,1,A ,13.333333333333334,3,A B
chicanery,9,A,9.0,1,A ,6.5,2,A 
diaphragm,9,A,16.0,1, B,4.0,1,A 
luckiness,9,A,7.0,1,A ,9.0,2,A 
underside,9,A,4.0,1,A ,5.4,5,A 
davallia,8,A,4.0,1,A ,17.0,2, B
employer,8,A,6.0,1,A ,7.2,5,A B
grooming,8,A,8.0,1,A ,11.11111111111111,9,A B
hurrying,8,A,6.0,1,A ,9.333333333333334,3,A 
inducing,8,A,7.0,1,A ,10.0,1,A 
motorcar,8,A,12.0,1, B,7.967741935483871,31,A B
multiple,8,A,7.0,1,A ,10.25,4,A B
quotient,8,A,5.0,1,A ,10.0,1,A 
schedule,8,A,4.0,1,A ,4.0,1,A 
scissure,8,A,7.0,1,A ,5.666666666666667,9,A B
artisan,7,A,13.0,1, B,9.0,33,A B
clothes,7,A,8.0,1,A ,8.0,1,A 
naivety,7,A,7.0,1,A ,11.333333333333334,3,A 
seafowl,7,A,11.0,1, B,14.125,8,A B
skating,7,A,5.0,1,A ,12.0,4,A B
termite,7,A,6.0,1,A ,22.5,6, B
trumpet,7,A,5.0,1,A ,7.0,1,A 
asking,6,A,9.0,1, B,7.636363636363637,11,A B
burner,6,A,9.0,1,A ,9.333333333333334,3,A B
coryza,6,A,12.0,1,A ,16.0,1, B
coward,6,A,6.0,1,A ,6.428571428571429,7,A B
dancer,6,A,9.0,1,A ,10.454545454545455,11,A B
demand,6,A,7.0,1,A ,8.25,8,A B
ethics,6,A,10.0,1,A ,9.333333333333334,3,A B
hickey,6,A,4.0,1,A ,6.5,2,A 
humour,6,A,7.0,1,A ,6.5,4,A B
record,6,A,8.0,1,A ,8.666666666666666,6,A B
bovid,5,A,8.0,1,A ,8.0,10,A B
girth,5,A,13.0,1,A ,6.0,1,A 
sound,5,A,13.0,1, B,6.0,4,A 
alga,4,A,10.0,1,A ,10.272727272727273,11,A B
