head,4,A,16.0,1, B,9.0,1, B
bill,4,A,13.0,1, B,11.8,5, B
lot,3,A,23.0,1, B,5.5,2,A 
lost,4,A,6.0,1,A ,0,0, 
company,7,A,11.0,1,A ,12.722222222222221,36,A B
job,3,A,8.0,1,A ,8.266666666666667,15,A 
books,5,A,11.0,1,A ,8.818181818181818,22,A B
empty,5,A,9.0,1,A ,0,0, 
constant,8,A,8.0,1,A ,9.0,1,A 
lake,4,A,11.0,1, B,5.75,8,A B
absolute,8,A,11.0,1,A ,0,0, 
daughter,8,A,15.0,1, B,16.0,1, B
caterpillar,11,A,5.0,1,A ,11.421052631578947,19,A B
count,5,A,6.0,1,A ,10.125,8,A B
maximum,7,A,15.5,2,A B,0,0, 
lift,4,A,3.0,1,A ,0,0, 
architect,9,A,7.0,1,A ,11.0,2,A B
bet,3,A,6.0,1,A ,3.6666666666666665,3,A 
galleys,7,A,6.0,1,A ,0,0, 
grass,5,A,15.0,1, B,9.4,55,A B
lid,3,A,14.0,1, B,0,0, 
assets,6,A,10.0,1,A ,8.904761904761905,21,A B
flame,5,A,10.0,1,A ,6.0,3,A 
foreigners,10,A,8.0,1,A ,5.6,5,A B
inch,4,A,10.0,1, B,0,0, 
highway,7,A,4.0,1,A ,10.166666666666666,6,A B
indicator,9,A,4.0,1,A ,12.333333333333334,6, B
loads,5,A,23.0,1, B,0,0, 
ale,3,A,4.0,1,A ,6.5,6,A B
hull,4,A,4.0,1,A ,5.0,1,A 
