shareholders,12,A,8.0,1,A ,19.0,1, B
newspapers,10,A,5.0,1,A ,8.5,4,A B
connection,10,A,8.0,1,A ,9.333333333333334,9,A 
newsletter,10,A,6.0,1,A ,12.0,1, B
cleveland,9,A,0,0, ,0,0, 
factories,9,A,5.0,1,A ,10.363636363636363,11,A B
expenses,8,A,4.0,1,A ,14.75,8, B
senators,8,A,10.0,1,A ,12.0,1, B
alliance,8,A,9.0,1,A ,0,0, 
figures,7,A,12.0,1,A ,0,0, 
credits,7,A,9.0,2,A ,0,0, 
testing,7,A,10.0,1,A ,0,0, 
feeling,7,A,5.0,1,A ,7.487804878048781,41,A 
massage,7,A,9.0,1,A ,10.857142857142858,7,A B
street,6,A,12.0,1,A ,7.25,8,A B
london,6,A,0,0, ,0,0, 
losers,6,A,10.0,1,A ,7.0,1, B
judge,5,A,9.5,2,A ,7.5,12,A B
owner,5,A,11.0,1,A ,8.8,10,A B
words,5,A,6.0,1,A ,0,0, 
surge,5,A,4.0,1,A ,8.5,2,A B
scott,5,A,0,0, ,0,0, 
storm,5,A,21.0,1, B,9.375,8,A B
abuse,5,A,12.0,1,A ,10.0,4,A B
third,5,A,14.0,1, B,0,0, 
mills,5,A,0,0, ,0,0, 
drop,4,A,6.0,1,A ,7.5,2,A 
jack,4,A,23.0,1, B,0,0, 
acts,4,A,0,0, ,0,0, 
may,3,A,22.0,1, B,0,0, 
