filename,letters_words,blw,lable,predict
traindata,traindata,traindata,traindata,traindata
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (3).txt,6.85601865345,11.2820512821,3,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (231).txt,6.97203080665,9.36555891239,3,3.0
data/ppVietnamese_by_catalog/Easy/jk/jk (25).txt,5.50390625,15.6462585034,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (273).txt,5.04205607477,16.9014084507,1,1.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (17).txt,6.01204819277,12.7659574468,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (912).txt,6.13688212928,9.16666666667,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (552).txt,6.25365853659,14.9425287356,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (574).txt,5.95833333333,8.51063829787,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (456).txt,7.60869565217,12.7272727273,2,3.0
data/ppVietnamese_by_catalog/Normal/GDu_TT_/GDu_TT_ (580).txt,5.64253393665,12.5,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (110).txt,5.42356687898,16.6666666667,1,2.0
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (379).txt,6.0,16.6666666667,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (530).txt,6.53703703704,12.5,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (250).txt,5.93089430894,17.4863387978,2,2.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (20).txt,5.63275434243,13.475177305,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (656).txt,5.88218390805,15.2249134948,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (190).txt,5.45521023766,9.67741935484,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (51).txt,4.98226950355,23.1578947368,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (116).txt,6.77130044843,15.1515151515,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (675).txt,6.98507462687,12.962962963,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (240).txt,5.89393939394,10.6060606061,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (208).txt,5.01459854015,11.4754098361,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (520).txt,6.48538011696,12.1212121212,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (1).txt,6.07590759076,17.4311926606,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1061).txt,6.49420849421,14.2857142857,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (117).txt,7.66030069078,13.0434782609,3,3.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (221).txt,4.73076923077,13.7254901961,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (853).txt,7.32614807873,11.1683848797,3,3.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (386).txt,6.02153110048,14.8648648649,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (12).txt,4.89436619718,9.375,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (167).txt,5.58528428094,15.2671755725,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (62).txt,5.22357723577,10.8695652174,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (355).txt,6.23604060914,15.5080213904,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (535).txt,6.07412790698,14.4680851064,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (834).txt,6.0619047619,19.7916666667,2,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (403).txt,6.33098591549,18.4615384615,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (3).txt,5.93286219081,11.5384615385,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (820).txt,5.79310344828,7.8125,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (562).txt,5.96763202726,13.7254901961,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (184).txt,6.51861042184,16.2303664921,2,2.0
data/ppVietnamese_by_catalog/Normal/BDS_TN_/BDS_TN_ (239).txt,5.71651090343,15.3846153846,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (409).txt,7.31884057971,13.1313131313,2,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (199).txt,7.06315789474,11.8421052632,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (152).txt,5.86264441592,10.4651162791,1,2.0
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (216).txt,6.00320512821,22.2222222222,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (547).txt,7.40210896309,10.6128550075,3,3.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (717).txt,5.06593406593,14.6341463415,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (213).txt,6.22155688623,13.8888888889,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (725).txt,7.09117647059,10.2073365231,3,3.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (636).txt,5.975,20.2380952381,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (492).txt,6.84792626728,19.7916666667,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-11/vm-11 (32).txt,5.35915492958,14.4927536232,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (349).txt,6.8183908046,11.4877589454,3,2.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (273).txt,5.78820375335,14.6953405018,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (753).txt,6.42567567568,14.5348837209,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (65).txt,6.076,10.4761904762,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (304).txt,5.93821510297,15.9509202454,1,2.0
data/ppVietnamese_by_catalog/Normal/KGS_NLD_/KGS_NLD_ (134).txt,6.17956656347,17.4311926606,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (39).txt,5.92813141684,13.2530120482,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (538).txt,6.32671081678,14.6666666667,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-4/vm-4 (26).txt,5.2625,6.49350649351,1,1.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (8).txt,5.90070921986,14.0845070423,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (111).txt,5.49404761905,19.014084507,1,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (119).txt,6.19305019305,16.5137614679,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (50).txt,5.98611111111,17.9487179487,1,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (380).txt,5.75417661098,10.5691056911,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (491).txt,6.43046357616,14.6153846154,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (236).txt,6.70419426049,11.620294599,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (527).txt,6.03977272727,7.69230769231,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (685).txt,5.76470588235,8.69565217391,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (202).txt,5.16694490818,19.298245614,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (53).txt,5.46280991736,18.1818181818,1,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (78).txt,5.40526315789,11.1111111111,1,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (11).txt,6.13333333333,16.9642857143,2,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (186).txt,5.92326139089,11.1111111111,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (69).txt,5.65336658354,11.9402985075,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (484).txt,5.84460694698,14.2105263158,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (77).txt,6.4776119403,13.8888888889,1,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (774).txt,6.34101382488,9.78260869565,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (278).txt,8.02173913043,16.2962962963,3,3.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (329).txt,6.13157894737,12.7272727273,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (393).txt,6.75949367089,13.1578947368,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (236).txt,7.27376425856,14.4329896907,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1045).txt,7.14285714286,16.6666666667,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (8).txt,6.37888198758,4.4776119403,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (120).txt,5.31734317343,20.1834862385,1,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (825).txt,7.77337012763,11.5987460815,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (179).txt,7.67460007803,11.1788617886,3,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (342).txt,5.80200729927,11.4722753346,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (371).txt,6.35483870968,16.2162162162,1,2.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (101).txt,4.81770833333,14.2857142857,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (125).txt,5.7868338558,14.1791044776,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (54).txt,5.41102756892,16.935483871,1,2.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (60).txt,5.52747252747,13.9130434783,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (816).txt,5.98976109215,15.3846153846,2,2.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (191).txt,6.19421487603,9.61538461538,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (102).txt,5.71428571429,13.4328358209,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (404).txt,5.62162162162,14.9253731343,1,2.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (28).txt,5.8431372549,7.14285714286,1,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (531).txt,5.98458574181,16.6666666667,2,2.0
data/ppVietnamese_by_catalog/Normal/DL_TN_/DL_TN_ (309).txt,6.67605633803,13.0434782609,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (294).txt,5.43965517241,13.6531365314,1,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (152).txt,6.18636363636,12.9032258065,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (920).txt,6.56859410431,10.1419878296,3,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (227).txt,6.1921182266,14.4680851064,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (290).txt,5.72743055556,17.5879396985,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (85).txt,6.29577464789,15.2777777778,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (439).txt,6.79596412556,13.1067961165,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (646).txt,6.28246753247,17.7966101695,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (668).txt,6.82857142857,13.6363636364,1,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (412).txt,7.47234042553,12.5,2,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (175).txt,6.94444444444,9.09090909091,2,3.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (632).txt,6.72820512821,24.4186046512,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (614).txt,6.16037735849,7.14285714286,1,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (165).txt,5.2723880597,16.2601626016,1,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (312).txt,6.15503875969,10.8108108108,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (738).txt,6.12839059675,14.1700404858,2,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (211).txt,6.90410958904,12.1212121212,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (306).txt,5.76450511945,10.2564102564,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (127).txt,6.4427244582,12.2857142857,3,2.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (27).txt,5.44680851064,18.6440677966,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (81).txt,14.4862745098,22.2891566265,3,3.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (312).txt,7.24031007752,14.7058823529,2,2.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (149).txt,5.35593220339,28.0701754386,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (700).txt,7.47297297297,14.2857142857,2,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (421).txt,7.28262642741,13.0057803468,3,3.0
data/ppVietnamese_by_catalog/Difficult/l/l (77).txt,6.85030461271,12.1338912134,3,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (206).txt,7.66666666667,11.2970711297,3,3.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (598).txt,7.05970149254,13.5135135135,1,2.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (105).txt,6.36994219653,9.23076923077,2,2.0
data/ppVietnamese_by_catalog/Difficult/l/l (149).txt,7.19401940194,11.43847487,3,3.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (54).txt,6.51807228916,11.214953271,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (232).txt,5.59098228663,18.1818181818,1,2.0
data/ppVietnamese_by_catalog/Easy/t/t (34).txt,5.71670702179,12.8834355828,1,2.0
data/ppVietnamese_by_catalog/Normal/DL_TN_/DL_TN_ (312).txt,6.05357142857,10.8108108108,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (278).txt,5.06818181818,17.5879396985,1,1.0
data/ppVietnamese_by_catalog/Difficult/tl/tl (114).txt,7.2811150373,10.5,3,3.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (155).txt,5.64773944718,12.3505976096,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (588).txt,6.3186440678,19.6202531646,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (584).txt,7.0625,16.6666666667,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (162).txt,5.90338164251,11.961722488,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (641).txt,7.0,19.1489361702,1,2.0
data/ppVietnamese_by_catalog/Difficult/tl/tl (139).txt,6.93076834466,10.7692307692,3,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (298).txt,5.81632653061,9.52380952381,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (349).txt,6.20987654321,8.82352941176,1,2.0
