filename,words_sentences,blw,lable,predict
traindata,traindata,traindata,traindata,traindata
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (3).txt,30.3628318584,11.2820512821,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (231).txt,27.4111111111,9.36555891239,3,3.0
data/ppVietnamese_by_catalog/Easy/jk/jk (25).txt,15.0588235294,15.6462585034,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (273).txt,13.375,16.9014084507,1,1.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (17).txt,17.3720930233,12.7659574468,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (912).txt,13.8421052632,9.16666666667,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (552).txt,15.7692307692,14.9425287356,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (574).txt,16.0,8.51063829787,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (456).txt,8.21428571429,12.7272727273,2,1.0
data/ppVietnamese_by_catalog/Normal/GDu_TT_/GDu_TT_ (580).txt,20.0909090909,12.5,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (110).txt,17.4444444444,16.6666666667,1,1.0
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (379).txt,19.7142857143,16.6666666667,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (530).txt,21.6,12.5,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (250).txt,25.8947368421,17.4863387978,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (20).txt,21.2105263158,13.475177305,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (656).txt,13.2151898734,15.2249134948,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (190).txt,12.7209302326,9.67741935484,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (51).txt,18.8,23.1578947368,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (116).txt,22.3,15.1515151515,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (675).txt,3.35,12.962962963,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (240).txt,14.6666666667,10.6060606061,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (208).txt,8.5625,11.4754098361,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (520).txt,11.4,12.1212121212,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (1).txt,12.625,17.4311926606,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1061).txt,21.5833333333,14.2857142857,2,1.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (117).txt,42.4310344828,13.0434782609,3,3.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (221).txt,9.75,13.7254901961,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (853).txt,32.8307692308,11.1683848797,3,3.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (386).txt,18.1739130435,14.8648648649,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (12).txt,17.75,9.375,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (167).txt,17.5882352941,15.2671755725,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (62).txt,9.84,10.8695652174,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (355).txt,20.7368421053,15.5080213904,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (535).txt,14.9565217391,14.4680851064,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (834).txt,21.0,19.7916666667,2,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (403).txt,14.2,18.4615384615,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (3).txt,17.1515151515,11.5384615385,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (820).txt,13.1818181818,7.8125,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (562).txt,13.9761904762,13.7254901961,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (184).txt,31.0,16.2303664921,2,2.0
data/ppVietnamese_by_catalog/Normal/BDS_TN_/BDS_TN_ (239).txt,22.9285714286,15.3846153846,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (409).txt,20.7,13.1313131313,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (199).txt,29.2307692308,11.8421052632,2,3.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (152).txt,24.34375,10.4651162791,1,1.0
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (216).txt,13.0,22.2222222222,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (547).txt,24.1101694915,10.6128550075,3,1.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (717).txt,18.2,14.6341463415,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (213).txt,20.875,13.8888888889,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (725).txt,52.7586206897,10.2073365231,3,3.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (636).txt,12.3076923077,20.2380952381,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (492).txt,21.7,19.7916666667,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-11/vm-11 (32).txt,11.8333333333,14.4927536232,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (349).txt,27.5316455696,11.4877589454,3,2.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (273).txt,20.7222222222,14.6953405018,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (753).txt,18.5,14.5348837209,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (65).txt,14.7058823529,10.4761904762,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (304).txt,23.0,15.9509202454,1,1.0
data/ppVietnamese_by_catalog/Normal/KGS_NLD_/KGS_NLD_ (134).txt,17.9444444444,17.4311926606,2,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (39).txt,22.1363636364,13.2530120482,2,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (538).txt,15.6206896552,14.6666666667,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-4/vm-4 (26).txt,14.5454545455,6.49350649351,1,1.0
data/ppVietnamese_by_catalog/Normal/HS_VNE_/HS_VNE_ (8).txt,14.1,14.0845070423,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (111).txt,21.0,19.014084507,1,1.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (119).txt,18.5,16.5137614679,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (50).txt,14.4,17.9487179487,1,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (380).txt,20.4390243902,10.5691056911,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (491).txt,23.2307692308,14.6153846154,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (236).txt,22.65,11.620294599,3,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (527).txt,19.5555555556,7.69230769231,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (685).txt,12.75,8.69565217391,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (202).txt,11.0925925926,19.298245614,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (53).txt,18.6153846154,18.1818181818,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (78).txt,17.2727272727,11.1111111111,1,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (11).txt,18.0,16.9642857143,2,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (186).txt,15.4444444444,11.1111111111,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (69).txt,16.7083333333,11.9402985075,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (484).txt,14.0256410256,14.2105263158,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (77).txt,16.75,13.8888888889,1,1.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (774).txt,27.125,9.78260869565,2,3.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (278).txt,41.4,16.2962962963,3,3.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (329).txt,22.8,12.7272727273,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (393).txt,24.6875,13.1578947368,2,1.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (236).txt,52.6,14.4329896907,3,3.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1045).txt,45.5,16.6666666667,2,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (8).txt,17.8888888889,4.4776119403,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (120).txt,12.9047619048,20.1834862385,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (825).txt,34.9277108434,11.5987460815,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (179).txt,38.8333333333,11.1788617886,3,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (342).txt,22.1414141414,11.4722753346,2,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (371).txt,12.4,16.2162162162,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-1/tn-1 (101).txt,9.14285714286,14.2857142857,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (125).txt,16.7894736842,14.1791044776,2,1.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (54).txt,17.347826087,16.935483871,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (60).txt,33.0909090909,13.9130434783,2,3.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (816).txt,24.4166666667,15.3846153846,2,1.0
data/ppVietnamese_by_catalog/Normal/TGT_TT_/TGT_TT_ (191).txt,34.5714285714,9.61538461538,2,3.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (102).txt,17.2941176471,13.4328358209,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (404).txt,13.875,14.9253731343,1,1.0
data/ppVietnamese_by_catalog/Easy/vm-3/vm-3 (28).txt,8.5,7.14285714286,1,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (531).txt,24.7142857143,16.6666666667,2,1.0
data/ppVietnamese_by_catalog/Normal/DL_TN_/DL_TN_ (309).txt,17.75,13.0434782609,2,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (294).txt,16.9166666667,13.6531365314,1,1.0
data/ppVietnamese_by_catalog/Normal/HV_VNE_/HV_VNE_ (152).txt,15.7142857143,12.9032258065,2,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (920).txt,26.7272727273,10.1419878296,3,3.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (227).txt,18.4545454545,14.4680851064,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (290).txt,15.1578947368,17.5879396985,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (85).txt,20.2857142857,15.2777777778,2,1.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (439).txt,20.2727272727,13.1067961165,2,1.0
