filename,words_sentences,letters_words,lable,predict
traindata,traindata,traindata,traindata,traindata
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (3).txt,30.3628318584,6.85601865345,3,3.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (231).txt,27.4111111111,6.97203080665,3,3.0
data/ppVietnamese_by_catalog/Easy/jk/jk (25).txt,15.0588235294,5.50390625,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (273).txt,13.375,5.04205607477,1,1.0
data/ppVietnamese_by_catalog/Normal/LS_VNE_/LS_VNE_ (17).txt,17.3720930233,6.01204819277,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (912).txt,13.8421052632,6.13688212928,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (552).txt,15.7692307692,6.25365853659,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (574).txt,16.0,5.95833333333,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (456).txt,8.21428571429,7.60869565217,2,2.0
data/ppVietnamese_by_catalog/Normal/GDu_TT_/GDu_TT_ (580).txt,20.0909090909,5.64253393665,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-7/vm-7 (110).txt,17.4444444444,5.42356687898,1,1.0
data/ppVietnamese_by_catalog/Normal/CK_TT_/CK_TT_ (379).txt,19.7142857143,6.0,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (530).txt,21.6,6.53703703704,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (250).txt,25.8947368421,5.93089430894,2,2.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (20).txt,21.2105263158,5.63275434243,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (656).txt,13.2151898734,5.88218390805,2,2.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (190).txt,12.7209302326,5.45521023766,1,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (51).txt,18.8,4.98226950355,2,1.0
data/ppVietnamese_by_catalog/Normal/MS_VNE_/MS_VNE_ (116).txt,22.3,6.77130044843,2,2.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (675).txt,3.35,6.98507462687,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (240).txt,14.6666666667,5.89393939394,2,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (208).txt,8.5625,5.01459854015,1,1.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (520).txt,11.4,6.48538011696,1,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (1).txt,12.625,6.07590759076,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_NLD_/SKDA_NLD_ (1061).txt,21.5833333333,6.49420849421,2,2.0
data/ppVietnamese_by_catalog/Difficult/ttnq/ttnq (117).txt,42.4310344828,7.66030069078,3,3.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (221).txt,9.75,4.73076923077,1,1.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (853).txt,32.8307692308,7.32614807873,3,3.0
data/ppVietnamese_by_catalog/Normal/GTTH_TT_/GTTH_TT_ (386).txt,18.1739130435,6.02153110048,2,2.0
data/ppVietnamese_by_catalog/Easy/vm-9/vm-9 (12).txt,17.75,4.89436619718,1,1.0
data/ppVietnamese_by_catalog/Easy/tn-2/tn-2 (167).txt,17.5882352941,5.58528428094,1,2.0
data/ppVietnamese_by_catalog/Easy/sgk/sgk (62).txt,9.84,5.22357723577,1,1.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (355).txt,20.7368421053,6.23604060914,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (535).txt,14.9565217391,6.07412790698,2,2.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (834).txt,21.0,6.0619047619,2,2.0
data/ppVietnamese_by_catalog/Normal/DH_VNE_/DH_VNE_ (403).txt,14.2,6.33098591549,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (3).txt,17.1515151515,5.93286219081,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (820).txt,13.1818181818,5.79310344828,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (562).txt,13.9761904762,5.96763202726,2,2.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (184).txt,31.0,6.51861042184,2,2.0
data/ppVietnamese_by_catalog/Normal/BDS_TN_/BDS_TN_ (239).txt,22.9285714286,5.71651090343,2,2.0
data/ppVietnamese_by_catalog/Normal/SKDA_VNE_/SKDA_VNE_ (409).txt,20.7,7.31884057971,2,3.0
data/ppVietnamese_by_catalog/Normal/CG_TH_/CG_TH_ (199).txt,29.2307692308,7.06315789474,2,3.0
data/ppVietnamese_by_catalog/Easy/tn-3/tn-3 (152).txt,24.34375,5.86264441592,1,2.0
data/ppVietnamese_by_catalog/Normal/LS_NLD_/LS_NLD_ (216).txt,13.0,6.00320512821,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (547).txt,24.1101694915,7.40210896309,3,3.0
data/ppVietnamese_by_catalog/Normal/LD_TN_/LD_TN_ (717).txt,18.2,5.06593406593,2,1.0
data/ppVietnamese_by_catalog/Normal/AN_VNE_/AN_VNE_ (213).txt,20.875,6.22155688623,2,2.0
data/ppVietnamese_by_catalog/Difficult/tcdcs/tcdcs (725).txt,52.7586206897,7.09117647059,3,3.0
