file,ratio,blw,allNoun
data/testDataVietnamese/pp/AN_VNE_ (242).txt,0.0,,CD | ai | album | anh | ao | ba | biết | bài hát | bài thơ | bán | bên | bóng | bông | bút | bạn | bản | bậc | bằng | bị | bờ | bởi | cao | chim | cho | cho đến | chung | chuyện | chân | chính | chưa | chạy | chặng | chết | chỉ | chị | chịu | chồng | chỗ | coi | con | càng | các | cái | câu | cây | còn | có | có nghĩa | cũng | cười | cạn | cạnh | cần | của | do | dài | dành | dân | dòng | dù | dưới | dần | dễ | dịp | dồn | dở | em | giành | giúp | giấy | giọng | giống | giới | giữ | giữa | gì | gói | gắn | gọn | gửi | hai | hay | hiểu | hoặc | hát | hãy | hè | hơn | hưng | hướng | hẳn | hết | họ | học | hỏi | hợp | khen | khi | khiến | khoảng | khác | khác nhau | khó | không | khúc | kia | lam | luôn | là | làm | làm gì | làng | lên | lòng | lúc | lũ | lạ | lại | lậu | lặp | lời | mang | may | miền | mong | muốn | mà | mãi | mình | mùa | mươi | mắt | mọi | mỗi | một | mới | mời | mở | mức | mừng | mỹ | ngay | nghe | nghĩ | nghề | ngoài | ngàn | ngày | người | người làm | người yêu | ngược lại | ngắn | ngừng | ngực | nhau | nhiều | nhà | như | như vậy | nhưng | nhạc | nhất | nhất là | nhầm | nhận | nhớ | những | niềm | nào | này | nên | nó | nói | năm | nắng | nếu | nổi | nữa | phú | phải | phải biết | qua | quen | quá | quê | quên | ra | riêng | rất | rằng | rồi | rộng | sai | sao | sau | sinh | sách | sẽ | sống | sợ | sức | sự | ta | theo | thi | thiện | thuộc | tháng | thì | thích | thôi | thư | thường | thấy | thật | thế | thứ | tim | tin | tiếng | tranh | tre | trong | trên | trông | trưa | trước | trẻ | trốn | trời | trừ | tuy | tuổi | tách | tìm thấy | tình | tính | tôi | tăng | tạo | tạo ra | tốn | tốt | tới | từ | từng | viết | và | vào | vì | vươn | vẫn | vậy | về | vốn | vội | với | xa | xem | xấu | xếp | yêu | đang | đi | điều | điệu | đàn | đào | đá | đáng | đây | đã | đêm | đó | đông | đúng | đĩa | đường | được | đạt | đất | đặt | đẹp | đến | đều | để | đọc | đừng | ấy | ở | 1247
data/testDataVietnamese/pp/AN_VNE_ (315).txt,0.0,,TP | ai | album | anh | ban | bao | biết | buồn | bài | bài hát | bạn | bản | bằng | bị | bộ | bởi | ca | cao | chiều | cho | chuyện | chào | chính | chưa | chất | chỉ | chọn | chốn | chứ | cuối | cuộc | càng | các | cách | cái | cát | câu | cãi | còn | có | cô | cùng | cúp | cũng | cả | cầm | cần | của | do | duy | dành | dân | dòng | dù | dũng | dịp | em | ghi | giúp | giọng | giới | giờ | giữ | giữa | gái | gì | gặp | gửi | hai | hay | hiền | hiểu | hát | hôm | hơi | hơn | hơn nữa | hướng | hết | hỏi | khen | khi | khiến | khác | khác nhau | không | khắc | kém | kêu | liệu | luôn | là | làm | làm gì | lâu | lên | lòng | lúc | lưng | lượng | lại | lấy | lần | lẫn | lắm | lớn | lời | mang | mong | muốn | mà | mãi | mình | mất | mắt | mọi | mỗi | một | mới | mời | mở | nay | ngay | nghe | nghiêng | nghĩ | nghề | ngoài | ngày | người | người làm | người yêu | ngừng | nhau | nhiều | như | như vậy | nhưng | nhạc | nhất | nhất là | nhầm | nhận | nhỏ | những | niềm | niềm vui | nào | này | nét | nên | nó | nói | năm | nơi | nước | nằm | nếu | nữ | nữa | phim | phút | phải | phần | qua | quay | quá | quán | quên | ra | riêng | rút | rất | rằng | sang | sao | sau | so | suốt | sâu | sắp | sẽ | sống | sự | ta | theo | thiếu | thoát | thêm | thì | thì phải | thích | thôi | thăm | thường | thảo | thấy | thật | thời | thứ | tin | trong | truyền | trên | trước | trẻ | tuổi | tên | tìm | tôi | tạo | tốt | tới | từ | từ đó | từng | tự | việc | vui | và | vào | vì | vì thế | vươn | vẫn | vậy | vậy mà | vẻ | về | vốn | với | xem | xin | yêu | ít | ông | đang | đi | điều | điểm | điện | đâu | đây | đã | đêm | đó | đóng | đùa | đúng | đưa | được | đầu | đặt | đẹp | đến | đều | để | đợt | đủ | ơi | ở | 1580
data/testDataVietnamese/pp/AN_VNE_ (428).txt,0.0,,CD | TP | a | ai | album | an | anh | bai | ban | bao | biên | biến | biết | buộc | bài | bài hát | bàn | báo | bé | băng | bơi | bước | bạn | bản | bật | bắc | bằng | bị | bỏ | bộ | bởi | ca | cai | cam | can | canh | cao | chi | chiếc | cho | cho đến | chung | chuyên | chuyện | chàng | chào | chân | chính | chúa | chúc | chưa | chất | chắc | chẳng | chặng | chỉ | chị | chịu | chọn | chờ | chứ | chữ | co | con | cua | cung | cuối | cuộc | các | cách | cái | cát | cân | câu | cây | còn | có | có điều | cô | công | cùng | cũng | cả | cần | cậu | cổ | của | cứ | cửa | da | dao | di | do | dành | dám | dân | dưới | dễ | dở | em | gia | già | giá | giáo | giúp | giơ | giường | giấc | giọng | giỏi | giới | giờ | giữ | giữa | gái | gây | gì | gần | gặp | gọi | gửi | hai | hay | hiền | hiểu | hiệu | hoa | hoá | hoặc | hát | hãy | hình | hơi | hơn | hưng | hương | hướng | hưởng | hả | hằng | hẳn | hẹn | họ | hỏi | hồng | khai | khi | khi nào | khiến | khoác | khuyên | khá | khác | khác nhau | khách | khó | không | kia | kiên | kiếm | kiểu | kém | kê | kể | kỹ | la | linh | liền | liệu | lo | long | luôn | là | làm | làng | lân | lên | lòng | lúc | lăng | lại | lấy | lần | lẫn | lắc | lắm | lễ | lớn | lời | lứa | lửa | ma | mai | may | mi | minh | mong | mua | muốn | muộn | mà | mãi | mê | mình | mô | môi | mơ | mất | mặc | mặt | mọi | mối | một | mới | mời | mở | mừng | nam | nay | ngay | nghe | nghi | nghĩ | nghỉ | ngoài | ngày | ngăn | ngươi | người | người yêu | ngắn | ngủ | nha | nhau | nhiều | nhà | nhân | nhé | nhìn | nhóm | như | như vậy | nhưng | nhạc | nhất | nhất là | nhỏ | nhờ | những | nào | này | nét | nên | nêu | nó | nói | năm | năng | nơi | nước | nắm | nằm | nếu | nỗi | nội | nữ | nữa | phim | phong | phía | phải | phần | qua | quá | quận | ra | riêng | ruột | răng | rất | rằng | rồi | rời | sai | sao | sau | so | song | suy | suốt | sáng | sông | súng | sơ | sơn | sư | sắp | sẽ | số | sống | sớm | sợ | sự | ta | thanh | theo | thi | thiên | thành | tháng | thêm | thì | thích | thôi | thư | thương | thường | thấy | thầm | thật | thế | thời | thứ | thử | tim | tin | tinh | tiêm | tiên | trai | trang | trao | tre | trinh | trong | trên | trông | trương | trước | trước đây | trắng | trẻ | trời | tuổi | tên | tìm | tình | tính | tóc | tôi | tư | tại | tối | tới | từ | từng | tự | u | uống | va | vi | viên | viết | việc | vui | và | vào | vân | vì | vì vậy | vô | vẫn | vậy | vậy mà | vắng | về | với | xa | xe | xin | xuống | xây | xưa | xấu | y | yêu | à | áo | ôm | đa | đang | đau | đem | đeo | đi | đinh | điên | điều | đo | đánh | đâu | đây | đã | đêm | đó | đóng | đô | đôi | đông | đúng | đưa | đường | được | đạo | đạt được | đấy | đặt | đẻ | đến | đều | để | định | đọc | đồ | độ | đợi | đủ | đứa | đừng | ơi | ơn | ạ | ấy | ở | 1893
data/testDataVietnamese/pp/LS_VNE_ (40).txt,0.0,,TP | anh | biết | buổi | bà | bên | bạn | bậc | bằng | bệnh | bị | bỏ | bộ | bởi | cho | chuyện | cháu | chính | chơi | chưa | chạy | chống | chồng | chớ | chữa | con | cuộc | các | cách | cái | câu | còn | có | cô | căng | cũng | cả | cần | của | cứ | do | dành | dạy | dẫn | em | giáo | giúp | giảm | giới | gì | gì mà | gần | hai | hay | hiểu | hiện | hoặc | hàng chục | hãy | hút | hơn | hết | họ | học | hỏi | hội | khi | khuyên | khó | không | kia | kiểu | kể | lan | là | làm | lây | lại | lấy | lần | lối | lớn | lời | lứa | mình | môn | mất | mắc | mặt | một | mới | nghìn | nghĩ | ngoài | nguồn | người | ngực | nhiều | nhiễm | nhà | nhìn | như | như vậy | nhưng | nhất | nhất là | những | niềm tin | nào | này | nên | nó | nói | năm | nếu | nổi | nữ | nữa | phương | phải | phần | qua | ra | rơi | rất | rằng | rồi | rộng | sau | song | suốt | sẽ | số | sống | sự | thai | theo | thiếu | thuê | thuốc | thành | tháng | thì | thì phải | thưa | thường | thấy | thế | thử | tiền | trong | trong khi | trong suốt | tránh | trên | trước | trước đây | trẻ | tuổi | tây | tìm | tôi | tại | tỉnh | tốt | từ | từ đó | từng | tự | uống | và | vào | vì | vú | vẫn | vậy | về | với | vợ | vừa | xa | xuống | yêu | yếu | ít | đang | đau | đen | đi | đoàn | đây | đã | đó | đôi | đúng | đưa | đường | được | đầu | đẩy | đến | để | đủ | ở | 641
data/testDataVietnamese/pp/sgk (338).txt,0.0,,cao | chảy | chất | có | gì | không | khắp | lan | là | màu | mùi | mọi | một | những | nước | phía | qua | ra | thấm | thấp | từ | và | vật | vị | xuống | được | 32
data/testDataVietnamese/pp/LS_VNE_ (80).txt,0.0,,TP | USD | anh | biến | biết | buổi | bà | bé | bông | bạn | bảo | bắc | bắn | bằng | bệnh | bị | bố | bức | cao | cha | cho | chung | chuyến | châu âu | chúng | chưa | chẳng | chết | chỉ | chọn | chỗ | chợ | chức | chừng | con | cong | các | cách | còn | có | cô | căn | cũng | cơm | cưới | của | da | de | do | dành | dạy | dấu | gian | giá | giúp | giải | giọng | giờ | giữa | gái | gãy | gì | góc | gần | gặp | gọi | gối | gồm | gỗ | gửi | hai | hay | hiểu | hiện | hãy | hôm | hơi | hơn | hằng | hẳn | họ | học | hỏi | hồi | khi | khoảng | khu | khuya | khác | khách | không | khắp | kiếm | kém | kể | lo | luôn | là | làm | lên | lòng | lúc | lưng | lưu | lạc | lại | lấy | lần | lầu | lớn | may | minh | mua | mà | màu | mình | mười | mấy | mẫu | mắc | mắt | mẹ | mọi | mỗi | một | mới | mời | mỹ | nay | nghe | nghèo | nghĩ | nghề | ngoài | ngoại | nguồn | ngày | ngôi | người | ngắn | ngủ | nhau | nhiều | nhà | nhìn | như | nhưng | nhất là | nhận | nhằm | nhỏ | nhồi | nhớ | những | nuôi | nào | này | nên | nó | nói | năm | nơi | nước | nằm | nếu | phòng | phải | phổi | qua | quay | quyết | quá | quận | ra | run | rõ | rất | rằng | rộng | rửa | sang | sao | sau | sinh | suy | suốt | sách | sáng | sắp | sẵn | sẽ | số | sống | sự | thay | theo | thuê | thành | tháng | thú | thăm | thương | thường | thấy | thật | thức | tim | tin | tiếng | tiếp | tiền | trai | tranh | trao | trong | trên | trôi | trước | trước đây | trắng | trẻ | trời | tuổi | tên | tóc | tô | tôi | tường | tưởng | tại | tấm | tập | tối | tốn | từ | tự | uống | viêm | việc | vui | và | vào | vì | vẽ | về | vốn | với | vợ | xin | xuống | xưởng | yêu | á | âu | ôm | ông | ăn | đang | đem | đi | điện | đáng | đáp | đây | đã | đêm | đó | đói | đôi | đưa | đường | được | đất | đầy | đến | để | đồ | đời | đủ | đứa | ước | ảnh | ở | 796
data/testDataVietnamese/pp/sgk (540).txt,0.0,,buồn | buổi | bài | bé | bên | bản | ca | canh | cha | cho | chung | chưa | chỉ | chồng | coi | cuộc | các | còn | có | cùng | cũng | cạnh | cậu | của | do | dạy | ghi | giọng | giỏi | giữa | gác | gần | gặp | gối | gồm | gửi | hay | hát | hôm | học | khi | khoảng | khuya | khác | không | kể | kịp | lo | là | làm | lên | lính | lúc | lại | lấy | lần | lầu | lớn | lời | mang | miền | mà | mãi | mình | môn | mười | mất | một | nghe | nghèo | nghĩ | ngày | người | ngắn | nhà | nhóm | như | nhưng | nhạc | nhất | nhớ | những | niềm | nào | này | nâng | nét | nên | năm | nỗi | nội | phải | quân | ra | riêng | rất | rằng | sau | sinh | suốt | sớm | sứ | tay | theo | thành | thôi | thương | thấy | thầy | thứ hai | tiếng | toà | trong | truyền | trông | trường học | trống | tên | tại | tặng | tỉnh | tới | tựa | và | vào | vùng | vẫn | vậy | về | với | ông | ý | đau | đi | điểm | đoàn | đàn | đám | đánh | đây | đã | đêm | đó | đông | được | đầy | đến | để | đủ | đứng | ở | 327
data/testDataVietnamese/pp/sgk (694).txt,0.0,,bằng | bột | cho | chất | chậm | chỉ | chứa | con | cua | cá | các | cách | còn | có | cần | cỏ | của | dưới | dạng | dễ | e | gà | gạo | gọi là | hay | hoặc | hàng | hạt | họ | khi | khác | khô | loại | là | lúa | lượng | lạc | lấy | lớn | mau | muốn | màu | mái | mềm | mỏng | mối | một | nay | nguyên | nguồn | ngày | ngô | nhanh | nhiều | như | nhưng | nhằm | nhỏ | những | nuôi | này | nếu | phải | qua | quả | rau | rất | sẽ | sống | sự | ta | thiếu | thành | thúc | thường | thịt | tiện | to | trong | trộn | trứng | tôm | tươi | tạo | uống | vi | việc | và | vào | vì | vì vậy | vỏ | với | vỡ | xanh | xương | ăn | đem | đã | đó | đường | được | đập | đậu | đẻ | để | đỏ | đủ | 373
data/testDataVietnamese/pp/l (160).txt,0.0,,a | bia | bàn | bày | bán | báo | bên | bản | bằng | bếp | bệnh | bị | bộ | bột | bớt | bụi | cao | chai | che | chiếu | cho | chung | chuyển | chuẩn | chuỗi | chín | chưa | chương | chất | chậm | chặt | chết | chỉ | chịu | chống | chờ | chợ | chủ | chứa | chữa | con | cá | các | cách | cây | còn | có | cùng | căng | cấm | cấp | cần | cộng | cụ | cụm | của | diện | diệt | do | dân | dùng | dưới | dạng | dấu | dầu | dễ | dừng | e | ghi | giao | giá | gió | giả | giảm | giấy | giống | giờ | giữ | giữa | gây | gần | gọi | gồm | gửi | hay | hiểu | hiện có | hoặc | huyện | hàng | hình | hơn | hư | hại | hạn | hằng | hết | họp | hỏi | hỏng | hội | hợp | in | khi | kho | khoá | khoản | khác | khác nhau | khám | khâu | khô | không | kèm | kính | kể | kỳ | loại | luật | là | làm | lâm | lên | lô | lưu | lạ | lại | lấy | lần | lẫn | lối | lỗi | miễn | muối | mà | mát | mình | môi | mùi | mưa | mất | mẫu | mắc | mặt đất | mọi | mốc | mối | mỗi | một | mới | mục | mức | nam | ngang | ngay | nghề | ngoài | nguy | nguyên | nguồn | ngành | ngày | người | ngừng | nhau | nhiều | nhiễm | nhà | nhóm | như | nhưng | nhất | nhận | nhằm | nhỏ | những | nào | này | nên | nêu | nó | nông | năm | nơi | nước | nắng | nặng | nếu | nộp | phép | phí | phòng | phạt | phải | qua | quy | quyền | quá | quả | ra | rau | riêng | rõ | rượu | rộng | rửa | sai | sau | suất | sân | sạch | sẵn | sẽ | số | sống | sức | sữa | sự | tay | theo | thoáng | thoát | thu | thuốc | thuộc | tháng | thêm | thì | thì phải | thôi | thông | thấp | thịt | thứ | thực | tin | tiếng | tiếp | tiền | trong | trong suốt | truyền | tránh | trên | trình | trùng | trước | trồng | trở | trứng | trừ | tuỳ | tuỳ theo | tách | tên | tính | tăng | tư | tươi | tại | tạm | tạo | tạo ra | tỉnh | tốt | tới | tủ | từ | từ khi | từng | tự | uống | vi | vitamin | việc | và | vào | vùng | vượt | vượt quá | vẫn | về | vốn | với | vỡ | vụ | xin | xấu | xử | ý | ăn | đang | đi | điều | điểm | đoàn | đáp | đây | đã | đó | đóng | đúng | đăng | đơn | đưa | đường | được | đạt | đất | đầu | đến | để | địa | đối | đồ | độ | độc | đủ | đứng | ư | ước | ảnh | ẩm | ở | 3660
data/testDataVietnamese/pp/l (188).txt,0.0,,a | ba | biết | bác | bên | bảy | bằng | bệnh | bị | bốn | bộ | cha | chia | cho | cho đến | chung | chuyển | chánh | chính | chưa | chương | chấp | chết | chỉ | chịu | chủ | chữ | chữa | coi | con | cuối | các | câu | còn | có | công | cùng | cũng | cạnh | cấp | cần | của | cử | diện | do | dài | dân | dấu | dẫn | e | ghi | giao | giá | giấy | giờ | giữ | giữa | gây | gì | gắn | gọi | gồm | gửi | hai | hay | hoặc | huyện | huỷ | hơn | hướng | hết | họ | họp | hỏi | khai | khi | khiến | khoá | khoản | khác | khác nhau | không | khỏi | kiện | kèm | kéo | kín | ký | kết | kể | kỳ | liền | loại | luật | là | làm | lương | lại | lấy | lần | lỗi | lời | mua | mà | mình | mươi | mười | mượn | mất | mặt | mẹ | một | mới | mời | mở | mức | ngang | ngay | nghe | nghị | ngoài | nguyên | nguồn | ngành | ngày | người | nhanh | nhau | nhiều | nhà | nhìn | như | nhưng | nhất | nhận | nhằm | nhờ | những | nuôi | nào | này | nêu | năm | nơi | nước | nếu | nộp | nợ | nửa | phiên | phép | phí | phòng | phải | phản | phần | qua | quyền | quá | quận | ra | rõ | rút | rằng | sau | số | sổ | sửa | sự | theo | thu | thuê | thuận | thuộc | thành | tháng | thêm | thì | thì phải | thấp | thấy | thứ | thứ ba | thứ hai | tiếng | tiền | toà | trong | trong khi | trái | trên | trước | trước đây | trả | trừ | tuỳ | tuỳ theo | tách | tên | tình | tích | tính | tư | tại | tạm | tạo | tải | tỉnh | tố | từ | từ khi | từng | tự | u | viên | việc | và | vào | vì | vẫn | về | với | vụ | vụ án | vừa | xin | xong | xoá | xã | xét | y | án | đang | đi | điều | điểm | đây | đã | đòi | đó | đóng | đúng | đơn | đưa | được | đất | đến | đều | để | đọc | đối | đợi | đủ | ở | 5311
