file,ratio,blw,allNoun
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (100).txt,7.894736842105263,con | củi | gỗ | thứ | ý | đường,buồn | buổi | bị | chiếc | cho | chuyện | chính | chỉ | con | cuối | cuối cùng | cách | câu | cây | công việc | cục | của | củi | giúp | gắn | gỗ | hiệu quả | không | khúc | kế | làm | làm việc | lúc | lần | lời | mang | muốn | mình | mọi | một | nghe | nghĩ | người | ngồi | ngộ | nhiều | nhỏ | nên | nông dân | năng suất | quý | ra | rồi | sửa | tay | thuận | thành | thêm | thất bại | thấy | thế | thứ | thực hiện | tiếp tục | to | trâu | tất cả | tốt | ven | vì | vụn | ý | ý kiến | đi | điều | đó | đúng | đường | đầu | để | đống
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (101).txt,8.860759493670885,ba | bánh | bút | bằng | cháu | chăn | con | kiếm | kẹo | làng | phép | sao | vàng | đồng,ba | bay | biến | bà con | bánh | bánh kẹo | bé | bên | bình thường | bút | bước | bằng | bằng lòng | bỏ | bố mẹ | bụng | cao | chim bồ câu | chiếc | cho | chuyển | chào | cháu | chín | chính | chú | chăm chỉ | chăn | chỉ | con | cuộc sống | cành | các | cánh đồng | cây | cô | cùng | căng | cả | cảnh | cậu | cỏ | cỗ | của | dùng | dắt | gian | giúp | giúp đỡ | giữa | gấp | hai | hoa | hoa hồng | họ | khen | khi | khéo léo | không | kiên trì | kiếm | kẹo | leo | làm | làng | lát | lên | lúa | lúc | lấy | lần | lớn | lời | mang | muốn | mặc | mọi | một | ngón | ngô | người | ngạc nhiên | ngồi | nhiều | nhà | nhìn | nhỏ | nhỏ bé | no | nên | nón | núi | phép | quay | quần áo | ra | ruộng | rồi | sao | siêng năng | sáng | sáu | số | sừng | tai | tay | thành | thành thật | thích thú | thương | thấy | thần | thế | thử | tiên | tiền | to | to lớn | trâu | trăn | trắng | trời | tuổi | ty | tìm | tôi | túi | tất cả | tối mịt | tốt | từ | vàng | vào | vì | vùng | vườn | vất vả | vẽ | xanh | xơ | áo | ăn | đi | đàn | đám | đáp | đó | đúng | đưa | đấy | đều | để | địa chủ | đồng | đổ nát | đợi | ưng | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (1).txt,10.731707317073171,anh | ba | bài | bò | chân | chị | giường | gái | góc | hẹn | kiếm | làng | lượt | ngày | năm | phép | thuế | trường | tên | đêm | đôi | đường,anh | anh chàng | ba | bao | biết | buồng | buổi | bài | báo | bây giờ | bên | bò | bước | bắt | bắt buộc | bắt đầu | bị | bọn | bỏ | bụng | canh | cho | chuyện | chuẩn bị | chào hỏi | chân | chính | chùa | chút | chơi | chạy | chỉ | chị | chị gái | chồng | chỗ | cuối cùng | càng | cá | cách | câu | câu chuyện | cô | công | cùng | cười | cả | cắn | cố gắng | cột | của | cửa | cự tuyệt | dễ | dứt | ghét | giường | giải quyết | giữa | gái | gáo | góc | hay | hoa | huyện | hái | hẹn | hẹn hò | họ | khi | khác | khôn ngoan | không | kiếm | kéo | kêu | kín đáo | lanh lợi | liếc | làm | làm bộ | làng | lên | lúc | lưng | lượt | lấy | lần | lậu | lớn | lời | muốn | màn | mình | mò | mười | mắt | mẻ | mọi | một | một chút | mở | nghe | nghĩ | ngài | ngày | người | ngạc nhiên | ngồi | nhiều | nhà | nhận | nên | năm | nơi | nước | ong bướm | phát hiện | phép | phạt | phận | quan | quan lại | quyền | quách | quân | ra | ra sức | ra đi | roi | run | run sợ | rõ | rồi | suốt | sáng sủa | số | sợ hãi | ta | tay | theo đuổi | thiếp | thong thả | thuế | thái độ | thói | thôi | thả | thấy | thầy | thẳng | thế | thờ ơ | tiếng | trăng | trường | trả lời | trầu | tên | tìm | tình | tình cảm | tóm | tối | tội | từ | vang | ve | việc | vua | vui vẻ | vào | vì | vắng | vắng vẻ | vốn | xinh đẹp | xuất hiện | xuống | xâu | xã | xử lý | ô | đi | đàn bà | đám | đánh | đáp | đây | đêm | đó | đóng | đôi | đưa | đường | đấy | đẩy | đều | để | đỉa | đồ | đột ngột | đợi | ấp úng | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (10).txt,9.375,anh | ba | bài | băng | cam | cháu | chân | chủ | con | cổ | danh sách | gia đình | gái | gốc | lá | lượt | ngày | năm | sao | sinh | thí sinh | thứ | tên | vàng | đêm | đường | đất,anh | ba | bao | bay | biết | biếu | biển | buồng | buổi | bài | bây giờ | bè | bên | băng | bơi | bước | bản thân | bắt đầu | bị | bộ | bờ | bực mình | cam | cao | chia | chiếc | cho | chuyến | chuyển | chuyện | chuẩn bị | chàng | chào | cháu | chân | châu báu | chính | chôn | chút | chạy | chất | chất phác | chầu chực | chỉ | chỉ dẫn | chịu đựng | chỗ | chờ đợi | chở | chủ | chủ nhà | chứng | chữ | con | con gái | cuốc | cuối cùng | cuộc | cuộc sống | càng | cành | cách biệt | câu | câu chuyện | cây | cô | công | cùng | cơ hội | cạn kiệt | cả | cảnh | cấp | cần | cắm | cố gắng | cổ | cổ họng | của | danh sách | dáng | dù | dùi | dằn vặt | dứt | dừng | gia đình | giàu | giàu có | giúp | giúp đỡ | giấu giếm | giữ | gái | gạo | gốc | hay | hành trình | hòn | hết | họ | học | học trò | khen ngợi | khi | khoa | khoan thai | khoảng | khác | khác thường | không | không gian | không khí | khẩu | khắc | kim | kinh ngạc | kéo | leo | làm | lá | lên | lính | lúc | lưng | lượt | lấy | lần | lẽ | lời | mang | muốn | mày | mây | mình | mất | mắc | mắt | mặt | mọi | mộc | một | một chút | mở | mục đích | nghe | nghèo nàn | nghĩ | nghỉ | nghỉ ngơi | nguyên | ngài | ngàn | ngày | người | ngọc | ngọn | ngồi | ngựa | nhanh chóng | nhà | nhìn | nhỏ | nhờ | nên | núi | năm | nơi | nước | nổi | phen | phong | phú ông | quan | quay | quyết định | quyển | quả | quấy rầy | quỳ | ra | rõ | rõ ràng | rẽ | rồi | rụt rè | sao | sinh | suy nghĩ | sáng | sóng | sạch | sẵn lòng | số | số phận | sống | sốt ruột | ta | tay | than thở | thay đổi | theo đuổi | thiên đình | thu gom | thuyền | thuộc | thành | thêm | thí sinh | thấy | thật thà | thế | thỉnh cầu | thứ | thử | tiến | tiếp tục | tiền | toàn bộ | trèo | trạng nguyên | trả | trải qua | trần gian | trồng | trời | tuổi | tên | tìm | tò mò | tôi | tại sao | tấc | tận | tặng | tối | tốt bụng | tục ngữ | từ | tử tế | ven | viên | việc | vua | vui vẻ | vàng | vào | vì | vì sao | văn | vất vả | vầng | vận số | vợ chồng | vụt | xuống | xứng đáng | yên tĩnh | ôn | ông | đi | điều | đoàn | đào | đáp | đây | đêm | đó | đông | đúng | đưa | đường | đảo | đất | đất liền | đấy | đầy | đậu | đế | đều | để | đỉnh | đồ đạc | đồn | đời | đợi | đợt | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (103).txt,12.408759124087592,bệnh | con | giờ | gốc | hạt | lá | men | ngày | ngôi | thứ | tin tức | trẻ | tuần | tên | vị | đôi | đường,biết | buồn | bàn tay | bé | bóp | bậc | bệnh | bị | bỏ | bụng | cha mẹ | cho | chuyện | chơi | con | cành | cây | cơm | cậu | cắn | của | dòng | gieo trồng | giọt | giờ | gốc | hàng | hạt | họ | hột | hứng | khe | khi | khác | khóc | không | kêu | lang thang | lo lắng | làm việc | lá | lên | lòng | lúc | lũ | lạnh | lấy | lần | lớp | men | miếng | miệng | mình | mạnh | mắt | mặt | mẹ | mềm | mệt mỏi | mọi | một | nghiêng | ngày | ngày xưa | ngôi | người | ngồi | nhiều | nhà | nhìn | nhận | nhỏ | nuôi | nên | nơi | nước mắt | nấu | nặng | nứt | qua đời | quả | ra | rung | rung rinh | rơi | rồi | sữa | ta | tay | thay | thái độ | thân | thì thào | thích | thôi | thơm | thấy | thềm | thứ | thử | tin tức | tiếng | tiết | to | trái cây | trắng | trẻ | trẻ con | tuần | tán | tên | tìm | từ | tựa | vài | vào | vì | vú sữa | vườn | vất vả | vị | vỏ | xanh | xuống | xưa | âu yếm | ôm | ăn | đau | đi | đó | đôi | đường | đặt | để | đợi | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (104).txt,12.578616352201259,bạc | con trai | công chúa | da | gà | mối | năm | nếp | phép | thuỷ tinh | tháng | thứ | tin | tài | tên | tướng | vàng | ý | đôi | đất,ban | binh | biết | biển | biển cả | bão | bên | bạc | bầu trời | cao | cau | chiếm | chiến đấu | cho | chuẩn bị | chàng | châu báu | chín | chính | chấp nhận | chỉ | chống | chồng | con cái | con gái | con người | con trai | cuối cùng | các | có mặt | cô | công chúa | cùng | cơm | cả | của | cựa | da | dáng | dân | dòng | dùng | dễ | gà | hai | hoảng hốt | hài lòng | hàng | hình dáng | hạnh phúc | hề | hồng mao | khi | khuân | không | kén | kêu gọi | làm | làn | lên | lòng | lũ | lũ lụt | lấy | lời | lở | lựa chọn | mang | mình | mặt | mối | một | nghe | ngà | ngày mai | người | ngậm | ngựa | nhau | nhiều | nhà | nhà vua | nhân gian | nên | núi | năm | nước | nếp | nổi | phép | quân | ra | ra sức | rút lui | sáng | sính lễ | sảy | số | sống | sức | ta | tay | thua | thuỷ tinh | tháng | thêm | thấy | thần | thần nước | thời gian | thứ | thử thách | tin | toàn bộ | trai | truyền | trả thù | trầu | trận chiến | trắng | trễ | trời | tuổi | tài | tên | tìm | tướng | tất cả | tệp | tức giận | từ | voi | vua | vui vẻ | vàng | vàng bạc | ván | vì | vẫy | xưa | ác liệt | âm lịch | ý | ý kiến | đi | đuổi | đàn | đánh | đó | đôi | đưa | đất | đất liền | đấy | đầy | đều | để | đời | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (102).txt,9.747292418772563,anh | bằng | chiến thắng | con | cổng | dao | giờ | gậy | kiếm | lao | làng | món | mạng | mồ hôi | ngày | năm | phân | phút | rượu | sao | sợi | tin | tuần | tên | đơn | đường | đất,an | anh | anh chàng | biết | buổi | bàn | bên | bình thản | bóng | bản tính | bảng | bắt | bằng | bị | bừng bừng | chim | chiếc | chiến thắng | chiều | cho | chuyến | chàng | chén | chó | chó săn | chút | chơi | chạy | chảy | chắc chắn | chắn | chỉ | chồn | chồng | chỗ | chửi mắng | con | con gái | cuối cùng | cuộc | các | cách | câu | cô | cơn | cười | cả | cảnh | cầy | cầy hương | cẩn thận | cậu | cố | cổng | cột | của | dao | dân | dây | dùng | dạ | gai | ghe | giúp | giỏ | giờ | giữ | giữa | gầy gò | gậy | hai | hay | hoàng thượng | hàng | hình | hạ | hạn | hầu | họ | hộ | khi | khác | không | kiếm | kén | kêu | kẻ | kế | la | la hét | lao | loại | làm | làm thịt | làng | lát | lên | lúc | lúng túng | lưới | lấy | lần | lối | lớn | lời | lừa | mai | mang | miếng | mua | muốn | mày | máu | mâm | mình | món | mạng | mất | mặt | mồ hôi | mồm | một | một ít | mở | nghe | nghĩ | ngày | người | ngựa | nhiều | nhà | nhà vua | nhàn rỗi | nhân | nhìn | nhúc nhích | nhẫn nhịn | nhẫn nại | nhận | nhọn | no | no nê | nén | nên | nón | núi | năm | nấu | nấu nướng | nặng | nổi | nổi giận | nội dung | phi | phát | phân | phòng | phú ông | phút | phượng hoàng | phạt | phần | quan | quân | ra | ranh | roi | rúc | rơi | rượu | rồi | rừng | sao | say | sông | săn | sắp | sợi | sức | ta | tham gia | thoát | thua | thành quả | thích | thôi | thông báo | thú | thất bại | thấy | thần | thầy | thắng | thằng | thế | thế gian | thịt | thừng | thử | tin | tiếng | to | trai | trách | trâu | trói | trả lời | trả thù | trận | trời | tuần | tuổi | tên | tìm | tính | tò mò | tôi | tất cả | tục | tức | tức giận | từ | từ chối | tự tin | vai | vua | vui vẻ | vài | vào | vì | vùng | vết | vốn | vớt | vợ | vụng | xinh đẹp | xuống | xác | xách | xưa | xối xả | ít | ôm | ông | ý kiến | ăn | đi | điên | đoán | đoạn | đá | đám cưới | đánh | đáp | đâu đó | đây | đó | đóng | đùa | đơn | đường | đất | đấy | đầu | đầy | đậy | đặt | đếm | đều | để | đống | đồng ý | đổi | đỡ | đợt | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (105).txt,13.28125,anh | bìa | bạc | bằng | bệnh | cháu | chân | con | củi | lao | ngày | quà | sắt | thứ | tóc | vàng | đôi,anh | anh chàng | biến mất | biết | buồn | buồn bã | bán | bìa | bơi | bạc | bằng | bệnh | bị | bố mẹ | bờ | bụt | cha mẹ | chiếc | cho | chuyện | chàng | cháu | chân | chảy | chỉ | con | cán | cơ | cạnh | cầm | của | củi | duy nhất | dòng | dứt | giúp đỡ | hai | ham | hàng | hề | hộ | khen | khi | khóc | khóc than | không | lao | làm | lên | lúc | lưỡi | lấy | lần | lớn | lời | lợi lộc | mình | mất | mắt | mặt | một | ngày | người | ngồi | nhà | nhìn | nhận | nhỏ | nên | nước | nặng | phu | qua đời | quà | quả | reo | râu | rìu | rơi | rồi | rừng | sung sướng | sông | sơ ý | sắt | sống | ta | tay | thêm | thường ngày | thất vọng | thấy | thật thà | thở | thứ | tiêu | tiền | tiền bạc | tiều phu | trung thực | trượt | trả lời | trắng | tài sản | tìm | tóc | tặng | từ | vui vẻ | vàng | vào | vác | vâng | vì | xuất hiện | xuống | xách | xưa | ông | đáp | đâu đó | đây | đó | đôi | đúng | đưa | để | đỡ
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (106).txt,9.94475138121547,anh | bò | bẫy | con | giờ | hạt | màu | mùa | ngày | ngôi | năm | sao | sân | tên | âm | đôi | đường | đất,anh | bay | biết | bàn tay | bé | bên | bò | bầu | bầu trời | bầy | bẫy | bắt | bị | bổ | canh gác | cao | chao | chim | chim én | chiếc | cho | chuyện | châu báu | chính | chú | chăm chỉ | chăm sóc | chấp chới | chết | chỉ | con | cánh | cáo | cây | cùng | cả | cậu | cắn | của | cứu | di cư | gieo | giúp đỡ | giờ | giữa | gài | hoa | hàng | hái | hình ảnh | hạ | hạt | hết | hết sức | khi | không | kim cương | kêu | kết | liệng | loài | làm | lên | lòng | lúc | lấy | lớn | mang | muốn | màu | mình | mùa | mảnh | mầm | mặt | mẹ | mọi | một | mức | nam | nghiêng | ngày | ngày xưa | ngày đêm | ngôi | người | ngồi | nhanh chóng | nhau | nhiều | nhà | nhìn | nhỏ | non nớt | ném | năm | nơi | nổi | nửa | phi | phương | quả | ra | rét | rơi | rắn rết | rồi | rớt | sao | song | sân | săn sóc | sọt | ta | tay | tham vọng | thu | thành | thả | thấu hiểu | thấy | thời gian | thực hiện | tiên | tiếng | to lớn | trao | tránh | trồng | trời | tung | tên | tìm | tình thương | tính tình | tất bật | tất cả | tận tâm | tốt bụng | tổ | từ | vang | vui vẻ | vàng bạc | vào | vác | vì | vùng | vùng đất | vườn | vật | vỗ | xanh biếc | xuân | xuống | xót thương | xảy ra | âm | âu yếm | êm ấm | ôm ấp | ăn | đau | đi | điều | đuổi | đàn | đâm | đó | đôi | đông | đường | đất | đầu | đằng | để | địa chủ | đồ | độ | ấm áp | ở
data/ppVietnamese_by_catalog/Easy/ct24/ct24 (107).txt,14.035087719298245,bánh | bằng | con | con trai | hẹn | kiếm | lá | món | ngày | ngôi | năm | ruột | thứ | tên | vị | đất,biết | bánh | bây giờ | bên | bắt đầu | bằng | bọc | bỏ | bờ cõi | cha mẹ | che chở | chiếc | cho | chín | chính | chỉ | con | con người | con trai | cuộc | các | cả | cỗ | của | dân | dịp | giúp đỡ | giặc | gạo | hai | hoàng tử | hình tròn | hình vuông | hẹn | họp | khi | không | kiếm | lo lắng | loại | làm | lá | lên | lý do | lấy | lời | mang | miền | mâm | mình | món | mơ | mẹ | một | ngai vàng | nghe | ngày | ngôi | người | ngủ | nhau | nhân | nên | năm | nơi | qua đời | quý | ra | ruột | sơn | sơn hào hải vị | ta | thiếu | thành | thấy | thần | thần linh | thứ | thức ăn | truyền | trời | tên | tìm | tìm kiếm | tình | tất cả | tết | tỉnh | tổ tiên | từ | vua | vào | vì | vật | vị | xanh | xuân | xuất hiện | xứng đáng | ân | ý nghĩa | ý nguyện | ăn | đánh | đó | đưa | đạo đức | đất | đầu | đặt | đều | để | đời | ấm cúng
