file, flesch_kincaid_grade, dale_chall_readability_score
data/Vietnamese_by_catalog/Difficult/l/l (10).txt,-4.9,1.36
data/Vietnamese_by_catalog/Difficult/l/l (101).txt,1.8,2.21
data/Vietnamese_by_catalog/Difficult/l/l (102).txt,0.5,2.04
data/Vietnamese_by_catalog/Difficult/l/l (104).txt,0.7,2.07
data/Vietnamese_by_catalog/Difficult/l/l (105).txt,-4.1,1.46
data/Vietnamese_by_catalog/Difficult/l/l (107).txt,-5.4,1.3
data/Vietnamese_by_catalog/Difficult/l/l (11).txt,-6.2,1.2
data/Vietnamese_by_catalog/Difficult/l/l (110).txt,-0.1,1.97
data/Vietnamese_by_catalog/Difficult/l/l (111).txt,0.9,2.09
data/Vietnamese_by_catalog/Difficult/l/l (112).txt,0.1,2.0
data/Vietnamese_by_catalog/Difficult/l/l (115).txt,4.7,2.57
data/Vietnamese_by_catalog/Difficult/l/l (117).txt,1.6,2.19
data/Vietnamese_by_catalog/Difficult/l/l (118).txt,-1.3,1.82
data/Vietnamese_by_catalog/Difficult/l/l (119).txt,-0.3,1.94
data/Vietnamese_by_catalog/Difficult/l/l (12).txt,0.8,2.08
data/Vietnamese_by_catalog/Difficult/l/l (120).txt,0.7,2.07
data/Vietnamese_by_catalog/Difficult/l/l (123).txt,1.9,2.22
data/Vietnamese_by_catalog/Difficult/l/l (125).txt,0.0,1.98
data/Vietnamese_by_catalog/Difficult/l/l (127).txt,0.4,2.03
data/Vietnamese_by_catalog/Difficult/l/l (128).txt,-1.6,1.78
data/Vietnamese_by_catalog/Difficult/l/l (129).txt,-1.7,1.77
data/Vietnamese_by_catalog/Difficult/l/l (130).txt,-1.7,1.77
data/Vietnamese_by_catalog/Difficult/l/l (133).txt,-2.7,1.64
data/Vietnamese_by_catalog/Difficult/l/l (134).txt,-0.5,1.91
data/Vietnamese_by_catalog/Difficult/l/l (135).txt,0.5,2.04
data/Vietnamese_by_catalog/Difficult/l/l (137).txt,-2.4,1.67
data/Vietnamese_by_catalog/Difficult/l/l (138).txt,-2.3,1.7
data/Vietnamese_by_catalog/Difficult/l/l (140).txt,-2.8,1.63
data/Vietnamese_by_catalog/Difficult/l/l (142).txt,-3.1,1.59
data/Vietnamese_by_catalog/Difficult/l/l (143).txt,0.2,2.01
