file, totalLetter, totalWord, totalSentence, vietnamese formula result
data/ppVietnamese_by_catalog/Difficult/l/l (10).txt,4486,739,31,10.908472652669257
data/ppVietnamese_by_catalog/Difficult/l/l (101).txt,8391,1213,32,15.416369538334706
data/ppVietnamese_by_catalog/Difficult/l/l (102).txt,65256,8351,326,14.751620870503
data/ppVietnamese_by_catalog/Difficult/l/l (104).txt,38688,5022,178,15.05010403662089
data/ppVietnamese_by_catalog/Difficult/l/l (105).txt,63884,8169,315,14.827259150446814
data/ppVietnamese_by_catalog/Difficult/l/l (107).txt,4228,688,27,11.3869939707149
data/ppVietnamese_by_catalog/Difficult/l/l (11).txt,4692,814,24,12.31158886158886
data/ppVietnamese_by_catalog/Difficult/l/l (110).txt,31915,4516,163,13.675293842751337
data/ppVietnamese_by_catalog/Difficult/l/l (111).txt,28156,3578,134,15.078699848994269
data/ppVietnamese_by_catalog/Difficult/l/l (112).txt,15566,2297,77,13.519564197230721
data/ppVietnamese_by_catalog/Difficult/l/l (115).txt,32564,5395,114,15.536830723704533
data/ppVietnamese_by_catalog/Difficult/l/l (117).txt,26667,4292,105,14.601612745750678
data/ppVietnamese_by_catalog/Difficult/l/l (118).txt,27510,3296,136,15.540019988577956
data/ppVietnamese_by_catalog/Difficult/l/l (119).txt,18702,2652,90,13.99740573152338
data/ppVietnamese_by_catalog/Difficult/l/l (12).txt,72964,10509,341,14.049638837706208
data/ppVietnamese_by_catalog/Difficult/l/l (120).txt,18977,2702,67,16.112303766143377
data/ppVietnamese_by_catalog/Difficult/l/l (121).txt,65958,8965,363,13.653950548429076
data/ppVietnamese_by_catalog/Difficult/l/l (123).txt,62983,8938,238,15.604233834952645
data/ppVietnamese_by_catalog/Difficult/l/l (125).txt,15768,2121,62,15.710393758269838
data/ppVietnamese_by_catalog/Difficult/l/l (127).txt,11216,1652,39,16.050487365741603
data/ppVietnamese_by_catalog/Difficult/l/l (128).txt,32155,4148,179,14.138494152125546
data/ppVietnamese_by_catalog/Difficult/l/l (129).txt,77487,10889,429,13.308617772774262
data/ppVietnamese_by_catalog/Difficult/l/l (130).txt,52059,6773,254,14.705579355732755
data/ppVietnamese_by_catalog/Difficult/l/l (133).txt,12711,1938,68,12.817647058823528
data/ppVietnamese_by_catalog/Difficult/l/l (134).txt,22460,3156,109,14.024032278694435
data/ppVietnamese_by_catalog/Difficult/l/l (135).txt,36278,5075,171,14.23242128309279
data/ppVietnamese_by_catalog/Difficult/l/l (137).txt,10146,1482,43,14.585330948121644
data/ppVietnamese_by_catalog/Difficult/l/l (138).txt,52175,6833,291,13.967696588669401
