40,B,7.0,1, B,32.0,1, B
30,B,15.0,1, B,15.0,1, B
24,B,11.0,1, B,17.0,2, B
24,B,9.0,1, B,24.5,2, B
22,B,9.0,1, B,26.0,1, B
22,B,9.0,1, B,26.0,1, B
19,B,8.0,1, B,19.0,2, B
25,B,0,0, ,27.5,2, B
24,B,8.0,1, B,24.5,2, B
24,B,10.0,1, B,26.5,2, B
23,B,5.0,1, B,24.0,1, B
23,B,14.0,1, B,28.5,2, B
23,B,10.0,1, B,26.0,1, B
23,B,12.0,1, B,23.75,4, B
23,B,13.0,1, B,21.0,1, B
23,B,15.0,1, B,27.0,1, B
23,B,8.0,1, B,25.0,1, B
22,B,10.0,1, B,16.0,2, B
21,B,13.5,2, B,5.0,1,A 
21,B,10.0,1, B,18.5,2, B
20,B,8.0,1, B,26.5,2, B
20,B,12.0,1, B,22.0,3, B
20,B,7.0,1, B,18.0,4, B
19,B,9.0,1, B,26.0,1, B
19,B,9.0,1, B,24.5,2, B
18,B,16.0,1, B,20.5,2, B
17,B,5.0,1, B,21.0,2, B
17,B,7.0,1, B,29.0,1, B
16,B,12.0,1, B,14.666666666666666,3, B
22,B,10.0,1, B,32.0,2, B
22,B,15.0,1, B,26.5,2, B
21,B,13.0,1, B,18.0,1, B
20,B,10.0,1, B,35.0,1, B
20,B,5.0,1, B,24.0,1, B
20,B,21.0,1, B,13.5,2,A B
20,B,15.0,1, B,24.0,1, B
20,B,15.0,1, B,24.0,1, B
20,B,4.0,1,A ,24.0,1, B
20,B,11.0,1, B,19.0,4, B
20,B,11.0,1, B,34.5,2, B
20,B,7.0,1, B,15.0,1, B
20,B,25.0,1, B,29.0,2, B
20,B,19.0,1, B,21.5,2, B
19,B,10.0,1, B,21.0,2, B
19,B,16.0,1, B,26.0,1, B
19,B,3.0,1,A ,26.0,4, B
19,B,3.0,1,A ,26.0,4, B
19,B,7.0,1, B,23.0,2, B
19,B,13.0,1, B,34.0,1, B
19,B,7.0,1, B,21.0,1, B
19,B,10.0,1, B,33.0,2, B
19,B,12.0,1, B,17.0,2, B
19,B,16.0,1, B,21.0,3, B
19,B,24.0,1, B,15.0,1, B
19,B,9.0,1, B,20.0,1, B
18,B,21.0,1, B,18.25,4, B
18,B,8.0,1, B,18.0,1, B
18,B,7.0,1, B,22.0,1, B
18,B,8.0,1, B,15.0,1, B
18,B,10.5,2, B,19.0,1, B
18,B,11.0,1, B,18.5,2, B
18,B,13.0,1, B,30.5,2, B
18,B,7.0,1, B,24.0,2, B
18,B,14.0,1, B,9.0,1, B
18,B,12.5,2, B,19.375,8, B
18,B,8.0,1, B,22.0,1, B
18,B,6.0,1, B,21.0,2, B
18,B,15.0,1, B,17.5,4, B
18,B,19.0,1, B,18.6,5, B
18,B,14.0,1, B,21.5,2, B
17,B,16.0,1, B,19.5,2, B
17,B,16.0,1, B,23.5,2, B
17,B,13.0,1, B,19.0,2, B
17,B,10.0,1, B,28.0,1, B
17,B,4.0,1,A ,38.0,1, B
17,B,6.0,1, B,18.75,16, B
17,B,7.0,1, B,20.0,1, B
17,B,7.0,1, B,20.0,1, B
17,B,7.0,1, B,19.0,1, B
17,B,25.0,1, B,20.5,4, B
17,B,7.0,1, B,16.5,2, B
17,B,10.0,1, B,19.0,1, B
17,B,10.0,1, B,20.333333333333332,3, B
17,B,7.0,1, B,23.0,1, B
17,B,19.0,1, B,15.5,2, B
17,B,11.0,1, B,26.5,2, B
17,B,15.0,1, B,22.0,1, B
16,B,6.0,1, B,16.75,4, B
16,B,13.0,1, B,34.0,1, B
16,B,8.0,1, B,26.5,2, B
16,B,9.0,1, B,26.0,1, B
16,B,15.0,1, B,16.0,2, B
16,B,7.0,1, B,23.333333333333332,3, B
16,B,15.0,1, B,20.0,1, B
16,B,4.0,1, B,18.0,2, B
16,B,9.0,1, B,22.0,1, B
16,B,8.0,1, B,17.0,2, B
16,B,18.0,1, B,20.0,3, B
16,B,4.0,1,A ,19.0,1, B
16,B,7.0,1, B,18.0,1, B
16,B,10.0,1, B,19.5,2, B
16,B,10.0,1, B,20.333333333333332,3, B
16,B,10.0,1, B,21.0,1, B
16,B,12.0,1, B,22.0,3, B
16,B,7.0,1, B,19.0,1, B
15,B,2.0,1,A ,20.0,1, B
15,B,7.0,1, B,17.0,2, B
15,B,9.0,1, B,26.0,1, B
15,B,10.5,2, B,16.5,2, B
15,B,4.0,1,A ,38.0,1, B
15,B,10.5,2, B,16.0,1, B
15,B,9.0,1, B,16.0,2, B
15,B,14.0,1, B,27.0,1, B
15,B,11.0,1, B,25.0,1, B
15,B,14.0,1, B,19.666666666666668,6, B
15,B,9.0,1, B,15.5,2, B
15,B,10.0,1, B,20.0,1, B
14,B,5.0,1, B,21.0,1, B
14,B,17.0,1, B,19.5,2, B
14,B,16.0,1, B,6.0,1, B
14,B,5.0,1, B,16.5,2,A B
14,B,7.0,1, B,15.0,1, B
14,B,12.0,1, B,14.5,2, B
14,B,9.0,1, B,18.0,2, B
14,B,6.0,1, B,18.0,1, B
13,B,12.0,1, B,16.666666666666668,3, B
13,B,10.0,1, B,15.5,2, B
13,B,8.0,1, B,21.0,2, B
13,B,5.0,1, B,18.5,2, B
14,B,12.0,1, B,18.5,2, B
23,B,9.0,1, B,6.0,1, B
20,B,10.0,1, B,16.0,1, B
19,B,8.0,1, B,27.0,1, B
18,B,10.5,2, B,27.5,6, B
