26,B,8.0,1,A ,36.5,2, B
26,B,7.0,1,A ,34.0,1, B
23,B,10.0,1,A ,31.0,1, B
22,B,5.0,1,A ,24.0,1, B
21,B,3.0,1,A ,23.5,4, B
21,B,13.0,1, B,24.0,1, B
20,B,14.0,1, B,23.0,1, B
20,B,12.0,1, B,25.5,2, B
20,B,16.0,1, B,17.0,2, B
20,B,4.0,1,A ,20.0,1, B
18,B,5.0,1,A ,25.0,1, B
16,B,5.0,1,A ,21.0,1, B
16,B,7.0,2,A ,24.0,2, B
13,B,3.0,1,A ,16.333333333333332,3, B
13,B,4.0,1,A ,20.0,2, B
20,B,5.0,1,A ,26.0,1, B
19,B,6.0,1, B,21.5,2, B
18,B,18.0,1, B,26.0,1, B
18,B,6.0,1,A ,30.0,1, B
16,B,6.0,1,A ,20.5,2,A B
26,B,11.0,1,A ,26.0,1, B
25,B,10.0,1,A ,31.0,1, B
23,B,19.0,1, B,30.0,5, B
22,B,7.0,1,A ,31.0,1, B
21,B,9.0,1,A ,25.0,2, B
20,B,9.0,1,A ,16.0,1, B
20,B,25.0,1, B,29.333333333333332,3, B
20,B,11.0,1,A ,27.0,2, B
20,B,7.0,1,A ,24.0,1, B
19,B,11.0,1, B,23.0,1, B
19,B,8.0,1,A ,24.0,2, B
19,B,6.0,1,A ,23.0,2, B
19,B,4.0,1,A ,26.0,2, B
19,B,11.0,1,A ,24.333333333333332,3, B
18,B,6.0,1,A ,22.0,2, B
18,B,7.0,1,A ,24.5,2, B
18,B,15.0,1, B,20.0,1, B
18,B,8.0,1,A ,28.0,1, B
18,B,11.0,1,A ,26.0,1, B
18,B,14.0,1, B,26.333333333333332,6, B
18,B,8.0,1,A ,25.0,1, B
18,B,8.0,1,A ,25.0,2, B
18,B,7.0,1,A ,19.333333333333332,3,A B
17,B,6.0,1,A ,24.0,2, B
17,B,8.0,1,A ,13.666666666666666,3, B
17,B,17.0,1, B,25.0,2, B
17,B,11.0,1, B,22.0,1, B
17,B,6.0,1,A ,24.0,2, B
17,B,5.0,1,A ,16.666666666666668,3, B
17,B,19.0,1, B,25.5,2, B
17,B,16.0,1, B,17.0,2, B
17,B,5.0,1,A ,21.0,2, B
16,B,6.0,1,A ,17.666666666666668,3, B
16,B,6.0,1,A ,20.0,2, B
16,B,7.0,1,A ,25.0,1, B
16,B,10.0,2,A B,20.0,1, B
16,B,10.0,1,A ,31.0,1, B
16,B,13.0,1, B,19.0,1, B
16,B,7.0,1,A ,28.0,1, B
16,B,3.0,1,A ,32.0,1, B
16,B,7.0,1,A ,14.0,1, B
16,B,7.0,1,A ,19.0,1, B
16,B,7.0,1,A ,19.5,4, B
16,B,6.0,1,A ,17.5,2, B
16,B,6.0,1,A ,22.666666666666668,3, B
16,B,4.0,1,A ,29.0,1, B
16,B,8.0,1,A ,4.666666666666667,3,A 
16,B,16.0,1, B,13.0,1, B
16,B,8.0,1,A ,13.0,2,A B
16,B,7.0,1,A ,17.5,2, B
16,B,11.0,1,A ,21.0,1, B
16,B,18.0,1, B,19.5,2,A B
16,B,7.0,1,A ,21.0,1, B
16,B,4.0,1,A ,20.0,2, B
15,B,6.0,1,A ,22.0,2, B
15,B,7.0,1,A ,18.0,1, B
15,B,7.0,1,A ,21.0,2, B
